# qwen4exp_real_gate	label=kvq-plain	binary_sha256=aa6ec1d17d9a10ca655edc8108dbc401b5375a5071f94544381d3f5b5f3d32c8	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# ab-kvq: fresh state + probe prefill per arm, 4 warmup steps excluded per arm
rep	arm	steps	mean_ms	median_ms	tok_per_s
0	kv_f32	128	13.57	13.54	73.69
0	kv_q8q5	128	13.38	13.37	74.71
1	kv_f32	128	13.58	13.55	73.66
1	kv_q8q5	128	13.37	13.36	74.77
2	kv_f32	128	13.61	13.58	73.48
2	kv_q8q5	128	13.39	13.38	74.68
3	kv_f32	128	13.57	13.56	73.67
3	kv_q8q5	128	13.39	13.39	74.67
4	kv_f32	128	13.55	13.53	73.80
4	kv_q8q5	128	13.36	13.36	74.84
# arm kv_f32	mean_of_means_ms=13.58	min=13.55	max=13.61	tok_per_s=73.66
# arm kv_q8q5	mean_of_means_ms=13.38	min=13.36	max=13.39	tok_per_s=74.73
# rep0_arm_chain_first_divergence	0
# rep0_kv_f32	248045,248046,198,248045,846,198,248045,248046,198,248045,74455,198,248068,198,760,1156,682,3106,328,248045,1,864,7701,310,381,264,3175,3817,466,10811,13,1061,5686,1040,424,1362,381,449,4621,310,15094,264,3175,3817,1083,279,10125,11,466,424,1362,381,264,1228,310,1436,1204,353,5707,310,17957,10804,13,271,9764,728,2814,1092,411,1362,381,25,198,16,13,1049,1362,381,264,3175,3817,1429,303,1010,14791,1558,74593,318,4650,12485,2581,3443,5533,220,248045,321,220,248046,8,198,17,13,1049,1362,381,449,4621,310,35422,821,7465,198,18,13,1049,1362,381,264,1228,466,38896,271,40,1220,5707,17185,321,1438
# rep0_kv_q8q5	198,760,1156,682,3106,728,264,1575,20654,93530,2319,471,264,11316,421,5435,1396,6321,314,279,26887,506,3140,2957,13,328,760,3841,13477,37550,33075,888,279,15217,5388,1149,271,1919,4290,914,2098,264,3296,466,264,1622,364,1928,13,1049,1362,381,25,198,16,13,357,1228,310,1436,1204,353,5707,310,264,4047,93530,2319,198,17,13,1473,27749,310,4123,279,93530,2319,198,18,13,4450,264,4952,781,1318,728,310,23868,466,5707,310,198,19,13,357,1228,314,821,16432,271,40,3172,5707,303,264,11321,11,7281,1605,1560,421,53083,1092,424,369,321,8106,11039,1010,6821,2193,883,424,13,198,248069,271
