# qwen4exp_real_gate	label=kvq1-gold	binary_sha256=aa6ec1d17d9a10ca655edc8108dbc401b5375a5071f94544381d3f5b5f3d32c8	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# load_seconds=165.6
# vram	post-load	0, 89971 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# probe_tokens=10	ids=[760, 3841, 13477, 37550, 33075, 888, 279, 15217, 5388, 13]
# prefill_seconds=0.28
# vram	post-prefill	0, 90131 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
record	rows	cols	max_abs	max_rel	mean_abs	ref_absmax
layer0	10	10240	7.269e-3	7.269e-3	2.142e-4	3.242e-1
layer1	10	10240	7.227e-3	7.227e-3	3.351e-4	4.551e-1
layer2	10	10240	9.171e-3	9.171e-3	4.949e-4	5.273e-1
layer3	10	10240	9.398e-3	9.398e-3	6.098e-4	5.039e-1
layer4	10	10240	2.462e-2	2.462e-2	8.936e-4	5.000e-1
layer5	10	10240	3.257e-2	2.265e-2	1.008e-3	3.047e0
layer6	10	10240	3.165e-2	2.838e-2	1.172e-3	3.078e0
layer7	10	10240	3.099e-2	3.099e-2	1.362e-3	3.047e0
layer8	10	10240	3.247e-2	3.247e-2	1.473e-3	3.062e0
layer9	10	10240	3.160e-2	3.126e-2	1.574e-3	3.062e0
layer10	10	10240	3.159e-2	3.085e-2	1.652e-3	3.125e0
layer11	10	10240	3.802e-2	3.091e-2	1.743e-3	3.016e0
layer12	10	10240	3.209e-2	3.209e-2	1.838e-3	2.953e0
layer13	10	10240	3.258e-2	3.258e-2	1.920e-3	2.984e0
layer14	10	10240	3.231e-2	3.151e-2	2.036e-3	3.016e0
layer15	10	10240	3.236e-2	3.236e-2	2.124e-3	2.953e0
layer16	10	10240	3.148e-2	3.148e-2	2.308e-3	2.938e0
layer17	10	10240	3.143e-2	3.143e-2	2.381e-3	2.969e0
layer18	10	10240	4.175e-2	4.175e-2	2.657e-3	2.969e0
layer19	10	10240	3.959e-2	3.959e-2	2.780e-3	3.000e0
layer20	10	10240	3.832e-2	3.832e-2	2.840e-3	2.938e0
layer21	10	10240	3.926e-2	3.926e-2	3.073e-3	2.969e0
layer22	10	10240	3.909e-2	3.909e-2	3.290e-3	2.969e0
layer23	10	10240	4.600e-2	4.600e-2	3.389e-3	2.969e0
layer24	10	10240	4.866e-2	4.866e-2	3.712e-3	3.828e0
layer25	10	10240	4.719e-2	4.719e-2	3.854e-3	3.859e0
layer26	10	10240	4.793e-2	4.793e-2	4.162e-3	5.062e0
layer27	10	10240	5.694e-2	5.694e-2	4.513e-3	4.750e0
layer28	10	10240	6.021e-2	6.021e-2	4.965e-3	4.531e0
layer29	10	10240	8.489e-2	8.489e-2	5.506e-3	4.469e0
layer30	10	10240	9.780e-2	9.780e-2	6.039e-3	4.438e0
layer31	10	10240	1.151e-1	1.151e-1	6.409e-3	4.281e0
layer32	10	10240	1.332e-1	1.332e-1	7.194e-3	3.891e0
layer33	10	10240	1.496e-1	1.496e-1	7.893e-3	3.844e0
layer34	10	10240	1.607e-1	1.607e-1	8.701e-3	3.828e0
layer35	10	10240	1.737e-1	1.737e-1	9.711e-3	3.859e0
layer36	10	10240	3.330e-1	3.330e-1	1.330e-2	6.844e0
layer37	10	10240	3.301e-1	3.301e-1	1.493e-2	7.094e0
layer38	10	10240	3.283e-1	3.283e-1	1.724e-2	7.094e0
layer39	10	10240	4.489e-1	4.489e-1	2.027e-2	7.188e0
layer40	10	10240	5.037e-1	5.037e-1	2.357e-2	7.219e0
layer41	10	10240	4.600e-1	4.600e-1	2.559e-2	7.125e0
layer42	10	10240	4.611e-1	4.611e-1	2.794e-2	7.156e0
layer43	10	10240	5.030e-1	5.030e-1	3.120e-2	7.188e0
layer44	10	10240	7.824e-1	7.824e-1	3.796e-2	1.162e1
layer45	10	10240	8.943e-1	8.943e-1	4.724e-2	1.169e1
layer46	10	10240	8.242e-1	8.242e-1	5.574e-2	1.350e1
layer47	10	10240	1.029e0	1.029e0	5.999e-2	2.575e1
exit_mixer	10	2560	1.380e1	7.280e0	4.577e-1	1.880e2
logits	10	248320	7.361e0	5.979e0	2.778e-1	1.950e1
logits_row	max_abs	max_rel	ref_absmax	golden_top1	our_top1	match
0	3.559e-1	3.559e-1	1.231e1	20438	20438	true
1	1.048e0	9.966e-1	1.431e1	4087	4087	true
2	1.324e0	1.324e0	1.800e1	37550	37550	true
3	1.311e0	1.093e0	1.638e1	33075	33075	true
4	1.626e0	1.576e0	1.888e1	888	888	true
5	1.649e0	1.324e0	1.862e1	279	279	true
6	3.132e0	1.995e0	1.950e1	15217	15217	true
7	1.902e0	1.645e0	1.888e1	5388	5388	true
8	1.968e0	1.742e0	1.575e1	13	13	true
9	7.361e0	5.979e0	1.638e1	271	271	true
# logits_argmax_agreement	10/10
# probe_logits	/home/ubuntu/realgate/kvq/probe-logits-kvq1-gold.bin	rows=10	vocab=248320
