pos	planes	extent_bytes	free_before	free_after	delta	equal	plane_labels
1863	17	35651584	8777957376	8742305792	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
2666	17	35651584	8742305792	8706654208	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
3791	17	35651584	8706654208	8671002624	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
5397	17	35651584	8671002624	8635351040	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
5718	17	35651584	8635351040	8599699456	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
7646	17	35651584	8599699456	8564047872	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
8127	17	35651584	8564047872	8528396288	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
9573	17	35651584	8528396288	8492744704	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
10858	17	35651584	8492744704	8457093120	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
11501	17	35651584	8457093120	8421441536	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
13428	17	35651584	8421441536	8385789952	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
13589	17	35651584	8385789952	8350138368	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
15356	17	35651584	8350138368	8314486784	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
16319	17	35651584	8314486784	8278835200	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
17283	17	35651584	8278835200	8243183616	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
19050	17	35651584	8243183616	8207532032	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
19211	17	35651584	8207532032	8171880448	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
21138	17	35651584	8171880448	8136228864	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
21781	17	35651584	8136228864	8100577280	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
23066	17	35651584	8100577280	8064925696	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
24511	17	35651584	8064925696	8029274112	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
24993	17	35651584	8029274112	7993622528	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
26921	17	35651584	7993622528	7957970944	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
27242	17	35651584	7957970944	7922319360	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
28848	17	35651584	7922319360	7886667776	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
29973	17	35651584	7886667776	7851016192	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
30776	17	35651584	7851016192	7815364608	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
32703	34	71303168	7815364608	7744061440	71303168	true	k3,v3,k7,v7,k11,v11,k15,v15,k19,v19,k23,v23,k27,v27,k31,v31,k35,v35,k39,v39,k43,v43,k47,v47,k51,v51,k55,v55,k59,v59,k63,v63,k64,v64
