timestamp, uuid, memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/21 02:08:01.462, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 0, 97250, 0, 34.05, 32
2026/09/21 02:08:01.732, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 0, 97250, 0, 34.78, 32
2026/09/21 02:08:01.982, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 1, 97250, 0, 34.78, 32
2026/09/21 02:08:02.253, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 627, 96624, 0, 37.99, 32
2026/09/21 02:08:02.503, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 627, 96624, 1, 44.00, 32
2026/09/21 02:08:02.753, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 629, 96622, 1, 64.55, 33
2026/09/21 02:08:03.003, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 629, 96622, 1, 68.70, 33
2026/09/21 02:08:03.254, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 693, 96558, 0, 91.44, 33
2026/09/21 02:08:03.504, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 3, 97.52, 34
2026/09/21 02:08:03.754, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 97.33, 33
2026/09/21 02:08:04.004, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 97.13, 33
2026/09/21 02:08:04.254, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 96.78, 33
2026/09/21 02:08:04.504, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.45, 33
2026/09/21 02:08:04.754, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.43, 33
2026/09/21 02:08:05.004, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.43, 33
2026/09/21 02:08:05.255, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 92.14, 33
2026/09/21 02:08:05.505, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 92.14, 33
2026/09/21 02:08:05.755, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 92.15, 33
2026/09/21 02:08:06.005, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.92, 33
2026/09/21 02:08:06.255, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.64, 33
2026/09/21 02:08:06.505, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.64, 33
2026/09/21 02:08:06.755, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.64, 33
2026/09/21 02:08:07.005, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.64, 33
2026/09/21 02:08:07.255, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.77, 33
2026/09/21 02:08:07.505, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.77, 33
2026/09/21 02:08:07.756, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.77, 33
2026/09/21 02:08:08.006, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.77, 33
2026/09/21 02:08:08.256, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 92.89, 34
2026/09/21 02:08:08.506, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 92.53, 34
2026/09/21 02:08:08.756, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 92.16, 34
2026/09/21 02:08:09.006, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.97, 34
2026/09/21 02:08:09.256, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.86, 34
2026/09/21 02:08:09.506, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.86, 34
2026/09/21 02:08:09.757, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.86, 34
2026/09/21 02:08:10.007, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.86, 34
2026/09/21 02:08:10.257, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.24, 34
2026/09/21 02:08:10.507, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.24, 34
2026/09/21 02:08:10.757, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.24, 34
2026/09/21 02:08:11.007, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.24, 34
2026/09/21 02:08:11.257, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.22, 34
2026/09/21 02:08:11.507, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.22, 34
2026/09/21 02:08:11.758, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.22, 34
2026/09/21 02:08:12.008, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.22, 34
2026/09/21 02:08:12.258, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.66, 34
2026/09/21 02:08:12.508, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.66, 34
2026/09/21 02:08:12.758, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.66, 34
2026/09/21 02:08:13.008, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.66, 34
2026/09/21 02:08:13.258, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.47, 34
2026/09/21 02:08:13.508, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.47, 34
2026/09/21 02:08:13.758, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.47, 34
2026/09/21 02:08:14.008, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 89.47, 34
