2026/08/13 01:07:40.110, 0, P8, 54, 10.28, 210, 157, 0
2026/08/13 01:07:40.367, 0, P8, 54, 10.28, 210, 450, 0
2026/08/13 01:07:40.617, 0, P0, 54, 27.97, 210, 452, 2
2026/08/13 01:07:40.868, 0, P0, 54, 27.97, 210, 900, 2
2026/08/13 01:07:41.118, 0, P0, 54, 26.48, 1192, 1284, 1
2026/08/13 01:07:41.381, 0, P0, 54, 26.48, 1192, 2054, 1
2026/08/13 01:07:41.631, 0, P0, 54, 26.50, 1192, 2470, 0
2026/08/13 01:07:41.881, 0, P0, 54, 26.50, 1192, 2888, 0
2026/08/13 01:07:42.131, 0, P0, 54, 26.58, 1192, 3656, 1
2026/08/13 01:07:42.381, 0, P0, 54, 26.58, 1192, 4042, 1
2026/08/13 01:07:42.632, 0, P0, 54, 26.71, 1192, 4042, 0
2026/08/13 01:07:42.885, 0, P0, 54, 26.71, 1192, 4458, 0
2026/08/13 01:07:43.135, 0, P0, 54, 26.43, 1192, 4842, 15
2026/08/13 01:07:43.385, 0, P0, 54, 26.43, 1192, 5228, 15
2026/08/13 01:07:43.635, 0, P0, 54, 26.29, 1192, 5644, 15
2026/08/13 01:07:43.885, 0, P0, 54, 26.29, 1192, 6030, 15
2026/08/13 01:07:44.136, 0, P0, 54, 26.60, 1192, 6830, 0
2026/08/13 01:07:44.393, 0, P0, 54, 26.60, 1192, 7214, 0
2026/08/13 01:07:44.643, 0, P0, 54, 26.78, 1192, 7600, 15
2026/08/13 01:07:44.894, 0, P0, 54, 26.78, 1192, 8400, 15
2026/08/13 01:07:45.144, 0, P0, 54, 26.70, 1192, 8786, 7
2026/08/13 01:07:45.408, 0, P0, 54, 26.48, 1192, 9170, 0
2026/08/13 01:07:45.658, 0, P0, 54, 26.48, 1192, 9202, 0
2026/08/13 01:07:45.908, 0, P0, 54, 26.24, 1192, 9202, 0
2026/08/13 01:07:46.158, 0, P0, 54, 26.24, 1192, 9586, 0
2026/08/13 01:07:46.408, 0, P0, 54, 26.08, 1192, 9588, 0
2026/08/13 01:07:46.659, 0, P0, 54, 26.08, 1192, 9940, 0
2026/08/13 01:07:46.909, 0, P0, 54, 26.12, 1192, 10356, 0
2026/08/13 01:07:47.159, 0, P0, 54, 26.12, 1192, 10356, 0
2026/08/13 01:07:47.409, 0, P0, 54, 26.30, 1192, 10774, 0
2026/08/13 01:07:47.690, 0, P0, 54, 26.30, 1192, 11158, 0
2026/08/13 01:07:47.941, 0, P0, 54, 26.40, 1192, 11542, 1
2026/08/13 01:07:48.218, 0, P0, 54, 26.40, 1192, 11960, 1
2026/08/13 01:07:48.476, 0, P0, 54, 26.44, 1192, 12344, 14
2026/08/13 01:07:48.749, 0, P0, 54, 26.44, 1192, 12728, 14
2026/08/13 01:07:49.005, 0, P0, 54, 26.19, 1192, 12728, 0
2026/08/13 01:07:49.256, 0, P0, 54, 26.19, 1192, 13114, 0
2026/08/13 01:07:49.506, 0, P0, 54, 26.15, 1192, 13114, 0
2026/08/13 01:07:49.756, 0, P0, 54, 26.15, 1192, 13530, 0
2026/08/13 01:07:50.006, 0, P0, 54, 26.06, 1192, 13914, 0
2026/08/13 01:07:50.256, 0, P0, 54, 26.06, 1192, 13916, 0
2026/08/13 01:07:50.507, 0, P0, 55, 26.22, 1192, 14332, 15
2026/08/13 01:07:50.803, 0, P0, 55, 26.22, 1192, 14780, 15
2026/08/13 01:07:51.053, 0, P0, 55, 26.33, 1192, 15164, 0
2026/08/13 01:07:51.303, 0, P0, 55, 26.33, 1192, 15550, 0
2026/08/13 01:07:51.553, 0, P0, 55, 26.34, 1192, 15582, 15
2026/08/13 01:07:51.812, 0, P0, 55, 26.34, 1192, 15966, 15
2026/08/13 01:07:52.062, 0, P0, 55, 26.28, 1192, 16446, 0
2026/08/13 01:07:52.316, 0, P0, 55, 26.28, 1192, 16448, 0
2026/08/13 01:07:52.581, 0, P0, 55, 26.22, 1192, 16960, 0
2026/08/13 01:07:52.854, 0, P0, 55, 26.22, 1192, 17312, 0
2026/08/13 01:07:53.104, 0, P0, 55, 26.41, 1192, 17312, 0
2026/08/13 01:07:53.354, 0, P0, 55, 26.41, 1192, 17952, 0
2026/08/13 01:07:53.604, 0, P0, 55, 26.42, 1192, 18080, 15
2026/08/13 01:07:53.854, 0, P0, 55, 26.42, 1192, 18080, 15
2026/08/13 01:07:54.110, 0, P0, 55, 39.04, 1035, 18080, 1
2026/08/13 01:07:54.365, 0, P0, 55, 39.04, 1035, 18080, 1
2026/08/13 01:07:54.625, 0, P0, 55, 37.88, 1192, 18080, 1
2026/08/13 01:07:54.883, 0, P0, 55, 37.88, 1192, 18080, 1
2026/08/13 01:07:55.137, 0, P0, 55, 25.89, 1192, 18080, 1
2026/08/13 01:07:55.387, 0, P0, 55, 25.89, 1192, 157, 1
2026/08/13 01:07:55.638, 0, P0, 55, 28.39, 1192, 157, 7
2026/08/13 01:07:55.888, 0, P0, 55, 28.39, 1192, 157, 7
2026/08/13 01:07:56.138, 0, P0, 55, 28.35, 1192, 184, 0
2026/08/13 01:07:56.388, 0, P0, 55, 28.35, 1192, 452, 0
2026/08/13 01:07:56.638, 0, P0, 55, 26.05, 1192, 868, 0
2026/08/13 01:07:56.889, 0, P0, 55, 26.05, 1192, 1284, 0
2026/08/13 01:07:57.139, 0, P0, 55, 26.36, 1192, 1702, 15
2026/08/13 01:07:57.389, 0, P0, 55, 26.36, 1192, 2086, 15
2026/08/13 01:07:57.639, 0, P0, 55, 26.51, 1192, 2854, 0
2026/08/13 01:07:57.889, 0, P0, 55, 26.51, 1192, 3272, 0
2026/08/13 01:07:58.143, 0, P0, 55, 26.65, 1192, 3656, 11
