prompt	arm	status	rounds	drafted	accepted	acc_rate	acc_per_cycle	tok_per_cycle	completion_tokens	finish
p00-code	greedy	200	50	250	78	0.3120	1.560	2.560	128	length
p00-code	sampled-vendor-default	200	56	280	72	0.2571	1.286	2.286	128	length
p01-code	greedy	200	60	300	67	0.2233	1.117	2.117	128	length
p01-code	sampled-vendor-default	200	55	275	72	0.2618	1.309	2.309	128	length
p02-code	greedy	200	50	250	77	0.3080	1.540	2.540	128	length
p02-code	sampled-vendor-default	200	55	275	73	0.2655	1.327	2.327	128	length
p03-code	greedy	200	53	265	74	0.2792	1.396	2.396	128	length
p03-code	sampled-vendor-default	200	55	275	74	0.2691	1.345	2.345	128	length
p04-code	greedy	200	54	270	74	0.2741	1.370	2.370	128	length
p04-code	sampled-vendor-default	200	54	270	75	0.2778	1.389	2.389	128	length
p05-code	greedy	200	61	305	69	0.2262	1.131	2.131	128	length
p05-code	sampled-vendor-default	200	52	260	75	0.2885	1.442	2.442	128	length
p06-prose	greedy	200	51	255	78	0.3059	1.529	2.529	128	length
p06-prose	sampled-vendor-default	200	56	280	71	0.2536	1.268	2.268	128	length
p07-prose	greedy	200	48	240	79	0.3292	1.646	2.646	128	length
p07-prose	sampled-vendor-default	200	56	280	72	0.2571	1.286	2.286	128	length
p08-prose	greedy	200	49	245	78	0.3184	1.592	2.592	128	length
p08-prose	sampled-vendor-default	200	50	250	77	0.3080	1.540	2.540	128	length
p09-prose	greedy	200	57	285	71	0.2491	1.246	2.246	128	length
p09-prose	sampled-vendor-default	200	59	295	69	0.2339	1.169	2.169	128	length
p10-agent-a	greedy	200	51	255	79	0.3098	1.549	2.549	128	length
p10-agent-a	sampled-vendor-default	200	66	330	64	0.1939	0.970	1.970	128	length
p11-agent-b	greedy	200	50	250	79	0.3160	1.580	2.580	128	length
p11-agent-b	sampled-vendor-default	200	54	270	73	0.2704	1.352	2.352	128	length
p12-agent-c	greedy	408	-	-	-	-	-	-	None	 spec_missing
p12-agent-c	sampled-vendor-default	408	-	-	-	-	-	-	None	 spec_missing
