pid, process_name, used_gpu_memory [MiB]
1200326, /tmp/tmp.pTuTeg4NH9/hold, 22176 MiB
1201176, /home/avifenesh/projects/wt-541/target/release/kernel-check, 804 MiB
1201429, /home/avifenesh/projects/wt-541/target/release/deps/memra_server-35f5785150dc3b55, 10 MiB
1201425, /home/avifenesh/projects/wt-541/target/release/deps/memra_server-35f5785150dc3b55, 10 MiB
