timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/22 19:18:19.853, 0, P0, 1057 MHz, 14001 MHz, 32.24 W, [N/A], 58, 15 MiB, 8 %
2026/09/22 19:18:20.857, 0, P0, 1057 MHz, 14001 MHz, 31.39 W, [N/A], 58, 3257 MiB, 0 %
2026/09/22 19:18:21.858, 0, P0, 1597 MHz, 14001 MHz, 31.92 W, [N/A], 58, 6585 MiB, 14 %
2026/09/22 19:18:22.859, 0, P0, 1867 MHz, 14001 MHz, 91.77 W, [N/A], 72, 9753 MiB, 100 %
2026/09/22 19:18:23.860, 0, P0, 1845 MHz, 14001 MHz, 172.57 W, [N/A], 68, 9753 MiB, 100 %
2026/09/22 19:18:24.862, 0, P0, 1890 MHz, 14001 MHz, 171.98 W, [N/A], 68, 9753 MiB, 100 %
2026/09/22 19:18:25.864, 0, P0, 1995 MHz, 14001 MHz, 172.18 W, [N/A], 69, 9753 MiB, 100 %
2026/09/22 19:18:26.866, 0, P0, 2130 MHz, 14001 MHz, 172.65 W, [N/A], 73, 9753 MiB, 100 %
2026/09/22 19:18:27.867, 0, P0, 2025 MHz, 14001 MHz, 172.63 W, [N/A], 71, 9753 MiB, 99 %
2026/09/22 19:18:28.869, 0, P0, 2107 MHz, 14001 MHz, 171.57 W, [N/A], 70, 9753 MiB, 100 %
2026/09/22 19:18:29.871, 0, P0, 2130 MHz, 14001 MHz, 172.27 W, [N/A], 71, 9753 MiB, 100 %
2026/09/22 19:18:30.873, 0, P0, 2190 MHz, 14001 MHz, 171.42 W, [N/A], 72, 9753 MiB, 100 %
2026/09/22 19:18:31.875, 0, P0, 2115 MHz, 14001 MHz, 171.95 W, [N/A], 72, 9753 MiB, 100 %
2026/09/22 19:18:32.877, 0, P0, 2122 MHz, 14001 MHz, 172.13 W, [N/A], 72, 9753 MiB, 100 %
2026/09/22 19:18:33.879, 0, P0, 2055 MHz, 14001 MHz, 172.49 W, [N/A], 77, 9753 MiB, 100 %
2026/09/22 19:18:34.881, 0, P0, 2152 MHz, 14001 MHz, 171.81 W, [N/A], 74, 9753 MiB, 100 %
2026/09/22 19:18:35.883, 0, P0, 2130 MHz, 14001 MHz, 171.85 W, [N/A], 74, 9753 MiB, 100 %
2026/09/22 19:18:36.885, 0, P0, 2130 MHz, 14001 MHz, 171.89 W, [N/A], 74, 22196 MiB, 100 %
2026/09/22 19:18:37.887, 0, P0, 2122 MHz, 14001 MHz, 171.93 W, [N/A], 75, 21940 MiB, 100 %
2026/09/22 19:18:38.890, 0, P0, 2115 MHz, 14001 MHz, 171.84 W, [N/A], 75, 21940 MiB, 100 %
2026/09/22 19:18:39.892, 0, P0, 2130 MHz, 14001 MHz, 171.86 W, [N/A], 76, 21940 MiB, 99 %
2026/09/22 19:18:40.894, 0, P0, 2047 MHz, 14001 MHz, 172.04 W, [N/A], 80, 21940 MiB, 100 %
2026/09/22 19:18:41.896, 0, P0, 2160 MHz, 14001 MHz, 141.55 W, [N/A], 75, 21940 MiB, 100 %
2026/09/22 19:18:42.898, 0, P0, 1755 MHz, 14001 MHz, 138.34 W, [N/A], 75, 21940 MiB, 100 %
2026/09/22 19:18:43.900, 0, P0, 1747 MHz, 14001 MHz, 138.34 W, [N/A], 76, 21940 MiB, 100 %
2026/09/22 19:18:44.903, 0, P0, 1822 MHz, 14001 MHz, 138.15 W, [N/A], 76, 21940 MiB, 99 %
2026/09/22 19:18:45.905, 0, P0, 1927 MHz, 14001 MHz, 159.26 W, [N/A], 77, 21940 MiB, 99 %
2026/09/22 19:18:46.907, 0, P0, 1942 MHz, 14001 MHz, 158.99 W, [N/A], 78, 22268 MiB, 99 %
2026/09/22 19:18:47.909, 0, P0, 2280 MHz, 14001 MHz, 175.24 W, [N/A], 79, 21982 MiB, 97 %
2026/09/22 19:18:48.911, 0, P0, 2025 MHz, 14001 MHz, 173.19 W, [N/A], 79, 22910 MiB, 100 %
2026/09/22 19:18:49.913, 0, P0, 2145 MHz, 14001 MHz, 171.82 W, [N/A], 79, 23230 MiB, 96 %
2026/09/22 19:18:50.914, 0, P0, 2152 MHz, 14001 MHz, 170.74 W, [N/A], 79, 22462 MiB, 89 %
2026/09/22 19:18:51.918, 0, P0, 2040 MHz, 14001 MHz, 171.49 W, [N/A], 79, 22462 MiB, 99 %
2026/09/22 19:18:52.920, 0, P0, 2062 MHz, 14001 MHz, 172.05 W, [N/A], 79, 22462 MiB, 100 %
2026/09/22 19:18:53.922, 0, P0, 2092 MHz, 14001 MHz, 170.26 W, [N/A], 80, 22590 MiB, 93 %
2026/09/22 19:18:54.924, 0, P0, 2055 MHz, 14001 MHz, 171.24 W, [N/A], 80, 22590 MiB, 98 %
2026/09/22 19:18:55.926, 0, P0, 2077 MHz, 14001 MHz, 171.58 W, [N/A], 80, 22590 MiB, 99 %
2026/09/22 19:18:56.928, 0, P0, 2085 MHz, 14001 MHz, 171.48 W, [N/A], 80, 22462 MiB, 92 %
2026/09/22 19:18:57.930, 0, P0, 2092 MHz, 14001 MHz, 154.77 W, [N/A], 79, 22492 MiB, 56 %
2026/09/22 19:18:58.942, 0, P0, 2197 MHz, 14001 MHz, 163.72 W, [N/A], 81, 22462 MiB, 97 %
2026/09/22 19:18:59.944, 0, P0, 2190 MHz, 14001 MHz, 172.07 W, [N/A], 81, 22462 MiB, 97 %
2026/09/22 19:19:00.946, 0, P0, 2250 MHz, 14001 MHz, 171.00 W, [N/A], 81, 22462 MiB, 100 %
2026/09/22 19:19:01.948, 0, P0, 2130 MHz, 14001 MHz, 171.93 W, [N/A], 81, 22462 MiB, 100 %
2026/09/22 19:19:02.950, 0, P0, 2115 MHz, 14001 MHz, 172.35 W, [N/A], 81, 22462 MiB, 99 %
2026/09/22 19:19:03.952, 0, P0, 2257 MHz, 14001 MHz, 171.58 W, [N/A], 82, 22590 MiB, 96 %
2026/09/22 19:19:04.954, 0, P0, 2130 MHz, 14001 MHz, 171.99 W, [N/A], 82, 22590 MiB, 97 %
2026/09/22 19:19:05.956, 0, P0, 2115 MHz, 14001 MHz, 171.52 W, [N/A], 82, 22590 MiB, 98 %
2026/09/22 19:19:06.958, 0, P0, 2190 MHz, 14001 MHz, 171.70 W, [N/A], 82, 22462 MiB, 100 %
