arm,model,shape,phase,relative_pc,sass,instructions_executed,conflict_degree,actual_wavefronts,ideal_wavefronts,excess_wavefronts
baseline,q27,4096,k_ldmatrix,0x003db0,"LDSM.16.M88.4 R44, [R44]",399360,32,12779520,1597440,11182080
baseline,q27,4096,k_ldmatrix,0x003ea0,"LDSM.16.M88.4 R40, [R40]",399360,32,12779520,1597440,11182080
baseline,q27,4096,k_ldmatrix,0x003ed0,"LDSM.16.M88.4 R44, [R44]",399360,32,12779520,1597440,11182080
baseline,q27,4096,k_ldmatrix,0x003fc0,"LDSM.16.M88.4 R40, [R40]",399360,32,12779520,1597440,11182080
baseline,q27,4096,k_ldmatrix,0x003ff0,"LDSM.16.M88.4 R44, [R44]",399360,32,12779520,1597440,11182080
baseline,q27,4096,k_ldmatrix,0x0040e0,"LDSM.16.M88.4 R40, [R40]",399360,32,12779520,1597440,11182080
baseline,q27,4096,k_ldmatrix,0x004110,"LDSM.16.M88.4 R44, [R44]",399360,32,12779520,1597440,11182080
baseline,q27,4096,k_ldmatrix,0x004210,"LDSM.16.M88.4 R40, [R40]",399360,32,12779520,1597440,11182080
baseline,q27,4096,k_ldmatrix,0x004240,"LDSM.16.M88.4 R44, [R44]",399360,32,12779520,1597440,11182080
baseline,q27,4096,k_ldmatrix,0x0042b0,"LDSM.16.M88.4 R40, [R40]",399360,32,12779520,1597440,11182080
baseline,q27,4096,p_store,0x0056f0,"STS [R124+0x10000], R43",399360,4,1597440,399360,1198080
baseline,q27,4096,p_store,0x005740,"STS [R124+0x10200], R45",399360,4,1597440,399360,1198080
baseline,q27,4096,p_store,0x0057a0,"STS [R124+0x10210], R41",399360,4,1597440,399360,1198080
baseline,q27,4096,p_store,0x0057e0,"STS [R124+0x10020], R125",399360,4,1597440,399360,1198080
baseline,q27,4096,p_store,0x005820,"STS [R124+0x10220], R127",399360,4,1597440,399360,1198080
baseline,q27,4096,p_store,0x005860,"STS [R124+0x10230], R135",399360,4,1597440,399360,1198080
baseline,q27,4096,p_store,0x005890,"STS [R124+0x10030], R129",399360,4,1597440,399360,1198080
baseline,q27,4096,p_store,0x0058c0,"STS [R124+0x10010], R37",399360,4,1597440,399360,1198080
baseline,q27,4096,p_ldmatrix,0x0058e0,"LDSM.16.M88.4 R44, [R44]",399360,16,6389760,1597440,4792320
baseline,q27,4096,p_ldmatrix,0x005960,"LDSM.16.M88.4 R128, [R128]",399360,16,6389760,1597440,4792320
baseline,q27,4096,v_ldmatrix_trans,0x005920,"LDSM.16.MT88.4 R112, [R134]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x005980,"LDSM.16.MT88.4 R124, [R37]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x0059b0,"LDSM.16.MT88.4 R116, [R116]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x005b50,"LDSM.16.MT88.4 R112, [R112]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x005c80,"LDSM.16.MT88.4 R132, [R133]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x005d40,"LDSM.16.MT88.4 R136, [R139]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x005eb0,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x005ef0,"LDSM.16.MT88.4 R132, [R132]",399360,32,12779520,1597440,11182080
baseline,q27,4096,v_ldmatrix_trans,0x006040,"LDSM.16.MT88.4 R40, [R42]",399360,32,12779520,1597440,11182080
