shape	n	prompt_tokens	client_ttft_p50_ms	request_parse_ms	admission_ms	queue_wait_ms	tokenize_ms	prime_wait_ms	prime_ms	decode_wait_ms	sse_handoff_ms	total_ms	client_minus_server_ms
4k	5	4107	7117.664	0.044	0.014	0.037	8.882	1.178	7107.127	0.135	0.027	7117.486	0.208
short	8	228	588.116	0.013	0.011	0.033	0.662	5.500	581.471	0.135	0.023	587.929	0.179
