timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/19 13:10:49.157, 0, P8, 300 MHz, 405 MHz, 26.60 W, 37, 1 MiB, 0 %, 1, 16
2026/09/19 13:10:49.418, 0, P8, 300 MHz, 405 MHz, 27.30 W, 37, 36 MiB, 0 %, 1, 16
2026/09/19 13:10:49.669, 0, P8, 300 MHz, 405 MHz, 27.30 W, 37, 608 MiB, 0 %, 1, 16
2026/09/19 13:10:49.919, 0, P1, 2692 MHz, 13801 MHz, 43.14 W, 39, 208 MiB, 9 %, 4, 16
2026/09/19 13:10:50.169, 0, P1, 2692 MHz, 13801 MHz, 43.14 W, 39, 718 MiB, 9 %, 4, 16
2026/09/19 13:10:50.420, 0, P1, 3022 MHz, 13801 MHz, 86.15 W, 40, 718 MiB, 37 %, 4, 16
2026/09/19 13:10:50.670, 0, P1, 3022 MHz, 13801 MHz, 86.15 W, 40, 718 MiB, 37 %, 4, 16
2026/09/19 13:10:50.920, 0, P1, 3022 MHz, 13801 MHz, 102.03 W, 40, 718 MiB, 39 %, 4, 16
2026/09/19 13:10:51.171, 0, P1, 3022 MHz, 13801 MHz, 102.03 W, 40, 718 MiB, 39 %, 4, 16
2026/09/19 13:10:51.421, 0, P1, 3022 MHz, 13801 MHz, 106.56 W, 40, 718 MiB, 39 %, 4, 16
2026/09/19 13:10:51.671, 0, P1, 3022 MHz, 13801 MHz, 106.56 W, 40, 718 MiB, 39 %, 4, 16
2026/09/19 13:10:51.921, 0, P1, 3022 MHz, 13801 MHz, 106.29 W, 40, 718 MiB, 36 %, 4, 16
2026/09/19 13:10:52.172, 0, P1, 3022 MHz, 13801 MHz, 106.29 W, 40, 718 MiB, 36 %, 4, 16
2026/09/19 13:10:52.422, 0, P1, 3022 MHz, 13801 MHz, 105.57 W, 40, 718 MiB, 33 %, 4, 16
2026/09/19 13:10:52.672, 0, P1, 3022 MHz, 13801 MHz, 105.57 W, 40, 718 MiB, 33 %, 4, 16
2026/09/19 13:10:52.923, 0, P1, 3022 MHz, 13801 MHz, 105.45 W, 40, 718 MiB, 32 %, 4, 16
2026/09/19 13:10:53.173, 0, P1, 3022 MHz, 13801 MHz, 105.45 W, 40, 718 MiB, 32 %, 4, 16
2026/09/19 13:10:53.423, 0, P1, 3022 MHz, 13801 MHz, 105.56 W, 40, 718 MiB, 32 %, 4, 16
2026/09/19 13:10:53.674, 0, P1, 3022 MHz, 13801 MHz, 105.56 W, 40, 718 MiB, 32 %, 4, 16
2026/09/19 13:10:53.924, 0, P1, 3022 MHz, 13801 MHz, 105.55 W, 40, 718 MiB, 33 %, 4, 16
2026/09/19 13:10:54.174, 0, P1, 3022 MHz, 13801 MHz, 105.55 W, 40, 718 MiB, 33 %, 4, 16
2026/09/19 13:10:54.425, 0, P1, 3022 MHz, 13801 MHz, 106.09 W, 40, 718 MiB, 32 %, 4, 16
2026/09/19 13:10:54.675, 0, P1, 3022 MHz, 13801 MHz, 106.09 W, 40, 718 MiB, 32 %, 4, 16
2026/09/19 13:10:54.925, 0, P1, 3022 MHz, 13801 MHz, 106.82 W, 40, 718 MiB, 32 %, 4, 16
2026/09/19 13:10:55.176, 0, P1, 3022 MHz, 13801 MHz, 106.82 W, 40, 718 MiB, 32 %, 4, 16
2026/09/19 13:10:55.426, 0, P1, 3000 MHz, 13801 MHz, 105.70 W, 40, 750 MiB, 21 %, 4, 16
2026/09/19 13:10:55.676, 0, P1, 3000 MHz, 13801 MHz, 105.70 W, 40, 750 MiB, 21 %, 4, 16
