plane	valid_bytes	sha256
position-u64le	8	b54b1a339e9f1b672af88b397362d05c99e30d790835dbfd74fc9117a6de76d3
max-context-u64le	8	b54b1a339e9f1b672af88b397362d05c99e30d790835dbfd74fc9117a6de76d3
layer-0-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-0-conv-f32le	122880	79d6792671398d282fb2187d863de60b039aa0fcfe097a9d1120f0ed26b56cd3
layer-0-ssm-f32le	3145728	0a030e5385a6957b0ad59a927787af5b9ecb60c24ccee55938a89c8aabe72866
layer-1-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-1-conv-f32le	122880	683d25e3376ae46d1e70af8458a3df64b107fe975cd1334c5a896c45e82c657c
layer-1-ssm-f32le	3145728	aa7019028dbc45090cd17be9bbc77b91cfe37973be5dbe579ac67b37cff81cfa
layer-2-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-2-conv-f32le	122880	9f5a141063b536956c6afa874bfb48c1a60b2221b73d993775fe8697310f5f33
layer-2-ssm-f32le	3145728	47c1fb9cf98bf612da87622d2daaa8c8e2acf316a9800ab76ed4665a28b35664
layer-3-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-3-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-3-key-q8_0	35651584	3ed93afa295a6b6e5ea7dff0ccd434aeb1b6054fc23b6b737a048d28d8d4ee35
layer-3-value-q5_1	25165824	1292c54edcfde4bb733f81ec9a51d9a7a7b4ff8b8271b02907980b3599d19d7b
layer-3-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-4-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-4-conv-f32le	122880	b712f71aa0d95f3864ac6d8f6eaa0091137db85ad692e5a9924024632422f4a2
layer-4-ssm-f32le	3145728	304506b608b737699bcd0402089614f30e29282401b66f836057624625949cee
layer-5-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-5-conv-f32le	122880	56ee802723c50631814d2086b3e2d4bb7b155c6a01cf30dce04a6032c3024820
layer-5-ssm-f32le	3145728	31486d59ac53cefb4180b1730cb493323ddb033e4c08819b58bd583f138e1229
layer-6-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-6-conv-f32le	122880	b447949524c04bcbd11ae03e91b51e8fcdbd400513f0200a063f50a500fd16e5
layer-6-ssm-f32le	3145728	613878a48e719bb04a8c7554e1cceaf6c728af61f0054c276082ad7ffb832587
layer-7-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-7-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-7-key-q8_0	35651584	1e6c22606b87bac70a6889fb3f6e638dfd647ce1b40a58b3bef433a9d3f785a2
layer-7-value-q5_1	25165824	ca0f5f2c4dd55b769ede45fc70478da301eb64f9b2dc4b99559caecfb1738b80
layer-7-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-8-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-8-conv-f32le	122880	83f02e19c81372e5a88062ee6d0e0622be19c16e897d20f46f9da8b7d70e1765
layer-8-ssm-f32le	3145728	1a4e4aaf1b5dfbdf5e57f91a9408a8dc299bb07663bf0d6a7343d5c5203a5058
layer-9-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-9-conv-f32le	122880	74256812ea7d456f0fcb28b777cbe8165f335e12ce16e7d39d7514580ae00582
layer-9-ssm-f32le	3145728	fce5aa68e0fc809237aeea8d72c5b1fc6ed7b7007b89e02b37ab3d29cf366700
layer-10-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-10-conv-f32le	122880	5540b87a9f9e930e48be0366dc151e1ad96d328e7ca8b5a73043ff15fd557a34
layer-10-ssm-f32le	3145728	d824056f577e8112122471c15d6045e359990c0da237c3f7335b43eb08674aa3
layer-11-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-11-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-11-key-q8_0	35651584	71366521c62a6cbc5fad0060e99d8b36115e5eed6c64773faf8fb063a1829e52
layer-11-value-q5_1	25165824	6164d60b39f70c3a507587bf1f670c8bc316b3b05311280712524576decb36c0
layer-11-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-12-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-12-conv-f32le	122880	19d2108a813e6aac2f5fe0c73496a94df1017d1bb78a5ce6fb0a34d17fe55e57
layer-12-ssm-f32le	3145728	2246acd76ec567f0aa049c02ccb8c9bf9ebcd483efa709722ed5f8a64197dd2e
layer-13-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-13-conv-f32le	122880	830085cd041bddfe3a3e9576042e66f70924bc3fb32eb8ab8278992bc2f8518c
layer-13-ssm-f32le	3145728	c9626317ff20a880a946e307e4565d64e67b8519dcdce6b00f8f409194c3d987
layer-14-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-14-conv-f32le	122880	1b07ddf1ad7823dfcfa97bf315ae668bf4a8407af75083be21abc2934eff4d13
layer-14-ssm-f32le	3145728	c8722aa418319ccc78ebac7ffbdc6c13598d8cee0878e06420a97737039c6686
layer-15-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-15-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-15-key-q8_0	35651584	6047e3906b0d4a80cffacd0ec1a967ab6d3204dde4ed75926de835bbb8bb85f9
layer-15-value-q5_1	25165824	e6d45aa06e49d2a42d93a3281aa692d31798425c59572eb40090605850391cc9
layer-15-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-16-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-16-conv-f32le	122880	236a71974110b2421087c04fc4a5e3334d63f3186026f8f9b8fc2f7612e3ce44
layer-16-ssm-f32le	3145728	504c1b2122160494d16b7797e2dd2425f66f1c14b11008adbb3693c907407e1e
layer-17-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-17-conv-f32le	122880	2ccc135d4c84aad1eb26b01d6954cdf23a48a4f561ac65f8f84d4288fb49e732
layer-17-ssm-f32le	3145728	4e1b39302ec7d2a1a2922e17ecf52148e21b79a8cb4f61c238e4620c442c2b52
layer-18-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-18-conv-f32le	122880	15528bf8d2ba0f340e883ed3ac45472fccbf3a0c3499be7b94fb3bdc4ede1d44
layer-18-ssm-f32le	3145728	ec711362a14f39f3eb4d78cacce30f962228d7d7f7ddd92d0dc8857d5f40044d
layer-19-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-19-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-19-key-q8_0	35651584	83a0053904cdd9a420fc533d0995344a6e7b251e58a1f7f693b9ce41882db61e
layer-19-value-q5_1	25165824	016571f9f805fd7dc04c8525169b754fbb485eb2d987e0393a502e49d1c15ba1
layer-19-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-20-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-20-conv-f32le	122880	904a3bd10213ac63322c2d6ee73ce97faeb51b4ec4cfb8c4c1afe92653db218a
layer-20-ssm-f32le	3145728	6ce15082bd7450a5bc77d4870a68219cb5c9458ec94f1bc8687cd6471f8911cb
layer-21-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-21-conv-f32le	122880	43fa3e6865467d0fc99f1ed309afd3522d878d8ade482256412a56b28fdf761e
layer-21-ssm-f32le	3145728	8c170dec4de89e61516ee4a89867ee72fde21d6dd114263af5d45345c6c241d2
layer-22-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-22-conv-f32le	122880	bfca50f4e102179b4eaee2c4327003daa23dc374793c8c9fc8a9788d88e475bb
layer-22-ssm-f32le	3145728	4aeb33bbade3838375c2e9d03892a84300f39ab4b09b90f4ce1cc9fea09ec48e
layer-23-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-23-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-23-key-q8_0	35651584	0af37fdeb1c951bc2995716bc03ac662bba2d90aeacf2d87ecc2928c68d88997
layer-23-value-q5_1	25165824	7b6a7ecf54250eed499841644547e38ecb4caae66cecca87a3b8526fac806b33
layer-23-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-24-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-24-conv-f32le	122880	2495e4f1bb8390b47db58bb80dc47c115add7e919db3a19a76cea09994fd884a
layer-24-ssm-f32le	3145728	9551feee32c97bf7f192028a0c6c8a8469cbf1bd04188ee24f7999a32f4b17df
layer-25-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-25-conv-f32le	122880	4ec54ab8d0d9b0af5137c77979eb80fb712baf9ffe651b0a4e31b6e744c9a1c4
layer-25-ssm-f32le	3145728	cd6b8e40570535f6655be4bff29884d56a22f0fb7997ec2bff0308f45e08c75a
layer-26-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-26-conv-f32le	122880	6f0fbe50a030ee291da5677d83855346eecd31c9768e649d42154dcdbe21d5d0
layer-26-ssm-f32le	3145728	f983005f3b7594487ca988bd68d95970043c349d9b4694e59eca0eefc3eb73f6
layer-27-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-27-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-27-key-q8_0	35651584	7383d4416252b2ec6ba21520958ddfb4a4433d98344c1046338f3fd5b2376757
layer-27-value-q5_1	25165824	42f7d6005fb184eebf60c6d32e0d48234e9438d367e7dba12b169a977686f414
layer-27-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-28-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-28-conv-f32le	122880	2aaacce2c3910fd66b11db70511ce50392d556075682521a292ea3548d2a0fe5
layer-28-ssm-f32le	3145728	64f043806c5acabf2ab910b0c68b8a84789c53c7947bcbe4eae6d49e947f75d9
layer-29-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-29-conv-f32le	122880	05d560957068f6ea8548862941d8aee8f291e9dff3bba9e7728881d1a11b6791
layer-29-ssm-f32le	3145728	93afba112beb5328b15e208d5f52ae707555c9c2d6666fc2bcdbf37f2962e48a
layer-30-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-30-conv-f32le	122880	b25a4a9fb3e0a88832bc687545a5900b3a1b4ff51877cba9830b9fff20c9c91e
layer-30-ssm-f32le	3145728	5ae14b9d5b564e10ca5c4a2cc914f29dd0ed2f847be50f2bea39afe1032cae19
layer-31-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-31-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-31-key-q8_0	35651584	a8bfd974916cb694ed57ff4bb22e2d4172a31e82bbbbdeb268c4485bafb0a977
layer-31-value-q5_1	25165824	4ecc3d3532f6fbf246eb563a74b78147c0769664037ff0b642530b48733a4ce5
layer-31-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-32-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-32-conv-f32le	122880	20cb21c3470aa31eabd9fe99b3765841d3067e71d82c9983dc119141d5357f42
layer-32-ssm-f32le	3145728	7319dbd970036ed407c7995c60334c7b001638c19435fc4b89f01448e3ee43aa
layer-33-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-33-conv-f32le	122880	2d15326e42bf7df882623886319b73d2d59906fca29d5f8f4acb4e774adc0064
layer-33-ssm-f32le	3145728	e23dc4c29375b4f7a3ddc454c504caedfb52dc2495eeb12b95b4cda26108dfab
layer-34-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-34-conv-f32le	122880	865fe35d87c24eb4db4b96d99b43c8428e090a8ddb6323cd17cf8a77f28faccc
layer-34-ssm-f32le	3145728	7f0b50fc82030023d49788fd3a992bad4be8a3d0f8de11fe89e79f437f178a56
layer-35-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-35-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-35-key-q8_0	35651584	c4515edfa3f6a6b58d2b496b66a1185726fd35c8e3a6c084528ff6bccc153b4f
layer-35-value-q5_1	25165824	8ee103d65c72085dfa99202387bf41fae537c865aa069f74e4e6c30d2503c35d
layer-35-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-36-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-36-conv-f32le	122880	965b55967f63e48ec4955030425173a05966c33b962d0cb0896cda50262ad369
layer-36-ssm-f32le	3145728	80c2d85486550d2d0b4a8f237eded43d3ffb9cc257ac570aa8f75f341c32ef07
layer-37-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-37-conv-f32le	122880	e2f100f091cd257009d02e9759d52deac71de99630d218dc32f29530b80f9718
layer-37-ssm-f32le	3145728	6fb152d54a6a50fa2c2c93e08d7d56aa3b5427108435623108d42655663bdd0e
layer-38-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-38-conv-f32le	122880	fcbe68225bab7d1bd5883daa45dad1e6b1fab0ea0cb402394fc6e1677222b5fe
layer-38-ssm-f32le	3145728	db1e7246d2b7cd119125301c7432ee17f6d2a193ff36a7f35f3ab896f47a7abc
layer-39-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-39-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-39-key-q8_0	35651584	fcdf539c49d5cd040dcd78d1a78068647287f4f01b866a3696a7615fec525527
layer-39-value-q5_1	25165824	7626f1f697ead283d59ca18203c4cff77bdaa3a2f5ae8d00b34bc8b9ccba02ce
layer-39-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-40-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-40-conv-f32le	122880	557862e39c7d1cdf9af9ac97bc460b1353a943de8af910508291ccf59e67149a
layer-40-ssm-f32le	3145728	ec649030fa143feca15c5014c1ab3289c631160e0c3f58845c2bee47feb87207
layer-41-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-41-conv-f32le	122880	58661551141a26084224825c174094fb63bebd08ba623973f0f4f344e3ec7312
layer-41-ssm-f32le	3145728	46ee41c6c809fc77a82f29cf235fe18b1fb8b5bc41dba095e10866675643e44a
layer-42-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-42-conv-f32le	122880	5946a242321efacf12fdfeb66b2321e3d04f2a14ba9400a400bfc54fc8702216
layer-42-ssm-f32le	3145728	e346d4f4571f79ebef0e588656806b0907859b71c3e6cf84568ab3a5b09bac57
layer-43-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-43-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-43-key-q8_0	35651584	0d60546f26c4228f25a8698513c0295dcc7864bdad3355789042bc142caba1ed
layer-43-value-q5_1	25165824	805a2140e0208eaab5354708b0b109c486dbed83e2c2c6f2bfe26aa2d8d7b473
layer-43-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-44-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-44-conv-f32le	122880	be0fdb85ce72e2d8ee739395701ca20b7eb804e0b6f7fc47d27a6ac6f8340423
layer-44-ssm-f32le	3145728	8440a3fb0f9a7d23e6c0f3c7035eba72c7aa430797433af4c1737f06b4512bff
layer-45-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-45-conv-f32le	122880	5907de02a301c7ba6b7e385b1e2b40e8af7318090534335ba0da48d2b5d9d287
layer-45-ssm-f32le	3145728	b7d3d4ff110bcb323d4b4f71fbb6c1687f290fbe17b2273ca3b88ef968255287
layer-46-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-46-conv-f32le	122880	ecf4d48b128ca153fe16c2e465f59da50c83d9560abec195d990d68f30c0b77d
layer-46-ssm-f32le	3145728	5adbffc7a84412f851aee3467e55cc6b1c6221aaddab97b205697e01d4856824
layer-47-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-47-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
layer-47-key-q8_0	35651584	106697e15149e7a93928078993c603260f9703183a854661dee9985abd4bc456
layer-47-value-q5_1	25165824	9faddacc3bbbdfd35106f8c0cf152b8d78a7248e63da7bae87627e7c10294dc8
layer-47-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-48-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-48-conv-f32le	122880	790a65a88e47da5716991374973354f9b82f6685abe7fdf801a7feba1cdd77c9
layer-48-ssm-f32le	3145728	9b435839b50073be213a376dc0c75e0a82680e684bc312ad0d3e69b0cc6f7374
layer-49-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-49-conv-f32le	122880	6e27ed69107c9e3b1e0954f7372736fbcbeae8b5bf03d2972504271933339454
layer-49-ssm-f32le	3145728	91ccc01e7047354d9a73363be5049aad8547037df4fa4aa2e0862ab1850bcf04
layer-50-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-50-conv-f32le	122880	3754dcc440c2583f1fc0eaf4ba6e1d5e7917aae34dda4bf05e091fe75cf5a640
layer-50-ssm-f32le	3145728	33d2ccbf2a18bc67954786a1c2835702266ccdb0744655aa292b71fc6ddfa40f
layer-51-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-51-geometry-u64le	40	acd600c6dfb85443937c1d363b73663fac4944b9525aeb8a251d0a2c638d94d4
