2026/08/10 04:46:07.567, 0, 31, 2407, 87.82, 46001, 0
2026/08/10 04:46:07.572, 1, 32, 2325, 86.01, 56339, 0
2026/08/10 04:46:07.828, 0, 37, 2407, 131.69, 46353, 72
2026/08/10 04:46:07.828, 1, 32, 2325, 86.00, 56339, 0
2026/08/10 04:46:08.078, 0, 34, 2385, 159.74, 46353, 23
2026/08/10 04:46:08.078, 1, 38, 2325, 129.99, 56435, 89
2026/08/10 04:46:08.328, 0, 34, 2400, 179.98, 46353, 14
2026/08/10 04:46:08.328, 1, 36, 2310, 192.13, 56435, 49
2026/08/10 04:46:08.578, 0, 35, 2355, 201.32, 46353, 43
2026/08/10 04:46:08.578, 1, 36, 2287, 215.09, 56435, 45
2026/08/10 04:46:08.828, 0, 35, 2347, 194.89, 46353, 42
2026/08/10 04:46:08.828, 1, 36, 2287, 253.21, 56435, 45
