[mint] 6000/38770 tensors, 31.9 GB out, 953s
[mint] 8000/38770 tensors, 41.7 GB out, 1281s
[mint] 10000/38770 tensors, 51.7 GB out, 1607s
[mint] 12000/38770 tensors, 61.4 GB out, 1935s
[mint] 14000/38770 tensors, 71.0 GB out, 2266s
[mint] 16000/38770 tensors, 80.8 GB out, 2597s
[mint] 18000/38770 tensors, 90.6 GB out, 2927s
[mint] 20000/38770 tensors, 100.1 GB out, 3259s
[mint] 22000/38770 tensors, 109.7 GB out, 3586s
[mint] 24000/38770 tensors, 119.5 GB out, 3916s
[mint] 26000/38770 tensors, 129.3 GB out, 4246s
[mint] 28000/38770 tensors, 138.9 GB out, 4579s
[mint] 30000/38770 tensors, 148.6 GB out, 4909s
[mint] 32000/38770 tensors, 158.4 GB out, 5244s
[mint] 34000/38770 tensors, 168.0 GB out, 5577s
[mint] 36000/38770 tensors, 177.8 GB out, 5907s
[mint] 38000/38770 tensors, 187.4 GB out, 6240s
[mint] wrote 20 shards, 190.7 GB, 37338 quantized tensors
[verify] OK: 37338 NVFP4 triples + 1432 kept tensors, 190.7 GB total
MINT-DONE
