# qwen4exp_real_gate	label=nvfp4-tp2final	binary_sha256=f531860a375de52b76fefc4339494f81b7a80a94ec17caf747971dd12fbac0f3	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# tp2-gate: single-card vs TP2, same fed tokens (single-card argmax chain)
step	fed	max_abs	max_rel	ref_absmax	top1_single	top1_tp2	match
0	271	8.106e-6	6.676e-6	1.363e1	248045	248045	true
1	248045	1.574e-5	1.374e-5	1.252e1	271	271	true
2	271	8.345e-6	7.749e-6	1.546e1	248045	248045	true
3	248045	1.764e-5	1.603e-5	1.459e1	271	271	true
4	271	1.287e-5	1.264e-5	1.799e1	248045	248045	true
5	248045	1.431e-5	1.210e-5	1.763e1	248046	248046	true
6	248046	1.526e-5	1.049e-5	2.538e1	198	198	true
7	198	1.007e-5	1.007e-5	3.000e1	248045	248045	true
8	248045	8.106e-6	8.010e-6	2.373e1	846	846	true
9	846	3.040e-5	3.018e-5	2.006e1	198	198	true
10	198	1.907e-5	1.681e-5	1.544e1	248045	248045	true
11	248045	2.718e-5	2.584e-5	1.631e1	248046	248046	true
12	248046	1.323e-5	1.323e-5	3.618e1	198	198	true
13	198	2.670e-5	1.842e-5	2.937e1	248045	248045	true
14	248045	1.907e-5	9.656e-6	1.836e1	74455	74455	true
15	74455	1.144e-5	1.082e-5	2.059e1	198	198	true
16	198	1.550e-5	1.550e-5	3.215e1	248068	248068	true
17	248068	2.837e-5	2.027e-5	2.496e1	198	198	true
18	198	2.241e-5	1.910e-5	2.163e1	760	760	true
19	760	1.192e-5	1.132e-5	2.170e1	1156	1156	true
20	1156	8.583e-6	8.583e-6	2.159e1	682	682	true
21	682	8.583e-6	7.510e-6	2.280e1	3106	3106	true
22	3106	1.395e-5	1.311e-5	2.185e1	328	328	true
23	328	1.526e-5	1.347e-5	1.969e1	248045	248045	true
# verdict	steps=24	argmax_matches=24	worst_abs=3.040e-5	worst_rel=3.018e-5	policy=max_rel<=0.01+argmax	pass=true
