name	dtype	shape	nbytes	shard
lm_head.biases	BF16	120832x64	15466496	model-00016-of-00016.safetensors
lm_head.scales	BF16	120832x64	15466496	model-00016-of-00016.safetensors
lm_head.weight	U32	120832x512	247463936	model-00016-of-00016.safetensors
model.embed_tokens.biases	BF16	120832x64	15466496	model-00001-of-00016.safetensors
model.embed_tokens.scales	BF16	120832x64	15466496	model-00001-of-00016.safetensors
model.embed_tokens.weight	U32	120832x512	247463936	model-00001-of-00016.safetensors
model.layers.0.input_layernorm.weight	BF16	4096	8192	model-00001-of-00016.safetensors
model.layers.0.mlp.down_proj.biases	BF16	4096x208	1703936	model-00001-of-00016.safetensors
model.layers.0.mlp.down_proj.scales	BF16	4096x208	1703936	model-00001-of-00016.safetensors
model.layers.0.mlp.down_proj.weight	U32	4096x1664	27262976	model-00001-of-00016.safetensors
model.layers.0.mlp.gate_proj.biases	BF16	13312x64	1703936	model-00001-of-00016.safetensors
model.layers.0.mlp.gate_proj.scales	BF16	13312x64	1703936	model-00001-of-00016.safetensors
model.layers.0.mlp.gate_proj.weight	U32	13312x512	27262976	model-00001-of-00016.safetensors
model.layers.0.mlp.up_proj.biases	BF16	13312x64	1703936	model-00001-of-00016.safetensors
model.layers.0.mlp.up_proj.scales	BF16	13312x64	1703936	model-00001-of-00016.safetensors
model.layers.0.mlp.up_proj.weight	U32	13312x512	27262976	model-00001-of-00016.safetensors
model.layers.0.post_attention_layernorm.weight	BF16	4096	8192	model-00001-of-00016.safetensors
model.layers.0.self_attn.k_norm.weight	BF16	128	256	model-00001-of-00016.safetensors
model.layers.0.self_attn.k_proj.biases	BF16	1024x64	131072	model-00001-of-00016.safetensors
model.layers.0.self_attn.k_proj.scales	BF16	1024x64	131072	model-00001-of-00016.safetensors
model.layers.0.self_attn.k_proj.weight	U32	1024x512	2097152	model-00001-of-00016.safetensors
model.layers.0.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00001-of-00016.safetensors
model.layers.0.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00001-of-00016.safetensors
model.layers.0.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00001-of-00016.safetensors
model.layers.0.self_attn.q_norm.weight	BF16	128	256	model-00001-of-00016.safetensors
model.layers.0.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00001-of-00016.safetensors
model.layers.0.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00001-of-00016.safetensors
model.layers.0.self_attn.q_proj.weight	U32	8192x512	16777216	model-00001-of-00016.safetensors
model.layers.0.self_attn.v_proj.biases	BF16	1024x64	131072	model-00001-of-00016.safetensors
model.layers.0.self_attn.v_proj.scales	BF16	1024x64	131072	model-00001-of-00016.safetensors
model.layers.0.self_attn.v_proj.weight	U32	1024x512	2097152	model-00001-of-00016.safetensors
model.layers.1.input_layernorm.weight	BF16	4096	8192	model-00001-of-00016.safetensors
model.layers.1.mlp.router.expert_bias	F32	96	384	model-00001-of-00016.safetensors
model.layers.1.mlp.router.gate.biases	BF16	96x64	12288	model-00001-of-00016.safetensors
model.layers.1.mlp.router.gate.scales	BF16	96x64	12288	model-00001-of-00016.safetensors
model.layers.1.mlp.router.gate.weight	U32	96x1024	393216	model-00001-of-00016.safetensors
model.layers.1.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00001-of-00016.safetensors
model.layers.1.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00001-of-00016.safetensors
model.layers.1.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00001-of-00016.safetensors
model.layers.1.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00001-of-00016.safetensors
model.layers.1.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00001-of-00016.safetensors
model.layers.1.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00001-of-00016.safetensors
model.layers.1.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00001-of-00016.safetensors
model.layers.1.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00001-of-00016.safetensors
model.layers.1.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00001-of-00016.safetensors
model.layers.1.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00001-of-00016.safetensors
model.layers.1.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00001-of-00016.safetensors
model.layers.1.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00001-of-00016.safetensors
model.layers.1.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00001-of-00016.safetensors
