2026/09/26 14:30:25.255, 2760, 3090, 458.51, 600.00, 68, 0x0000000000000000
2026/09/26 14:30:25.510, 2760, 3090, 458.51, 600.00, 68, 0x0000000000000000
2026/09/26 14:30:25.761, 2842, 3090, 267.44, 600.00, 66, 0x0000000000000000
2026/09/26 14:30:26.012, 2842, 3090, 267.44, 600.00, 66, 0x0000000000000000
2026/09/26 14:30:26.263, 2842, 3090, 116.37, 600.00, 66, 0x0000000000000000
2026/09/26 14:30:26.513, 2842, 3090, 116.37, 600.00, 66, 0x0000000000000000
2026/09/26 14:30:26.764, 2842, 3090, 115.94, 600.00, 66, 0x0000000000000000
2026/09/26 14:30:27.015, 2842, 3090, 115.94, 600.00, 66, 0x0000000000000000
2026/09/26 14:30:27.266, 2842, 3090, 115.94, 600.00, 66, 0x0000000000000000
2026/09/26 14:30:27.517, 2842, 3090, 115.94, 600.00, 66, 0x0000000000000000
2026/09/26 14:30:27.768, 2610, 3090, 99.66, 600.00, 64, 0x0000000000000000
2026/09/26 14:30:28.019, 2610, 3090, 99.66, 600.00, 64, 0x0000000000000000
2026/09/26 14:30:28.269, 2610, 3090, 99.66, 600.00, 64, 0x0000000000000000
2026/09/26 14:30:28.520, 2610, 3090, 99.66, 600.00, 64, 0x0000000000000000
2026/09/26 14:30:28.771, 2610, 3090, 89.55, 600.00, 64, 0x0000000000000000
2026/09/26 14:30:29.022, 2610, 3090, 89.55, 600.00, 64, 0x0000000000000000
2026/09/26 14:30:29.273, 2610, 3090, 89.55, 600.00, 64, 0x0000000000000000
2026/09/26 14:30:29.524, 2610, 3090, 89.55, 600.00, 64, 0x0000000000000000
2026/09/26 14:30:29.775, 2610, 3090, 88.89, 600.00, 63, 0x0000000000000000
2026/09/26 14:30:30.026, 2610, 3090, 88.89, 600.00, 63, 0x0000000000000000
2026/09/26 14:30:30.277, 2610, 3090, 88.89, 600.00, 63, 0x0000000000000000
2026/09/26 14:30:30.527, 2610, 3090, 88.89, 600.00, 63, 0x0000000000000000
2026/09/26 14:30:30.778, 2610, 3090, 87.90, 600.00, 63, 0x0000000000000000
2026/09/26 14:30:31.029, 2610, 3090, 87.90, 600.00, 63, 0x0000000000000000
