timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/03 20:44:32.836, 0, 30, 180 MHz, 23.79 W, 2 MiB
2026/08/03 20:44:33.850, 0, 30, 1072 MHz, 30.24 W, 544 MiB
2026/08/03 20:44:34.851, 0, 31, 2400 MHz, 65.55 W, 544 MiB
2026/08/03 20:44:35.851, 0, 31, 2400 MHz, 64.67 W, 544 MiB
2026/08/03 20:44:36.851, 0, 31, 2400 MHz, 64.90 W, 544 MiB
2026/08/03 20:44:37.852, 0, 31, 2400 MHz, 64.86 W, 544 MiB
2026/08/03 20:44:38.852, 0, 31, 2400 MHz, 64.92 W, 544 MiB
2026/08/03 20:44:39.852, 0, 31, 2400 MHz, 65.30 W, 544 MiB
2026/08/03 20:44:40.852, 0, 31, 2400 MHz, 65.14 W, 544 MiB
2026/08/03 20:44:41.852, 0, 31, 2400 MHz, 65.47 W, 544 MiB
2026/08/03 20:44:42.853, 0, 31, 2400 MHz, 65.38 W, 544 MiB
2026/08/03 20:44:43.853, 0, 31, 2400 MHz, 65.51 W, 544 MiB
2026/08/03 20:44:44.853, 0, 31, 2400 MHz, 65.46 W, 544 MiB
2026/08/03 20:44:45.853, 0, 31, 2400 MHz, 65.29 W, 544 MiB
2026/08/03 20:44:46.853, 0, 31, 2400 MHz, 65.73 W, 544 MiB
2026/08/03 20:44:47.854, 0, 31, 2400 MHz, 65.77 W, 544 MiB
2026/08/03 20:44:48.854, 0, 31, 2400 MHz, 65.34 W, 544 MiB
2026/08/03 20:44:49.854, 0, 31, 2400 MHz, 65.19 W, 544 MiB
2026/08/03 20:44:50.854, 0, 31, 2400 MHz, 64.94 W, 544 MiB
2026/08/03 20:44:51.854, 0, 31, 375 MHz, 40.67 W, 544 MiB
2026/08/03 20:44:52.855, 0, 30, 217 MHz, 32.60 W, 576 MiB
2026/08/03 20:44:53.855, 0, 31, 2400 MHz, 47.91 W, 576 MiB
2026/08/03 20:44:54.855, 0, 31, 2400 MHz, 65.38 W, 576 MiB
2026/08/03 20:44:55.855, 0, 31, 2400 MHz, 65.26 W, 576 MiB
2026/08/03 20:44:56.855, 0, 31, 2400 MHz, 65.32 W, 576 MiB
2026/08/03 20:44:57.856, 0, 31, 2400 MHz, 65.20 W, 576 MiB
2026/08/03 20:44:58.856, 0, 31, 2400 MHz, 64.97 W, 576 MiB
2026/08/03 20:44:59.856, 0, 31, 2400 MHz, 64.73 W, 576 MiB
2026/08/03 20:45:00.856, 0, 31, 2400 MHz, 64.62 W, 576 MiB
2026/08/03 20:45:01.857, 0, 31, 2400 MHz, 64.94 W, 576 MiB
2026/08/03 20:45:02.857, 0, 31, 2400 MHz, 64.99 W, 576 MiB
2026/08/03 20:45:03.857, 0, 31, 2400 MHz, 64.80 W, 576 MiB
2026/08/03 20:45:04.858, 0, 31, 2400 MHz, 65.19 W, 576 MiB
2026/08/03 20:45:05.858, 0, 32, 2400 MHz, 65.14 W, 576 MiB
2026/08/03 20:45:06.858, 0, 32, 2400 MHz, 65.30 W, 576 MiB
2026/08/03 20:45:07.858, 0, 32, 2400 MHz, 64.96 W, 576 MiB
2026/08/03 20:45:08.858, 0, 32, 2400 MHz, 64.73 W, 576 MiB
2026/08/03 20:45:09.859, 0, 32, 2400 MHz, 64.69 W, 576 MiB
2026/08/03 20:45:10.859, 0, 31, 367 MHz, 39.96 W, 576 MiB
2026/08/03 20:45:11.859, 0, 31, 217 MHz, 31.50 W, 576 MiB
2026/08/03 20:45:12.859, 0, 31, 180 MHz, 28.92 W, 576 MiB
2026/08/03 20:45:13.860, 0, 31, 180 MHz, 25.54 W, 576 MiB
2026/08/03 20:45:14.860, 0, 31, 180 MHz, 25.00 W, 576 MiB
2026/08/03 20:45:15.860, 0, 31, 180 MHz, 24.24 W, 576 MiB
2026/08/03 20:45:16.860, 0, 31, 180 MHz, 23.32 W, 576 MiB
2026/08/03 20:45:17.860, 0, 31, 180 MHz, 23.33 W, 576 MiB
2026/08/03 20:45:18.861, 0, 31, 180 MHz, 23.37 W, 576 MiB
2026/08/03 20:45:19.861, 0, 31, 180 MHz, 23.46 W, 576 MiB
2026/08/03 20:45:20.861, 0, 31, 180 MHz, 23.38 W, 576 MiB
2026/08/03 20:45:21.862, 0, 31, 180 MHz, 23.32 W, 576 MiB
2026/08/03 20:45:22.862, 0, 31, 180 MHz, 24.71 W, 576 MiB
2026/08/03 20:45:23.862, 0, 31, 180 MHz, 24.18 W, 576 MiB
2026/08/03 20:45:24.862, 0, 31, 180 MHz, 23.38 W, 576 MiB
2026/08/03 20:45:25.863, 0, 30, 180 MHz, 23.40 W, 576 MiB
2026/08/03 20:45:26.863, 0, 30, 180 MHz, 23.56 W, 576 MiB
2026/08/03 20:45:27.863, 0, 30, 180 MHz, 23.18 W, 576 MiB
2026/08/03 20:45:28.864, 0, 30, 180 MHz, 23.26 W, 576 MiB
2026/08/03 20:45:29.864, 0, 30, 180 MHz, 24.31 W, 1856 MiB
2026/08/03 20:45:30.864, 0, 31, 2400 MHz, 63.03 W, 1856 MiB
2026/08/03 20:45:31.864, 0, 31, 2400 MHz, 65.25 W, 1888 MiB
2026/08/03 20:45:32.865, 0, 31, 2400 MHz, 65.10 W, 1888 MiB
2026/08/03 20:45:33.865, 0, 31, 2400 MHz, 65.47 W, 1920 MiB
2026/08/03 20:45:34.865, 0, 32, 2400 MHz, 65.73 W, 1952 MiB
2026/08/03 20:45:35.865, 0, 32, 2400 MHz, 65.48 W, 1952 MiB
2026/08/03 20:45:36.865, 0, 32, 2400 MHz, 65.45 W, 2048 MiB
2026/08/03 20:45:37.866, 0, 32, 2400 MHz, 65.55 W, 2048 MiB
2026/08/03 20:45:38.866, 0, 32, 2400 MHz, 65.38 W, 2048 MiB
