model.embed_tokens.weight	TokenEmbedding
model.layers.2.self_attn.k_proj.weight	Layer { index: 2, tensor: Key }
model.layers.2.self_attn.o_proj.weight	Layer { index: 2, tensor: AttentionOutput }
model.layers.2.self_attn.v_proj.weight	Layer { index: 2, tensor: Value }
model.layers.2.self_attn.q_norm.weight	Layer { index: 2, tensor: QueryNorm }
model.layers.2.self_attn.k_norm.weight	Layer { index: 2, tensor: KeyNorm }
model.layers.2.self_attn.g_proj.weight	Layer { index: 2, tensor: AttentionGate }
model.layers.2.post_attention_layernorm.weight	Layer { index: 2, tensor: PreMlpNorm }
model.layers.2.mlp.gate_proj.weight	Layer { index: 2, tensor: MlpGate }
model.layers.2.mlp.up_proj.weight	Layer { index: 2, tensor: MlpUp }
model.layers.2.mlp.down_proj.weight	Layer { index: 2, tensor: MlpDown }
model.layers.3.input_layernorm.weight	Layer { index: 3, tensor: PreAttentionNorm }
model.layers.3.self_attn.q_proj.weight	Layer { index: 3, tensor: Query }
model.layers.3.self_attn.k_proj.weight	Layer { index: 3, tensor: Key }
model.layers.3.self_attn.o_proj.weight	Layer { index: 3, tensor: AttentionOutput }
model.layers.3.self_attn.v_proj.weight	Layer { index: 3, tensor: Value }
model.layers.3.self_attn.q_norm.weight	Layer { index: 3, tensor: QueryNorm }
model.layers.3.self_attn.k_norm.weight	Layer { index: 3, tensor: KeyNorm }
model.layers.3.self_attn.g_proj.weight	Layer { index: 3, tensor: AttentionGate }
model.layers.3.post_attention_layernorm.weight	Layer { index: 3, tensor: PreMlpNorm }
model.layers.3.moe.gate.weight	Layer { index: 3, tensor: MoeRouter }
model.layers.3.moe.router_bias	Layer { index: 3, tensor: MoeRouterBias }
model.layers.3.moe.gate_proj.weight	Layer { index: 3, tensor: MoeExpertGateBank }
model.layers.3.moe.up_proj.weight	Layer { index: 3, tensor: MoeExpertUpBank }
model.layers.3.moe.down_proj.weight	Layer { index: 3, tensor: MoeExpertDownBank }
model.layers.3.share_expert.gate_proj.weight	Layer { index: 3, tensor: SharedMlpGate }
model.layers.3.share_expert.up_proj.weight	Layer { index: 3, tensor: SharedMlpUp }
model.layers.3.share_expert.down_proj.weight	Layer { index: 3, tensor: SharedMlpDown }
model.layers.4.input_layernorm.weight	Layer { index: 4, tensor: PreAttentionNorm }
model.layers.4.self_attn.q_proj.weight	Layer { index: 4, tensor: Query }
model.layers.4.self_attn.k_proj.weight	Layer { index: 4, tensor: Key }
model.layers.4.self_attn.o_proj.weight	Layer { index: 4, tensor: AttentionOutput }
model.layers.4.self_attn.v_proj.weight	Layer { index: 4, tensor: Value }
model.layers.4.self_attn.q_norm.weight	Layer { index: 4, tensor: QueryNorm }
model.layers.4.self_attn.k_norm.weight	Layer { index: 4, tensor: KeyNorm }
model.layers.4.self_attn.g_proj.weight	Layer { index: 4, tensor: AttentionGate }
model.layers.4.post_attention_layernorm.weight	Layer { index: 4, tensor: PreMlpNorm }
model.layers.4.moe.gate.weight	Layer { index: 4, tensor: MoeRouter }
model.layers.4.moe.router_bias	Layer { index: 4, tensor: MoeRouterBias }
model.layers.4.moe.gate_proj.weight	Layer { index: 4, tensor: MoeExpertGateBank }
model.layers.4.moe.up_proj.weight	Layer { index: 4, tensor: MoeExpertUpBank }
model.layers.4.moe.down_proj.weight	Layer { index: 4, tensor: MoeExpertDownBank }
model.layers.4.share_expert.gate_proj.weight	Layer { index: 4, tensor: SharedMlpGate }
model.layers.4.share_expert.up_proj.weight	Layer { index: 4, tensor: SharedMlpUp }
model.layers.4.share_expert.down_proj.weight	Layer { index: 4, tensor: SharedMlpDown }
model.layers.5.input_layernorm.weight	Layer { index: 5, tensor: PreAttentionNorm }
model.layers.5.self_attn.q_proj.weight	Layer { index: 5, tensor: Query }
model.layers.5.self_attn.k_proj.weight	Layer { index: 5, tensor: Key }
model.layers.5.self_attn.o_proj.weight	Layer { index: 5, tensor: AttentionOutput }
model.layers.5.self_attn.v_proj.weight	Layer { index: 5, tensor: Value }
model.layers.5.self_attn.q_norm.weight	Layer { index: 5, tensor: QueryNorm }
model.layers.5.self_attn.k_norm.weight	Layer { index: 5, tensor: KeyNorm }
model.layers.5.self_attn.g_proj.weight	Layer { index: 5, tensor: AttentionGate }
model.layers.5.post_attention_layernorm.weight	Layer { index: 5, tensor: PreMlpNorm }
model.layers.5.moe.gate.weight	Layer { index: 5, tensor: MoeRouter }
model.layers.5.moe.router_bias	Layer { index: 5, tensor: MoeRouterBias }
model.layers.5.moe.gate_proj.weight	Layer { index: 5, tensor: MoeExpertGateBank }
model.layers.5.moe.up_proj.weight	Layer { index: 5, tensor: MoeExpertUpBank }
model.layers.5.moe.down_proj.weight	Layer { index: 5, tensor: MoeExpertDownBank }
model.layers.5.share_expert.gate_proj.weight	Layer { index: 5, tensor: SharedMlpGate }
model.layers.5.share_expert.up_proj.weight	Layer { index: 5, tensor: SharedMlpUp }
model.layers.5.share_expert.down_proj.weight	Layer { index: 5, tensor: SharedMlpDown }
model.layers.6.input_layernorm.weight	Layer { index: 6, tensor: PreAttentionNorm }
model.layers.6.self_attn.q_proj.weight	Layer { index: 6, tensor: Query }
model.layers.6.self_attn.k_proj.weight	Layer { index: 6, tensor: Key }
model.layers.6.self_attn.o_proj.weight	Layer { index: 6, tensor: AttentionOutput }
model.layers.6.self_attn.v_proj.weight	Layer { index: 6, tensor: Value }
model.layers.6.self_attn.q_norm.weight	Layer { index: 6, tensor: QueryNorm }
model.layers.6.self_attn.k_norm.weight	Layer { index: 6, tensor: KeyNorm }
model.layers.6.self_attn.g_proj.weight	Layer { index: 6, tensor: AttentionGate }
model.layers.6.post_attention_layernorm.weight	Layer { index: 6, tensor: PreMlpNorm }
model.layers.6.moe.gate.weight	Layer { index: 6, tensor: MoeRouter }
model.layers.6.moe.router_bias	Layer { index: 6, tensor: MoeRouterBias }
model.layers.6.moe.gate_proj.weight	Layer { index: 6, tensor: MoeExpertGateBank }
