model.embed_tokens.weight	TokenEmbedding
model.layers.20.share_expert.up_proj.weight	Layer { index: 20, tensor: SharedMlpUp }
model.layers.20.share_expert.down_proj.weight	Layer { index: 20, tensor: SharedMlpDown }
model.layers.21.input_layernorm.weight	Layer { index: 21, tensor: PreAttentionNorm }
model.layers.21.self_attn.q_proj.weight	Layer { index: 21, tensor: Query }
model.layers.21.self_attn.k_proj.weight	Layer { index: 21, tensor: Key }
model.layers.21.self_attn.o_proj.weight	Layer { index: 21, tensor: AttentionOutput }
model.layers.21.self_attn.v_proj.weight	Layer { index: 21, tensor: Value }
model.layers.21.self_attn.q_norm.weight	Layer { index: 21, tensor: QueryNorm }
model.layers.21.self_attn.k_norm.weight	Layer { index: 21, tensor: KeyNorm }
model.layers.21.self_attn.g_proj.weight	Layer { index: 21, tensor: AttentionGate }
model.layers.21.post_attention_layernorm.weight	Layer { index: 21, tensor: PreMlpNorm }
model.layers.21.moe.gate.weight	Layer { index: 21, tensor: MoeRouter }
model.layers.21.moe.router_bias	Layer { index: 21, tensor: MoeRouterBias }
model.layers.21.moe.gate_proj.weight	Layer { index: 21, tensor: MoeExpertGateBank }
model.layers.21.moe.up_proj.weight	Layer { index: 21, tensor: MoeExpertUpBank }
model.layers.21.moe.down_proj.weight	Layer { index: 21, tensor: MoeExpertDownBank }
model.layers.21.share_expert.gate_proj.weight	Layer { index: 21, tensor: SharedMlpGate }
model.layers.21.share_expert.up_proj.weight	Layer { index: 21, tensor: SharedMlpUp }
model.layers.21.share_expert.down_proj.weight	Layer { index: 21, tensor: SharedMlpDown }
model.layers.22.input_layernorm.weight	Layer { index: 22, tensor: PreAttentionNorm }
model.layers.22.self_attn.q_proj.weight	Layer { index: 22, tensor: Query }
model.layers.22.self_attn.k_proj.weight	Layer { index: 22, tensor: Key }
model.layers.22.self_attn.o_proj.weight	Layer { index: 22, tensor: AttentionOutput }
model.layers.22.self_attn.v_proj.weight	Layer { index: 22, tensor: Value }
model.layers.22.self_attn.q_norm.weight	Layer { index: 22, tensor: QueryNorm }
model.layers.22.self_attn.k_norm.weight	Layer { index: 22, tensor: KeyNorm }
model.layers.22.self_attn.g_proj.weight	Layer { index: 22, tensor: AttentionGate }
model.layers.22.post_attention_layernorm.weight	Layer { index: 22, tensor: PreMlpNorm }
model.layers.22.moe.gate.weight	Layer { index: 22, tensor: MoeRouter }
model.layers.22.moe.router_bias	Layer { index: 22, tensor: MoeRouterBias }
model.layers.22.moe.gate_proj.weight	Layer { index: 22, tensor: MoeExpertGateBank }
model.layers.22.moe.up_proj.weight	Layer { index: 22, tensor: MoeExpertUpBank }
model.layers.22.moe.down_proj.weight	Layer { index: 22, tensor: MoeExpertDownBank }
model.layers.22.share_expert.gate_proj.weight	Layer { index: 22, tensor: SharedMlpGate }
model.layers.22.share_expert.up_proj.weight	Layer { index: 22, tensor: SharedMlpUp }
model.layers.22.share_expert.down_proj.weight	Layer { index: 22, tensor: SharedMlpDown }
model.layers.23.input_layernorm.weight	Layer { index: 23, tensor: PreAttentionNorm }
model.layers.23.self_attn.q_proj.weight	Layer { index: 23, tensor: Query }
model.layers.23.self_attn.k_proj.weight	Layer { index: 23, tensor: Key }
model.layers.23.self_attn.o_proj.weight	Layer { index: 23, tensor: AttentionOutput }
model.layers.23.self_attn.v_proj.weight	Layer { index: 23, tensor: Value }
model.layers.23.self_attn.q_norm.weight	Layer { index: 23, tensor: QueryNorm }
model.layers.23.self_attn.k_norm.weight	Layer { index: 23, tensor: KeyNorm }
model.layers.23.self_attn.g_proj.weight	Layer { index: 23, tensor: AttentionGate }
model.layers.23.post_attention_layernorm.weight	Layer { index: 23, tensor: PreMlpNorm }
model.layers.23.moe.gate.weight	Layer { index: 23, tensor: MoeRouter }
model.layers.23.moe.router_bias	Layer { index: 23, tensor: MoeRouterBias }
model.layers.23.moe.gate_proj.weight	Layer { index: 23, tensor: MoeExpertGateBank }
model.layers.23.moe.up_proj.weight	Layer { index: 23, tensor: MoeExpertUpBank }
model.layers.23.moe.down_proj.weight	Layer { index: 23, tensor: MoeExpertDownBank }
model.layers.23.share_expert.gate_proj.weight	Layer { index: 23, tensor: SharedMlpGate }
model.layers.23.share_expert.up_proj.weight	Layer { index: 23, tensor: SharedMlpUp }
model.layers.23.share_expert.down_proj.weight	Layer { index: 23, tensor: SharedMlpDown }
model.layers.24.input_layernorm.weight	Layer { index: 24, tensor: PreAttentionNorm }
model.layers.24.self_attn.q_proj.weight	Layer { index: 24, tensor: Query }
model.layers.24.self_attn.k_proj.weight	Layer { index: 24, tensor: Key }
model.layers.24.self_attn.o_proj.weight	Layer { index: 24, tensor: AttentionOutput }
model.layers.24.self_attn.v_proj.weight	Layer { index: 24, tensor: Value }
model.layers.24.self_attn.q_norm.weight	Layer { index: 24, tensor: QueryNorm }
model.layers.24.self_attn.k_norm.weight	Layer { index: 24, tensor: KeyNorm }
model.layers.24.self_attn.g_proj.weight	Layer { index: 24, tensor: AttentionGate }
model.layers.24.post_attention_layernorm.weight	Layer { index: 24, tensor: PreMlpNorm }
model.layers.24.moe.gate.weight	Layer { index: 24, tensor: MoeRouter }
model.layers.24.moe.router_bias	Layer { index: 24, tensor: MoeRouterBias }
model.layers.24.moe.gate_proj.weight	Layer { index: 24, tensor: MoeExpertGateBank }
model.layers.24.moe.up_proj.weight	Layer { index: 24, tensor: MoeExpertUpBank }
model.layers.24.moe.down_proj.weight	Layer { index: 24, tensor: MoeExpertDownBank }
model.layers.24.share_expert.gate_proj.weight	Layer { index: 24, tensor: SharedMlpGate }
model.layers.24.share_expert.up_proj.weight	Layer { index: 24, tensor: SharedMlpUp }
model.layers.24.share_expert.down_proj.weight	Layer { index: 24, tensor: SharedMlpDown }
model.layers.25.input_layernorm.weight	Layer { index: 25, tensor: PreAttentionNorm }
model.layers.25.self_attn.q_proj.weight	Layer { index: 25, tensor: Query }
model.layers.25.self_attn.k_proj.weight	Layer { index: 25, tensor: Key }
model.layers.25.self_attn.o_proj.weight	Layer { index: 25, tensor: AttentionOutput }
model.layers.25.self_attn.v_proj.weight	Layer { index: 25, tensor: Value }
model.layers.25.self_attn.q_norm.weight	Layer { index: 25, tensor: QueryNorm }
model.layers.25.self_attn.k_norm.weight	Layer { index: 25, tensor: KeyNorm }
model.layers.25.self_attn.g_proj.weight	Layer { index: 25, tensor: AttentionGate }
model.layers.25.post_attention_layernorm.weight	Layer { index: 25, tensor: PreMlpNorm }
model.layers.25.moe.gate.weight	Layer { index: 25, tensor: MoeRouter }
model.layers.25.moe.router_bias	Layer { index: 25, tensor: MoeRouterBias }
model.layers.25.moe.gate_proj.weight	Layer { index: 25, tensor: MoeExpertGateBank }
model.layers.25.moe.up_proj.weight	Layer { index: 25, tensor: MoeExpertUpBank }
model.layers.25.moe.down_proj.weight	Layer { index: 25, tensor: MoeExpertDownBank }
model.layers.25.share_expert.gate_proj.weight	Layer { index: 25, tensor: SharedMlpGate }
model.layers.25.share_expert.up_proj.weight	Layer { index: 25, tensor: SharedMlpUp }
model.layers.25.share_expert.down_proj.weight	Layer { index: 25, tensor: SharedMlpDown }
model.layers.26.input_layernorm.weight	Layer { index: 26, tensor: PreAttentionNorm }
model.layers.26.self_attn.q_proj.weight	Layer { index: 26, tensor: Query }
model.layers.26.self_attn.k_proj.weight	Layer { index: 26, tensor: Key }
model.layers.26.self_attn.o_proj.weight	Layer { index: 26, tensor: AttentionOutput }
model.layers.26.self_attn.v_proj.weight	Layer { index: 26, tensor: Value }
model.layers.26.self_attn.q_norm.weight	Layer { index: 26, tensor: QueryNorm }
model.layers.26.self_attn.k_norm.weight	Layer { index: 26, tensor: KeyNorm }
model.layers.26.self_attn.g_proj.weight	Layer { index: 26, tensor: AttentionGate }
model.layers.26.post_attention_layernorm.weight	Layer { index: 26, tensor: PreMlpNorm }
model.layers.26.moe.gate.weight	Layer { index: 26, tensor: MoeRouter }
model.layers.26.moe.router_bias	Layer { index: 26, tensor: MoeRouterBias }
model.layers.26.moe.gate_proj.weight	Layer { index: 26, tensor: MoeExpertGateBank }
model.layers.26.moe.up_proj.weight	Layer { index: 26, tensor: MoeExpertUpBank }
model.layers.26.moe.down_proj.weight	Layer { index: 26, tensor: MoeExpertDownBank }
model.layers.26.share_expert.gate_proj.weight	Layer { index: 26, tensor: SharedMlpGate }
model.layers.26.share_expert.up_proj.weight	Layer { index: 26, tensor: SharedMlpUp }
model.layers.26.share_expert.down_proj.weight	Layer { index: 26, tensor: SharedMlpDown }
model.layers.27.input_layernorm.weight	Layer { index: 27, tensor: PreAttentionNorm }
model.layers.27.self_attn.q_proj.weight	Layer { index: 27, tensor: Query }
model.layers.27.self_attn.k_proj.weight	Layer { index: 27, tensor: Key }
model.layers.27.self_attn.o_proj.weight	Layer { index: 27, tensor: AttentionOutput }
model.layers.27.self_attn.v_proj.weight	Layer { index: 27, tensor: Value }
model.layers.27.self_attn.q_norm.weight	Layer { index: 27, tensor: QueryNorm }
model.layers.27.self_attn.k_norm.weight	Layer { index: 27, tensor: KeyNorm }
model.layers.27.self_attn.g_proj.weight	Layer { index: 27, tensor: AttentionGate }
model.layers.27.post_attention_layernorm.weight	Layer { index: 27, tensor: PreMlpNorm }
model.layers.27.moe.gate.weight	Layer { index: 27, tensor: MoeRouter }
model.layers.27.moe.router_bias	Layer { index: 27, tensor: MoeRouterBias }
model.layers.27.moe.gate_proj.weight	Layer { index: 27, tensor: MoeExpertGateBank }
model.layers.27.moe.up_proj.weight	Layer { index: 27, tensor: MoeExpertUpBank }
model.layers.27.moe.down_proj.weight	Layer { index: 27, tensor: MoeExpertDownBank }
model.layers.27.share_expert.gate_proj.weight	Layer { index: 27, tensor: SharedMlpGate }
model.layers.27.share_expert.up_proj.weight	Layer { index: 27, tensor: SharedMlpUp }
model.layers.27.share_expert.down_proj.weight	Layer { index: 27, tensor: SharedMlpDown }
model.layers.28.input_layernorm.weight	Layer { index: 28, tensor: PreAttentionNorm }
model.layers.28.self_attn.q_proj.weight	Layer { index: 28, tensor: Query }
model.layers.28.self_attn.k_proj.weight	Layer { index: 28, tensor: Key }
model.layers.28.self_attn.o_proj.weight	Layer { index: 28, tensor: AttentionOutput }
model.layers.28.self_attn.v_proj.weight	Layer { index: 28, tensor: Value }
model.layers.28.self_attn.q_norm.weight	Layer { index: 28, tensor: QueryNorm }
model.layers.28.self_attn.k_norm.weight	Layer { index: 28, tensor: KeyNorm }
model.layers.28.self_attn.g_proj.weight	Layer { index: 28, tensor: AttentionGate }
model.layers.28.post_attention_layernorm.weight	Layer { index: 28, tensor: PreMlpNorm }
model.layers.28.moe.gate.weight	Layer { index: 28, tensor: MoeRouter }
model.layers.28.moe.router_bias	Layer { index: 28, tensor: MoeRouterBias }
model.layers.28.moe.gate_proj.weight	Layer { index: 28, tensor: MoeExpertGateBank }
model.layers.28.moe.up_proj.weight	Layer { index: 28, tensor: MoeExpertUpBank }
model.layers.28.moe.down_proj.weight	Layer { index: 28, tensor: MoeExpertDownBank }
model.layers.28.share_expert.gate_proj.weight	Layer { index: 28, tensor: SharedMlpGate }
model.layers.28.share_expert.up_proj.weight	Layer { index: 28, tensor: SharedMlpUp }
model.layers.28.share_expert.down_proj.weight	Layer { index: 28, tensor: SharedMlpDown }
model.layers.29.input_layernorm.weight	Layer { index: 29, tensor: PreAttentionNorm }
model.layers.29.self_attn.q_proj.weight	Layer { index: 29, tensor: Query }
model.layers.29.self_attn.k_proj.weight	Layer { index: 29, tensor: Key }
model.layers.29.self_attn.o_proj.weight	Layer { index: 29, tensor: AttentionOutput }
model.layers.29.self_attn.v_proj.weight	Layer { index: 29, tensor: Value }
model.layers.29.self_attn.q_norm.weight	Layer { index: 29, tensor: QueryNorm }
model.layers.29.self_attn.k_norm.weight	Layer { index: 29, tensor: KeyNorm }
model.layers.29.self_attn.g_proj.weight	Layer { index: 29, tensor: AttentionGate }
model.layers.29.post_attention_layernorm.weight	Layer { index: 29, tensor: PreMlpNorm }
model.layers.29.moe.gate.weight	Layer { index: 29, tensor: MoeRouter }
model.layers.29.moe.router_bias	Layer { index: 29, tensor: MoeRouterBias }
model.layers.29.moe.gate_proj.weight	Layer { index: 29, tensor: MoeExpertGateBank }
model.layers.29.moe.up_proj.weight	Layer { index: 29, tensor: MoeExpertUpBank }
model.layers.29.moe.down_proj.weight	Layer { index: 29, tensor: MoeExpertDownBank }
model.layers.29.share_expert.gate_proj.weight	Layer { index: 29, tensor: SharedMlpGate }
model.layers.29.share_expert.up_proj.weight	Layer { index: 29, tensor: SharedMlpUp }
model.layers.29.share_expert.down_proj.weight	Layer { index: 29, tensor: SharedMlpDown }
model.layers.30.input_layernorm.weight	Layer { index: 30, tensor: PreAttentionNorm }
model.layers.30.self_attn.q_proj.weight	Layer { index: 30, tensor: Query }
model.layers.30.self_attn.k_proj.weight	Layer { index: 30, tensor: Key }
model.layers.30.self_attn.o_proj.weight	Layer { index: 30, tensor: AttentionOutput }
model.layers.30.self_attn.v_proj.weight	Layer { index: 30, tensor: Value }
model.layers.30.self_attn.q_norm.weight	Layer { index: 30, tensor: QueryNorm }
model.layers.30.self_attn.k_norm.weight	Layer { index: 30, tensor: KeyNorm }
model.layers.30.self_attn.g_proj.weight	Layer { index: 30, tensor: AttentionGate }
model.layers.30.post_attention_layernorm.weight	Layer { index: 30, tensor: PreMlpNorm }
model.layers.30.moe.gate.weight	Layer { index: 30, tensor: MoeRouter }
model.layers.30.moe.router_bias	Layer { index: 30, tensor: MoeRouterBias }
model.layers.30.moe.gate_proj.weight	Layer { index: 30, tensor: MoeExpertGateBank }
model.layers.30.moe.up_proj.weight	Layer { index: 30, tensor: MoeExpertUpBank }
model.layers.30.moe.down_proj.weight	Layer { index: 30, tensor: MoeExpertDownBank }
model.layers.30.share_expert.gate_proj.weight	Layer { index: 30, tensor: SharedMlpGate }
model.layers.30.share_expert.up_proj.weight	Layer { index: 30, tensor: SharedMlpUp }
model.layers.30.share_expert.down_proj.weight	Layer { index: 30, tensor: SharedMlpDown }
model.layers.31.input_layernorm.weight	Layer { index: 31, tensor: PreAttentionNorm }
model.layers.31.self_attn.q_proj.weight	Layer { index: 31, tensor: Query }
model.layers.31.self_attn.k_proj.weight	Layer { index: 31, tensor: Key }
model.layers.31.self_attn.o_proj.weight	Layer { index: 31, tensor: AttentionOutput }
model.layers.31.self_attn.v_proj.weight	Layer { index: 31, tensor: Value }
model.layers.31.self_attn.q_norm.weight	Layer { index: 31, tensor: QueryNorm }
model.layers.31.self_attn.k_norm.weight	Layer { index: 31, tensor: KeyNorm }
model.layers.31.self_attn.g_proj.weight	Layer { index: 31, tensor: AttentionGate }
model.layers.31.post_attention_layernorm.weight	Layer { index: 31, tensor: PreMlpNorm }
model.layers.31.moe.gate.weight	Layer { index: 31, tensor: MoeRouter }
model.layers.31.moe.router_bias	Layer { index: 31, tensor: MoeRouterBias }
model.layers.31.moe.gate_proj.weight	Layer { index: 31, tensor: MoeExpertGateBank }
model.layers.31.moe.up_proj.weight	Layer { index: 31, tensor: MoeExpertUpBank }
model.layers.31.moe.down_proj.weight	Layer { index: 31, tensor: MoeExpertDownBank }
model.layers.31.share_expert.gate_proj.weight	Layer { index: 31, tensor: SharedMlpGate }
model.layers.31.share_expert.up_proj.weight	Layer { index: 31, tensor: SharedMlpUp }
model.layers.31.share_expert.down_proj.weight	Layer { index: 31, tensor: SharedMlpDown }
model.layers.32.input_layernorm.weight	Layer { index: 32, tensor: PreAttentionNorm }
model.layers.32.self_attn.q_proj.weight	Layer { index: 32, tensor: Query }
model.layers.32.self_attn.k_proj.weight	Layer { index: 32, tensor: Key }
model.layers.32.self_attn.o_proj.weight	Layer { index: 32, tensor: AttentionOutput }
model.layers.32.self_attn.v_proj.weight	Layer { index: 32, tensor: Value }
model.layers.32.self_attn.q_norm.weight	Layer { index: 32, tensor: QueryNorm }
model.layers.32.self_attn.k_norm.weight	Layer { index: 32, tensor: KeyNorm }
model.layers.32.self_attn.g_proj.weight	Layer { index: 32, tensor: AttentionGate }
model.layers.32.post_attention_layernorm.weight	Layer { index: 32, tensor: PreMlpNorm }
model.layers.32.moe.gate.weight	Layer { index: 32, tensor: MoeRouter }
model.layers.32.moe.router_bias	Layer { index: 32, tensor: MoeRouterBias }
model.layers.32.moe.gate_proj.weight	Layer { index: 32, tensor: MoeExpertGateBank }
model.layers.32.moe.up_proj.weight	Layer { index: 32, tensor: MoeExpertUpBank }
model.layers.32.moe.down_proj.weight	Layer { index: 32, tensor: MoeExpertDownBank }
model.layers.32.share_expert.gate_proj.weight	Layer { index: 32, tensor: SharedMlpGate }
model.layers.32.share_expert.up_proj.weight	Layer { index: 32, tensor: SharedMlpUp }
model.layers.32.share_expert.down_proj.weight	Layer { index: 32, tensor: SharedMlpDown }
model.layers.33.input_layernorm.weight	Layer { index: 33, tensor: PreAttentionNorm }
model.layers.33.self_attn.q_proj.weight	Layer { index: 33, tensor: Query }
model.layers.33.self_attn.k_proj.weight	Layer { index: 33, tensor: Key }
model.layers.33.self_attn.o_proj.weight	Layer { index: 33, tensor: AttentionOutput }
model.layers.33.self_attn.v_proj.weight	Layer { index: 33, tensor: Value }
model.layers.33.self_attn.q_norm.weight	Layer { index: 33, tensor: QueryNorm }
model.layers.33.self_attn.k_norm.weight	Layer { index: 33, tensor: KeyNorm }
model.layers.33.self_attn.g_proj.weight	Layer { index: 33, tensor: AttentionGate }
model.layers.33.post_attention_layernorm.weight	Layer { index: 33, tensor: PreMlpNorm }
model.layers.33.moe.gate.weight	Layer { index: 33, tensor: MoeRouter }
model.layers.33.moe.router_bias	Layer { index: 33, tensor: MoeRouterBias }
model.layers.33.moe.gate_proj.weight	Layer { index: 33, tensor: MoeExpertGateBank }
model.layers.33.moe.up_proj.weight	Layer { index: 33, tensor: MoeExpertUpBank }
model.layers.33.moe.down_proj.weight	Layer { index: 33, tensor: MoeExpertDownBank }
model.layers.33.share_expert.gate_proj.weight	Layer { index: 33, tensor: SharedMlpGate }
model.layers.33.share_expert.up_proj.weight	Layer { index: 33, tensor: SharedMlpUp }
model.layers.33.share_expert.down_proj.weight	Layer { index: 33, tensor: SharedMlpDown }
model.layers.34.input_layernorm.weight	Layer { index: 34, tensor: PreAttentionNorm }
model.layers.34.self_attn.q_proj.weight	Layer { index: 34, tensor: Query }
model.layers.34.self_attn.k_proj.weight	Layer { index: 34, tensor: Key }
model.layers.34.self_attn.o_proj.weight	Layer { index: 34, tensor: AttentionOutput }
model.layers.34.self_attn.v_proj.weight	Layer { index: 34, tensor: Value }
model.layers.34.self_attn.q_norm.weight	Layer { index: 34, tensor: QueryNorm }
model.layers.34.self_attn.k_norm.weight	Layer { index: 34, tensor: KeyNorm }
model.layers.34.self_attn.g_proj.weight	Layer { index: 34, tensor: AttentionGate }
model.layers.34.post_attention_layernorm.weight	Layer { index: 34, tensor: PreMlpNorm }
model.layers.34.moe.gate.weight	Layer { index: 34, tensor: MoeRouter }
model.layers.34.moe.router_bias	Layer { index: 34, tensor: MoeRouterBias }
model.layers.34.moe.gate_proj.weight	Layer { index: 34, tensor: MoeExpertGateBank }
model.layers.34.moe.up_proj.weight	Layer { index: 34, tensor: MoeExpertUpBank }
model.layers.34.moe.down_proj.weight	Layer { index: 34, tensor: MoeExpertDownBank }
model.layers.34.share_expert.gate_proj.weight	Layer { index: 34, tensor: SharedMlpGate }
model.layers.34.share_expert.up_proj.weight	Layer { index: 34, tensor: SharedMlpUp }
model.layers.34.share_expert.down_proj.weight	Layer { index: 34, tensor: SharedMlpDown }
model.layers.35.input_layernorm.weight	Layer { index: 35, tensor: PreAttentionNorm }
model.layers.35.self_attn.q_proj.weight	Layer { index: 35, tensor: Query }
model.layers.35.self_attn.k_proj.weight	Layer { index: 35, tensor: Key }
model.layers.35.self_attn.o_proj.weight	Layer { index: 35, tensor: AttentionOutput }
model.layers.35.self_attn.v_proj.weight	Layer { index: 35, tensor: Value }
model.layers.35.self_attn.q_norm.weight	Layer { index: 35, tensor: QueryNorm }
model.layers.35.self_attn.k_norm.weight	Layer { index: 35, tensor: KeyNorm }
model.layers.35.self_attn.g_proj.weight	Layer { index: 35, tensor: AttentionGate }
model.layers.35.post_attention_layernorm.weight	Layer { index: 35, tensor: PreMlpNorm }
model.layers.35.moe.gate.weight	Layer { index: 35, tensor: MoeRouter }
model.layers.35.moe.router_bias	Layer { index: 35, tensor: MoeRouterBias }
model.layers.35.moe.gate_proj.weight	Layer { index: 35, tensor: MoeExpertGateBank }
model.layers.35.moe.up_proj.weight	Layer { index: 35, tensor: MoeExpertUpBank }
model.layers.35.moe.down_proj.weight	Layer { index: 35, tensor: MoeExpertDownBank }
model.layers.35.share_expert.gate_proj.weight	Layer { index: 35, tensor: SharedMlpGate }
model.layers.35.share_expert.up_proj.weight	Layer { index: 35, tensor: SharedMlpUp }
model.layers.35.share_expert.down_proj.weight	Layer { index: 35, tensor: SharedMlpDown }
model.layers.36.input_layernorm.weight	Layer { index: 36, tensor: PreAttentionNorm }
model.layers.36.self_attn.q_proj.weight	Layer { index: 36, tensor: Query }
model.layers.36.self_attn.k_proj.weight	Layer { index: 36, tensor: Key }
model.layers.36.self_attn.o_proj.weight	Layer { index: 36, tensor: AttentionOutput }
model.layers.36.self_attn.v_proj.weight	Layer { index: 36, tensor: Value }
model.layers.36.self_attn.q_norm.weight	Layer { index: 36, tensor: QueryNorm }
model.layers.36.self_attn.k_norm.weight	Layer { index: 36, tensor: KeyNorm }
model.layers.36.self_attn.g_proj.weight	Layer { index: 36, tensor: AttentionGate }
model.layers.36.post_attention_layernorm.weight	Layer { index: 36, tensor: PreMlpNorm }
model.layers.36.moe.gate.weight	Layer { index: 36, tensor: MoeRouter }
model.layers.36.moe.router_bias	Layer { index: 36, tensor: MoeRouterBias }
model.layers.36.moe.gate_proj.weight	Layer { index: 36, tensor: MoeExpertGateBank }
model.layers.36.moe.up_proj.weight	Layer { index: 36, tensor: MoeExpertUpBank }
model.layers.36.moe.down_proj.weight	Layer { index: 36, tensor: MoeExpertDownBank }
model.layers.36.share_expert.gate_proj.weight	Layer { index: 36, tensor: SharedMlpGate }
model.layers.36.share_expert.up_proj.weight	Layer { index: 36, tensor: SharedMlpUp }
model.layers.36.share_expert.down_proj.weight	Layer { index: 36, tensor: SharedMlpDown }
model.layers.37.input_layernorm.weight	Layer { index: 37, tensor: PreAttentionNorm }
model.layers.37.self_attn.q_proj.weight	Layer { index: 37, tensor: Query }
model.layers.37.self_attn.k_proj.weight	Layer { index: 37, tensor: Key }
model.layers.37.self_attn.o_proj.weight	Layer { index: 37, tensor: AttentionOutput }
model.layers.37.self_attn.v_proj.weight	Layer { index: 37, tensor: Value }
model.layers.37.self_attn.q_norm.weight	Layer { index: 37, tensor: QueryNorm }
model.layers.37.self_attn.k_norm.weight	Layer { index: 37, tensor: KeyNorm }
model.layers.37.self_attn.g_proj.weight	Layer { index: 37, tensor: AttentionGate }
model.layers.37.post_attention_layernorm.weight	Layer { index: 37, tensor: PreMlpNorm }
model.layers.37.moe.gate.weight	Layer { index: 37, tensor: MoeRouter }
model.layers.37.moe.router_bias	Layer { index: 37, tensor: MoeRouterBias }
model.layers.37.moe.gate_proj.weight	Layer { index: 37, tensor: MoeExpertGateBank }
model.layers.37.moe.up_proj.weight	Layer { index: 37, tensor: MoeExpertUpBank }
model.layers.37.moe.down_proj.weight	Layer { index: 37, tensor: MoeExpertDownBank }
model.layers.37.share_expert.gate_proj.weight	Layer { index: 37, tensor: SharedMlpGate }
model.layers.37.share_expert.up_proj.weight	Layer { index: 37, tensor: SharedMlpUp }
model.layers.37.share_expert.down_proj.weight	Layer { index: 37, tensor: SharedMlpDown }
model.layers.38.input_layernorm.weight	Layer { index: 38, tensor: PreAttentionNorm }
model.layers.38.self_attn.q_proj.weight	Layer { index: 38, tensor: Query }
model.layers.38.self_attn.k_proj.weight	Layer { index: 38, tensor: Key }
model.layers.38.self_attn.o_proj.weight	Layer { index: 38, tensor: AttentionOutput }
model.layers.38.self_attn.v_proj.weight	Layer { index: 38, tensor: Value }
model.layers.38.self_attn.q_norm.weight	Layer { index: 38, tensor: QueryNorm }
model.layers.38.self_attn.k_norm.weight	Layer { index: 38, tensor: KeyNorm }
model.layers.38.self_attn.g_proj.weight	Layer { index: 38, tensor: AttentionGate }
model.layers.38.post_attention_layernorm.weight	Layer { index: 38, tensor: PreMlpNorm }
model.layers.38.moe.gate.weight	Layer { index: 38, tensor: MoeRouter }
model.layers.38.moe.router_bias	Layer { index: 38, tensor: MoeRouterBias }
model.layers.38.moe.gate_proj.weight	Layer { index: 38, tensor: MoeExpertGateBank }
model.layers.38.moe.up_proj.weight	Layer { index: 38, tensor: MoeExpertUpBank }
model.layers.38.moe.down_proj.weight	Layer { index: 38, tensor: MoeExpertDownBank }
model.layers.38.share_expert.gate_proj.weight	Layer { index: 38, tensor: SharedMlpGate }
model.layers.38.share_expert.up_proj.weight	Layer { index: 38, tensor: SharedMlpUp }
model.layers.38.share_expert.down_proj.weight	Layer { index: 38, tensor: SharedMlpDown }
model.layers.39.input_layernorm.weight	Layer { index: 39, tensor: PreAttentionNorm }
model.layers.39.self_attn.q_proj.weight	Layer { index: 39, tensor: Query }
model.layers.39.self_attn.k_proj.weight	Layer { index: 39, tensor: Key }
model.layers.39.self_attn.o_proj.weight	Layer { index: 39, tensor: AttentionOutput }
model.layers.39.self_attn.v_proj.weight	Layer { index: 39, tensor: Value }
model.layers.39.self_attn.q_norm.weight	Layer { index: 39, tensor: QueryNorm }
model.layers.39.self_attn.k_norm.weight	Layer { index: 39, tensor: KeyNorm }
model.layers.39.self_attn.g_proj.weight	Layer { index: 39, tensor: AttentionGate }
model.layers.39.post_attention_layernorm.weight	Layer { index: 39, tensor: PreMlpNorm }
model.layers.39.moe.gate.weight	Layer { index: 39, tensor: MoeRouter }
model.layers.39.moe.router_bias	Layer { index: 39, tensor: MoeRouterBias }
model.layers.39.moe.gate_proj.weight	Layer { index: 39, tensor: MoeExpertGateBank }
model.layers.39.moe.up_proj.weight	Layer { index: 39, tensor: MoeExpertUpBank }
model.layers.39.moe.down_proj.weight	Layer { index: 39, tensor: MoeExpertDownBank }
model.layers.39.share_expert.gate_proj.weight	Layer { index: 39, tensor: SharedMlpGate }
model.layers.39.share_expert.up_proj.weight	Layer { index: 39, tensor: SharedMlpUp }
model.layers.39.share_expert.down_proj.weight	Layer { index: 39, tensor: SharedMlpDown }
model.layers.40.input_layernorm.weight	Layer { index: 40, tensor: PreAttentionNorm }
model.layers.40.self_attn.q_proj.weight	Layer { index: 40, tensor: Query }
model.layers.40.self_attn.k_proj.weight	Layer { index: 40, tensor: Key }
model.layers.40.self_attn.o_proj.weight	Layer { index: 40, tensor: AttentionOutput }
model.layers.40.self_attn.v_proj.weight	Layer { index: 40, tensor: Value }
model.layers.40.self_attn.q_norm.weight	Layer { index: 40, tensor: QueryNorm }
model.layers.40.self_attn.k_norm.weight	Layer { index: 40, tensor: KeyNorm }
model.layers.40.self_attn.g_proj.weight	Layer { index: 40, tensor: AttentionGate }
model.layers.40.post_attention_layernorm.weight	Layer { index: 40, tensor: PreMlpNorm }
model.layers.40.moe.gate.weight	Layer { index: 40, tensor: MoeRouter }
model.layers.40.moe.router_bias	Layer { index: 40, tensor: MoeRouterBias }
model.layers.40.moe.gate_proj.weight	Layer { index: 40, tensor: MoeExpertGateBank }
model.layers.40.moe.up_proj.weight	Layer { index: 40, tensor: MoeExpertUpBank }
model.layers.40.moe.down_proj.weight	Layer { index: 40, tensor: MoeExpertDownBank }
model.layers.40.share_expert.gate_proj.weight	Layer { index: 40, tensor: SharedMlpGate }
model.layers.40.share_expert.up_proj.weight	Layer { index: 40, tensor: SharedMlpUp }
