timestamp, pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/11 22:04:24.461, P8, 59, 180 MHz, 10.04 W, 157 MiB
2026/08/11 22:04:24.671, P8, 59, 180 MHz, 10.04 W, 3166 MiB
2026/08/11 22:04:24.871, P0, 59, 180 MHz, 60.09 W, 3166 MiB
2026/08/11 22:04:25.076, P0, 59, 180 MHz, 60.09 W, 3166 MiB
2026/08/11 22:04:25.276, P0, 71, 2107 MHz, 169.51 W, 3166 MiB
2026/08/11 22:04:25.477, P0, 71, 2107 MHz, 169.51 W, 157 MiB
2026/08/11 22:04:25.680, P0, 71, 2107 MHz, 169.51 W, 3166 MiB
2026/08/11 22:04:25.880, P0, 63, 1890 MHz, 154.15 W, 3166 MiB
2026/08/11 22:04:26.080, P0, 63, 1890 MHz, 154.15 W, 3166 MiB
2026/08/11 22:04:26.281, P0, 72, 2377 MHz, 159.60 W, 157 MiB
2026/08/11 22:04:26.482, P0, 72, 2377 MHz, 159.60 W, 3166 MiB
2026/08/11 22:04:26.682, P0, 72, 2377 MHz, 159.60 W, 3166 MiB
2026/08/11 22:04:26.882, P0, 71, 1762 MHz, 145.12 W, 3166 MiB
2026/08/11 22:04:27.083, P0, 71, 1762 MHz, 145.12 W, 157 MiB
2026/08/11 22:04:27.285, P0, 66, 2370 MHz, 131.18 W, 3166 MiB
2026/08/11 22:04:27.485, P0, 66, 2370 MHz, 131.18 W, 3166 MiB
2026/08/11 22:04:27.685, P0, 66, 2370 MHz, 131.18 W, 3166 MiB
2026/08/11 22:04:27.885, P0, 74, 2115 MHz, 160.02 W, 3166 MiB
2026/08/11 22:04:28.086, P0, 74, 2115 MHz, 160.02 W, 157 MiB
2026/08/11 22:04:28.295, P0, 67, 2070 MHz, 144.15 W, 3166 MiB
2026/08/11 22:04:28.495, P0, 67, 2070 MHz, 144.15 W, 3166 MiB
2026/08/11 22:04:28.695, P0, 67, 2070 MHz, 144.15 W, 3166 MiB
2026/08/11 22:04:28.896, P0, 74, 2092 MHz, 150.50 W, 3166 MiB
2026/08/11 22:04:29.096, P0, 74, 2092 MHz, 150.50 W, 418 MiB
2026/08/11 22:04:29.296, P0, 69, 2070 MHz, 144.03 W, 186 MiB
2026/08/11 22:04:29.496, P0, 69, 2070 MHz, 144.03 W, 3166 MiB
2026/08/11 22:04:29.697, P0, 69, 2070 MHz, 144.03 W, 3166 MiB
2026/08/11 22:04:29.897, P0, 75, 2220 MHz, 155.15 W, 418 MiB
2026/08/11 22:04:30.098, P0, 75, 2220 MHz, 155.15 W, 184 MiB
2026/08/11 22:04:30.298, P0, 67, 1957 MHz, 122.00 W, 3166 MiB
2026/08/11 22:04:30.498, P0, 67, 1957 MHz, 122.00 W, 3166 MiB
2026/08/11 22:04:30.698, P0, 67, 1957 MHz, 122.00 W, 418 MiB
2026/08/11 22:04:30.899, P0, 76, 2362 MHz, 154.98 W, 184 MiB
2026/08/11 22:04:31.099, P0, 76, 2362 MHz, 154.98 W, 3166 MiB
2026/08/11 22:04:31.299, P0, 75, 1807 MHz, 150.04 W, 3166 MiB
2026/08/11 22:04:31.500, P0, 75, 1807 MHz, 150.04 W, 3166 MiB
2026/08/11 22:04:31.700, P0, 75, 1807 MHz, 150.04 W, 968 MiB
2026/08/11 22:04:31.900, P0, 77, 2055 MHz, 152.85 W, 172 MiB
2026/08/11 22:04:32.101, P0, 77, 2055 MHz, 152.85 W, 3166 MiB
2026/08/11 22:04:32.301, P0, 75, 1732 MHz, 150.37 W, 3166 MiB
2026/08/11 22:04:32.501, P0, 75, 1732 MHz, 150.37 W, 3166 MiB
2026/08/11 22:04:32.701, P0, 75, 1732 MHz, 150.37 W, 3166 MiB
2026/08/11 22:04:32.901, P0, 77, 2055 MHz, 153.60 W, 157 MiB
2026/08/11 22:04:33.112, P0, 77, 2055 MHz, 153.60 W, 3166 MiB
2026/08/11 22:04:33.312, P0, 75, 1612 MHz, 151.80 W, 3166 MiB
2026/08/11 22:04:33.512, P0, 75, 1612 MHz, 151.80 W, 3166 MiB
2026/08/11 22:04:33.713, P0, 72, 2340 MHz, 136.99 W, 171 MiB
2026/08/11 22:04:33.922, P0, 72, 2340 MHz, 136.99 W, 3166 MiB
2026/08/11 22:04:34.122, P0, 72, 2340 MHz, 136.99 W, 3166 MiB
2026/08/11 22:04:34.323, P0, 77, 2227 MHz, 160.16 W, 3166 MiB
2026/08/11 22:04:34.523, P0, 77, 2227 MHz, 160.16 W, 171 MiB
2026/08/11 22:04:34.727, P0, 70, 1935 MHz, 125.14 W, 3166 MiB
2026/08/11 22:04:34.927, P0, 70, 1935 MHz, 125.14 W, 3166 MiB
2026/08/11 22:04:35.128, P0, 70, 1935 MHz, 125.14 W, 3166 MiB
2026/08/11 22:04:35.328, P0, 78, 2040 MHz, 153.62 W, 3166 MiB
