timestamp, pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/11 22:03:01.551, P8, 58, 180 MHz, 9.82 W, 157 MiB
2026/08/11 22:03:01.761, P0, 58, 180 MHz, 10.55 W, 3166 MiB
2026/08/11 22:03:01.961, P0, 58, 180 MHz, 10.55 W, 3166 MiB
2026/08/11 22:03:02.162, P0, 70, 2130 MHz, 193.37 W, 3166 MiB
2026/08/11 22:03:02.362, P0, 70, 2130 MHz, 193.37 W, 3166 MiB
2026/08/11 22:03:02.562, P0, 70, 2130 MHz, 193.37 W, 3166 MiB
2026/08/11 22:03:02.763, P0, 68, 2100 MHz, 190.24 W, 3166 MiB
2026/08/11 22:03:02.963, P0, 68, 2100 MHz, 190.24 W, 3166 MiB
2026/08/11 22:03:03.163, P0, 71, 1950 MHz, 174.42 W, 3166 MiB
2026/08/11 22:03:03.363, P0, 71, 1950 MHz, 174.42 W, 418 MiB
2026/08/11 22:03:03.564, P0, 71, 1950 MHz, 174.42 W, 188 MiB
2026/08/11 22:03:03.764, P0, 68, 1732 MHz, 140.29 W, 3166 MiB
2026/08/11 22:03:03.964, P0, 68, 1732 MHz, 140.29 W, 3166 MiB
2026/08/11 22:03:04.164, P0, 72, 2377 MHz, 156.24 W, 3166 MiB
2026/08/11 22:03:04.365, P0, 72, 2377 MHz, 156.24 W, 3166 MiB
2026/08/11 22:03:04.565, P0, 72, 2377 MHz, 156.24 W, 3166 MiB
2026/08/11 22:03:04.765, P0, 69, 1935 MHz, 176.15 W, 157 MiB
2026/08/11 22:03:04.999, P0, 69, 1935 MHz, 176.15 W, 3166 MiB
2026/08/11 22:03:05.200, P0, 71, 1695 MHz, 139.05 W, 3166 MiB
2026/08/11 22:03:05.400, P0, 71, 1695 MHz, 139.05 W, 3166 MiB
2026/08/11 22:03:05.600, P0, 71, 1695 MHz, 139.05 W, 3166 MiB
2026/08/11 22:03:05.800, P0, 74, 2362 MHz, 151.89 W, 3166 MiB
2026/08/11 22:03:06.000, P0, 74, 2362 MHz, 151.89 W, 3166 MiB
2026/08/11 22:03:06.201, P0, 72, 1740 MHz, 170.83 W, 157 MiB
2026/08/11 22:03:06.404, P0, 72, 1740 MHz, 170.83 W, 3166 MiB
2026/08/11 22:03:06.604, P0, 72, 1740 MHz, 170.83 W, 3166 MiB
2026/08/11 22:03:06.804, P0, 74, 1882 MHz, 133.83 W, 3166 MiB
2026/08/11 22:03:07.005, P0, 74, 1882 MHz, 133.83 W, 3166 MiB
2026/08/11 22:03:07.205, P0, 75, 2055 MHz, 153.04 W, 3166 MiB
2026/08/11 22:03:07.405, P0, 75, 2055 MHz, 153.04 W, 3166 MiB
2026/08/11 22:03:07.605, P0, 75, 2055 MHz, 153.04 W, 3166 MiB
2026/08/11 22:03:07.805, P0, 74, 1777 MHz, 174.32 W, 3166 MiB
2026/08/11 22:03:08.006, P0, 74, 1777 MHz, 174.32 W, 418 MiB
2026/08/11 22:03:08.206, P0, 67, 1987 MHz, 144.56 W, 1558 MiB
2026/08/11 22:03:08.406, P0, 67, 1987 MHz, 144.56 W, 3166 MiB
2026/08/11 22:03:08.606, P0, 67, 1987 MHz, 144.56 W, 3166 MiB
2026/08/11 22:03:08.806, P0, 76, 2077 MHz, 155.40 W, 3166 MiB
2026/08/11 22:03:09.007, P0, 76, 2077 MHz, 155.40 W, 3166 MiB
2026/08/11 22:03:09.207, P0, 73, 2047 MHz, 160.12 W, 3166 MiB
2026/08/11 22:03:09.407, P0, 73, 2047 MHz, 160.12 W, 3166 MiB
2026/08/11 22:03:09.607, P0, 73, 2047 MHz, 160.12 W, 3166 MiB
2026/08/11 22:03:09.808, P0, 76, 1957 MHz, 172.11 W, 418 MiB
2026/08/11 22:03:10.009, P0, 76, 1957 MHz, 172.11 W, 172 MiB
2026/08/11 22:03:10.210, P0, 74, 1680 MHz, 143.64 W, 3166 MiB
2026/08/11 22:03:10.410, P0, 74, 1680 MHz, 143.64 W, 3166 MiB
2026/08/11 22:03:10.610, P0, 74, 1680 MHz, 143.64 W, 3166 MiB
2026/08/11 22:03:10.810, P0, 77, 2340 MHz, 157.31 W, 3166 MiB
2026/08/11 22:03:11.010, P0, 77, 2340 MHz, 157.31 W, 3166 MiB
2026/08/11 22:03:11.211, P0, 74, 1852 MHz, 177.77 W, 530 MiB
2026/08/11 22:03:11.411, P0, 74, 1852 MHz, 177.77 W, 172 MiB
2026/08/11 22:03:11.611, P0, 74, 1852 MHz, 177.77 W, 3166 MiB
2026/08/11 22:03:11.812, P0, 76, 1747 MHz, 139.35 W, 3166 MiB
2026/08/11 22:03:12.012, P0, 76, 1747 MHz, 139.35 W, 3166 MiB
2026/08/11 22:03:12.212, P0, 78, 2340 MHz, 153.33 W, 3166 MiB
2026/08/11 22:03:12.413, P0, 78, 2340 MHz, 153.33 W, 3166 MiB
2026/08/11 22:03:12.613, P0, 78, 2340 MHz, 153.33 W, 3166 MiB
2026/08/11 22:03:12.813, P0, 76, 1710 MHz, 168.82 W, 172 MiB
2026/08/11 22:03:13.014, P0, 76, 1710 MHz, 168.82 W, 3166 MiB
2026/08/11 22:03:13.214, P0, 77, 1957 MHz, 134.53 W, 3166 MiB
2026/08/11 22:03:13.414, P0, 77, 1957 MHz, 134.53 W, 3166 MiB
2026/08/11 22:03:13.614, P0, 77, 1957 MHz, 134.53 W, 3166 MiB
2026/08/11 22:03:13.815, P0, 79, 2040 MHz, 154.16 W, 3166 MiB
2026/08/11 22:03:14.015, P0, 79, 2040 MHz, 154.16 W, 3166 MiB
2026/08/11 22:03:14.215, P0, 78, 1807 MHz, 173.90 W, 3166 MiB
2026/08/11 22:03:14.415, P0, 78, 1807 MHz, 173.90 W, 3166 MiB
2026/08/11 22:03:14.616, P0, 78, 1807 MHz, 173.90 W, 171 MiB
2026/08/11 22:03:14.816, P0, 71, 1942 MHz, 142.86 W, 3166 MiB
2026/08/11 22:03:15.017, P0, 71, 1942 MHz, 142.86 W, 3166 MiB
2026/08/11 22:03:15.217, P0, 79, 2025 MHz, 152.79 W, 3166 MiB
2026/08/11 22:03:15.417, P0, 79, 2025 MHz, 152.79 W, 3166 MiB
2026/08/11 22:03:15.618, P0, 79, 2025 MHz, 152.79 W, 3166 MiB
2026/08/11 22:03:15.818, P0, 76, 1995 MHz, 161.14 W, 3166 MiB
2026/08/11 22:03:16.018, P0, 76, 1995 MHz, 161.14 W, 3166 MiB
2026/08/11 22:03:16.218, P0, 80, 1942 MHz, 173.33 W, 3166 MiB
2026/08/11 22:03:16.419, P0, 80, 1942 MHz, 173.33 W, 157 MiB
2026/08/11 22:03:16.619, P0, 80, 1942 MHz, 173.33 W, 3166 MiB
2026/08/11 22:03:16.819, P0, 76, 1687 MHz, 141.75 W, 3166 MiB
2026/08/11 22:03:17.019, P0, 76, 1687 MHz, 141.75 W, 3166 MiB
2026/08/11 22:03:17.220, P0, 80, 2310 MHz, 154.42 W, 3166 MiB
2026/08/11 22:03:17.420, P0, 80, 2310 MHz, 154.42 W, 3166 MiB
2026/08/11 22:03:17.620, P0, 80, 2310 MHz, 154.42 W, 3166 MiB
2026/08/11 22:03:17.820, P0, 77, 1905 MHz, 175.17 W, 157 MiB
2026/08/11 22:03:18.020, P0, 77, 1905 MHz, 175.17 W, 3166 MiB
2026/08/11 22:03:18.221, P0, 78, 1597 MHz, 132.09 W, 3166 MiB
2026/08/11 22:03:18.421, P0, 78, 1597 MHz, 132.09 W, 3166 MiB
2026/08/11 22:03:18.621, P0, 78, 1597 MHz, 132.09 W, 3166 MiB
