#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260812    14:40:39       0     31     35      -      0      0      0      0      0      0    405    180      0      0      0      0     15 
 20260812    14:40:40       0     61     36      -     11      1      0      0      0      0  12481   2392   1555   1554      0   2640    230 
 20260812    14:40:41       0     92     36      -      5      0      0      0      0      0  12481   2400   4211   4210      0   2640    230 
 20260812    14:40:42       0     92     36      -      4      0      0      0      0      0  12481   2400   6867   6866      0   2640    406 
 20260812    14:40:43       0     92     36      -      5      0      0      0      0      0  12481   2392   9555   9554      0   4195    164 
 20260812    14:40:44       0     92     36      -      4      0      0      0      0      0  12481   2392  12275  12274      0   3440    230 
 20260812    14:40:45       0     91     36      -      5      0      0      0      0      0  12481   2392  14739  14738      0      0      0 
 20260812    14:40:46       0     91     36      -      0      0      0      0      0      0  12481   2392  19507  19506      0     10      2 
 20260812    14:40:47       0    473     48      -    100     37      0      0      0      0  12481   2422  19507  19506      0      4      2 
 20260812    14:40:48       0    377     44      -    100     87      0      0      0      0  12481   2415  19507  19506      0    144     71 
 20260812    14:40:49       0    467     50      -    100     36      0      0      0      0  12481   2422  19507  19506      0      3      3 
 20260812    14:40:50       0    380     45      -    100     87      0      0      0      0  12481   2422  19507  19506      0    145     33 
 20260812    14:40:51       0    459     52      -    100     37      0      0      0      0  12481   2422  19731  19730      0      4      2 
 20260812    14:40:52       0    387     45      -    100     87      0      0      0      0  12481   2422  19731  19730      0    144     34 
 20260812    14:40:53       0    444     53      -    100     38      0      0      0      0  12481   2422  20019  20018      0      4      2 
 20260812    14:40:54       0    397     46      -    100     87      0      0      0      0  12481   2422  20019  20018      0    140     34 
 20260812    14:40:55       0    434     52      -    100     38      0      0      0      0  12481   2422  20307  20306      0      4      3 
 20260812    14:40:56       0    410     47      -    100     87      0      0      0      0  12481   2422  20307  20306      0    145     33 
 20260812    14:40:57       0    423     54      -    100     38      0      0      0      0  12481   2422  20595  20594      0      3      3 
 20260812    14:40:59       0    424     48      -    100     87      0      0      0      0  12481   2415  20595  20594      0    146     34 
 20260812    14:41:00       0    415     55      -    100     37      0      0      0      0  12481   2422  20883  20882      0      4      1 
 20260812    14:41:01       0    435     49      -    100     87      0      0      0      0  12481   2422  20883  20882      0    144     33 
 20260812    14:41:02       0    404     54      -    100     38      0      0      0      0  12481   2422  21171  21170      0      4      1 
 20260812    14:41:03       0    461     54      -    100     28      0      0      0      0  12481   2415  21171  21170      0    144     33 
 20260812    14:41:04       0    376     56      -    100     30      0      0      0      0  12481   2422  30707  30706      0     10      2 
 20260812    14:41:05       0    473     57      -    100     31      0      0      0      0  12481   2422  31379  31378      0     56     19 
 20260812    14:41:06       0    465     54      -     99     36      0      0      0      0  12481   2422  31379  31378      0     10      2 
 20260812    14:41:07       0    469     56      -    100     47      0      0      0      0  12481   2422  31379  31378      0      8      3 
 20260812    14:41:08       0    432     53      -    100     29      0      0      0      0  12481   2407  31379  31378      0     55     20 
