1,candidate,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.673245 logical_gbs=1076.983",temp=38
1,baseline,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.885964 logical_gbs=997.600",temp=43
2,baseline,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.885051 logical_gbs=997.916",temp=45
2,candidate,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.673050 logical_gbs=1077.061",temp=37
3,candidate,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.673435 logical_gbs=1076.906",temp=41
3,baseline,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.877018 logical_gbs=1000.702",temp=44
4,baseline,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.867287 logical_gbs=1004.099",temp=44
4,candidate,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.673268 logical_gbs=1076.974",temp=39
5,candidate,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.673462 logical_gbs=1076.895",temp=43
5,baseline,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.859092 logical_gbs=1006.977",temp=44
6,baseline,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.859361 logical_gbs=1006.882",temp=45
6,candidate,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.673301 logical_gbs=1076.960",temp=41
7,candidate,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.672578 logical_gbs=1077.252",temp=43
7,baseline,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.858464 logical_gbs=1007.198",temp=40
8,baseline,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.850920 logical_gbs=1009.863",temp=41
8,candidate,"semantic_mix launches=315 weight_bytes=2872946688 logical_bytes=2879039040 token_ms=2.672308 logical_gbs=1077.361",temp=41
