14:07:48.222	o1-refi-r1	1018 ms
14:09:02.989	o1-di-r1	1039 ms
14:10:24.281	o1-dri-r1	1036 ms
14:11:45.453	o1-refi-r2	1032 ms
14:13:00.946	o1-di-r2	1025 ms
14:14:24.283	o1-dri-r2	1046 ms
14:15:46.517	o1-refi-r3	1033 ms
14:17:02.355	o1-di-r3	1036 ms
14:18:23.957	o1-dri-r3	1029 ms
14:19:45.898	o1-refi-r4	1043 ms
14:21:02.680	o1-di-r4	1000 ms
14:22:25.483	o1-dri-r4	1004 ms
14:23:47.408	o2-dri-r1	803 ms
14:25:09.261	o2-di-r1	1013 ms
14:26:31.736	o2-refi-r1	1029 ms
14:27:47.040	o2-dri-r2	987 ms
14:29:08.647	o2-di-r2	1057 ms
14:30:30.500	o2-refi-r2	981 ms
14:31:46.681	o2-dri-r3	1021 ms
14:33:08.519	o2-di-r3	1025 ms
14:34:30.699	o2-refi-r3	1031 ms
14:35:45.152	o2-dri-r4	1063 ms
14:37:06.533	o2-di-r4	1023 ms
14:38:28.411	o2-refi-r4	961 ms
14:39:44.425	c1-di-r1	1052 ms
14:41:06.808	c1-dri-r1	1046 ms
