
NOTICE: Existing SQLite export found: /tmp/anatomy-pp4096-20260807T114137Z.sqlite
        It is assumed file was previously exported from: /tmp/anatomy-pp4096-20260807T114137Z.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/anatomy-pp4096-20260807T114137Z.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.8,63494008709,86,738302426.8,605976829.5,37071604,1837168919,408436079.9,cuMemcpyDtoHAsync_v2
12.5,13048746310,1842458,7082.2,2889.0,1912,3937835,16174.0,cuLaunchKernel
10.4,10824772605,126,85910893.7,85351231.0,83665985,133568429,4376401.6,cuMemHostAlloc
9.0,9372708904,493599,18988.5,24675.0,1977,3960601,20228.8,cuLaunchKernelEx
4.1,4294993661,126,34087251.3,34061272.5,33108448,35652245,390630.0,cuMemFreeHost
1.4,1411375783,2709740,520.9,438.0,297,5957857,8360.5,cuMemAllocAsync
1.3,1330456571,2709739,491.0,438.0,350,4053326,10608.0,cuMemFreeAsync
0.4,444711272,26117,17027.7,2315.0,1487,42453985,346321.9,cuMemcpyHtoDAsync_v2
0.1,123619990,32856,3762.5,3184.0,2395,113481,4603.4,cuMemsetD8Async
0.0,42956508,1266,33930.9,4233.5,2776,21737811,633276.0,cudaLaunchKernel
0.0,23479069,16,1467441.8,560454.5,30999,5830511,1944680.5,cuModuleLoadData
0.0,3077390,7,439627.1,99720.0,8562,1522523,650451.2,cuModuleUnload
0.0,2155809,378,5703.2,5608.0,3659,17501,1076.8,cuEventSynchronize
0.0,824403,89,9263.0,9246.0,2923,18770,1636.8,cuStreamSynchronize
0.0,782398,110,7112.7,7515.5,3311,16641,2199.1,cuMemcpyDtoDAsync_v2
0.0,342114,3,114038.0,77966.0,57332,206816,81007.8,cuLibraryLoadData
0.0,262690,134,1960.4,1950.0,171,9896,787.6,cuEventCreate
0.0,242302,8,30287.8,220.0,97,206201,72094.8,cuDeviceGetDefaultMemPool
0.0,176157,914,192.7,141.0,87,5416,205.0,cuGetProcAddress_v2
0.0,169995,128,1328.1,1299.0,471,4046,320.6,cuEventDestroy_v2
0.0,159802,1266,126.2,110.0,81,788,56.2,cuKernelGetName
0.0,127072,7,18153.1,10365.0,3232,69358,22797.7,cuStreamCreate
0.0,115816,4,28954.0,23876.5,847,67216,33351.6,cuMemPoolSetAccess
0.0,65243,2,32621.5,32621.5,16116,49127,23342.3,cuStreamDestroy_v2
0.0,47600,2,23800.0,23800.0,20593,27007,4535.4,cuMemGetInfo_v2
0.0,26977,5,5395.4,5255.0,2571,9225,2851.5,cuCtxSynchronize
0.0,12058,17,709.3,359.0,98,3617,939.6,cuCtxSetCurrent
0.0,9884,1,9884.0,9884.0,9884,9884,0.0,cudaDeviceSynchronize
0.0,5463,4,1365.8,1161.5,945,2195,562.8,cuInit
0.0,5285,8,660.6,236.0,121,3481,1149.6,cuMemPoolSetAttribute
0.0,4914,6,819.0,548.0,256,1925,640.7,cudaGetDriverEntryPointByVersion
0.0,1203,2,601.5,601.5,271,932,467.4,cuStreamWaitEvent
0.0,1166,3,388.7,348.0,335,483,82.0,cuLibraryGetKernel
0.0,316,2,158.0,158.0,136,180,31.1,cuModuleGetLoadingMode

