
NOTICE: Existing SQLite export found: /tmp/anatomy-pp4096-20260807T114137Z.sqlite
        It is assumed file was previously exported from: /tmp/anatomy-pp4096-20260807T114137Z.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/anatomy-pp4096-20260807T114137Z.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
96.1,1663609770,26117,63698.3,52384.0,288,42355478,340806.9,[CUDA memcpy Host-to-Device]
2.1,36602753,32856,1114.0,1184.0,608,22976,300.9,[CUDA memset]
1.5,26078216,86,303235.1,221296.0,10368,1866463,340695.7,[CUDA memcpy Device-to-Host]
0.3,5412566,110,49205.1,26208.0,831,253791,67208.3,[CUDA memcpy Device-to-Device]

