timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/13 14:44:01.178, 0 %, 2 MiB, 20.71 W, 195 MHz, 405 MHz, 41
2026/09/13 14:44:01.432, 0 %, 544 MiB, 20.71 W, 195 MHz, 405 MHz, 41
2026/09/13 14:44:01.682, 1 %, 544 MiB, 32.08 W, 1972 MHz, 13801 MHz, 42
2026/09/13 14:44:01.933, 1 %, 1440 MiB, 32.08 W, 1972 MHz, 13801 MHz, 42
2026/09/13 14:44:02.183, 44 %, 3968 MiB, 43.37 W, 2572 MHz, 13801 MHz, 43
2026/09/13 14:44:02.433, 44 %, 6624 MiB, 43.37 W, 2572 MHz, 13801 MHz, 43
2026/09/13 14:44:02.683, 28 %, 10304 MiB, 83.61 W, 2632 MHz, 13801 MHz, 45
2026/09/13 14:44:02.933, 28 %, 10400 MiB, 83.61 W, 2632 MHz, 13801 MHz, 45
2026/09/13 14:44:03.183, 98 %, 10400 MiB, 161.64 W, 2835 MHz, 13801 MHz, 49
2026/09/13 14:44:03.434, 98 %, 10400 MiB, 161.64 W, 2835 MHz, 13801 MHz, 49
2026/09/13 14:44:03.684, 99 %, 10400 MiB, 287.66 W, 2857 MHz, 13801 MHz, 50
2026/09/13 14:44:03.934, 99 %, 10400 MiB, 287.66 W, 2857 MHz, 13801 MHz, 50
2026/09/13 14:44:04.184, 0 %, 36 MiB, 265.37 W, 2865 MHz, 14001 MHz, 44
2026/09/13 14:44:04.434, 0 %, 544 MiB, 265.37 W, 2865 MHz, 14001 MHz, 44
2026/09/13 14:44:04.684, 0 %, 1344 MiB, 110.33 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:04.935, 0 %, 3520 MiB, 110.33 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:05.185, 27 %, 6144 MiB, 82.28 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:05.435, 27 %, 10304 MiB, 82.28 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:05.685, 4 %, 10400 MiB, 89.53 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:05.935, 4 %, 10400 MiB, 89.53 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:06.185, 99 %, 10400 MiB, 210.90 W, 2857 MHz, 13801 MHz, 50
2026/09/13 14:44:06.436, 99 %, 10400 MiB, 210.90 W, 2857 MHz, 13801 MHz, 50
2026/09/13 14:44:06.686, 99 %, 10400 MiB, 368.77 W, 2827 MHz, 13801 MHz, 53
2026/09/13 14:44:06.936, 99 %, 10400 MiB, 368.77 W, 2827 MHz, 13801 MHz, 53
2026/09/13 14:44:07.186, 99 %, 10400 MiB, 368.89 W, 2835 MHz, 13801 MHz, 48
2026/09/13 14:44:07.436, 99 %, 2 MiB, 368.89 W, 2835 MHz, 13801 MHz, 48
2026/09/13 14:44:07.687, 0 %, 544 MiB, 239.27 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:07.937, 0 %, 544 MiB, 239.27 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:08.187, 0 %, 2784 MiB, 84.60 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:08.437, 0 %, 5376 MiB, 84.60 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:08.687, 28 %, 10304 MiB, 82.38 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:08.938, 28 %, 10304 MiB, 82.38 W, 2865 MHz, 13801 MHz, 44
2026/09/13 14:44:09.188, 21 %, 10400 MiB, 127.23 W, 2835 MHz, 13801 MHz, 49
2026/09/13 14:44:09.438, 21 %, 10400 MiB, 127.23 W, 2835 MHz, 13801 MHz, 49
2026/09/13 14:44:09.688, 99 %, 10400 MiB, 275.61 W, 2857 MHz, 13801 MHz, 51
2026/09/13 14:44:09.938, 99 %, 10656 MiB, 275.61 W, 2857 MHz, 13801 MHz, 51
2026/09/13 14:44:10.189, 99 %, 10656 MiB, 378.35 W, 2820 MHz, 13801 MHz, 52
2026/09/13 14:44:10.439, 99 %, 10656 MiB, 378.35 W, 2820 MHz, 13801 MHz, 52
2026/09/13 14:44:10.689, 0 %, 2 MiB, 322.93 W, 2857 MHz, 13801 MHz, 46
2026/09/13 14:44:10.960, 0 %, 544 MiB, 322.93 W, 2857 MHz, 13801 MHz, 46
2026/09/13 14:44:11.210, 0 %, 544 MiB, 189.83 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:11.460, 0 %, 1856 MiB, 189.83 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:11.710, 38 %, 4352 MiB, 84.47 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:11.961, 38 %, 7040 MiB, 84.47 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:12.211, 32 %, 10304 MiB, 90.49 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:12.461, 32 %, 10400 MiB, 90.49 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:12.711, 99 %, 10400 MiB, 162.05 W, 2790 MHz, 13801 MHz, 50
2026/09/13 14:44:12.961, 99 %, 10400 MiB, 162.05 W, 2790 MHz, 13801 MHz, 50
2026/09/13 14:44:13.211, 99 %, 10656 MiB, 304.25 W, 2857 MHz, 13801 MHz, 51
2026/09/13 14:44:13.462, 99 %, 10656 MiB, 304.25 W, 2857 MHz, 13801 MHz, 51
2026/09/13 14:44:13.712, 93 %, 10656 MiB, 379.38 W, 2842 MHz, 13801 MHz, 53
2026/09/13 14:44:13.962, 93 %, 10656 MiB, 379.38 W, 2842 MHz, 13801 MHz, 53
2026/09/13 14:44:14.212, 0 %, 21 MiB, 292.73 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:14.463, 0 %, 544 MiB, 292.73 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:14.713, 0 %, 544 MiB, 156.09 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:14.963, 0 %, 3232 MiB, 156.09 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:15.213, 26 %, 5856 MiB, 85.30 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:15.463, 26 %, 10304 MiB, 85.30 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:15.714, 35 %, 10400 MiB, 91.56 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:15.964, 35 %, 10400 MiB, 91.56 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:16.214, 99 %, 10400 MiB, 209.41 W, 2857 MHz, 13801 MHz, 51
2026/09/13 14:44:16.464, 99 %, 10400 MiB, 209.41 W, 2857 MHz, 13801 MHz, 51
2026/09/13 14:44:16.714, 99 %, 10400 MiB, 351.44 W, 2857 MHz, 13801 MHz, 54
2026/09/13 14:44:16.964, 99 %, 10400 MiB, 351.44 W, 2857 MHz, 13801 MHz, 54
2026/09/13 14:44:17.214, 99 %, 10400 MiB, 389.67 W, 2827 MHz, 13801 MHz, 53
2026/09/13 14:44:17.465, 99 %, 2 MiB, 389.67 W, 2827 MHz, 13801 MHz, 53
2026/09/13 14:44:17.715, 18 %, 544 MiB, 241.67 W, 2865 MHz, 14001 MHz, 46
2026/09/13 14:44:17.965, 18 %, 544 MiB, 241.67 W, 2865 MHz, 14001 MHz, 46
2026/09/13 14:44:18.215, 0 %, 2560 MiB, 109.46 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:18.465, 0 %, 5120 MiB, 109.46 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:18.716, 29 %, 10304 MiB, 83.63 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:18.966, 29 %, 10304 MiB, 83.63 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:19.216, 0 %, 10304 MiB, 116.41 W, 2865 MHz, 13801 MHz, 50
2026/09/13 14:44:19.466, 0 %, 10304 MiB, 116.41 W, 2865 MHz, 13801 MHz, 50
2026/09/13 14:44:19.716, 99 %, 10304 MiB, 244.21 W, 2857 MHz, 13801 MHz, 51
2026/09/13 14:44:19.966, 99 %, 10304 MiB, 244.21 W, 2857 MHz, 13801 MHz, 51
2026/09/13 14:44:20.217, 99 %, 10304 MiB, 380.73 W, 2820 MHz, 13801 MHz, 54
2026/09/13 14:44:20.467, 99 %, 10304 MiB, 380.73 W, 2820 MHz, 13801 MHz, 54
2026/09/13 14:44:20.717, 98 %, 10304 MiB, 372.60 W, 2835 MHz, 13801 MHz, 49
2026/09/13 14:44:20.967, 98 %, 22 MiB, 372.60 W, 2835 MHz, 13801 MHz, 49
2026/09/13 14:44:21.217, 0 %, 544 MiB, 233.84 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:21.467, 0 %, 544 MiB, 233.84 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:21.718, 10 %, 3392 MiB, 86.52 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:21.968, 10 %, 6048 MiB, 86.52 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:22.218, 28 %, 10304 MiB, 82.94 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:22.468, 28 %, 10304 MiB, 82.94 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:22.718, 50 %, 10304 MiB, 140.75 W, 2835 MHz, 13801 MHz, 50
2026/09/13 14:44:22.969, 50 %, 10304 MiB, 140.75 W, 2835 MHz, 13801 MHz, 50
2026/09/13 14:44:23.219, 99 %, 10304 MiB, 285.11 W, 2857 MHz, 13801 MHz, 52
2026/09/13 14:44:23.469, 99 %, 10592 MiB, 285.11 W, 2857 MHz, 13801 MHz, 52
2026/09/13 14:44:23.719, 99 %, 10592 MiB, 381.27 W, 2812 MHz, 13801 MHz, 54
2026/09/13 14:44:23.969, 99 %, 10592 MiB, 381.27 W, 2812 MHz, 13801 MHz, 54
2026/09/13 14:44:24.219, 53 %, 10592 MiB, 352.18 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:44:24.469, 53 %, 508 MiB, 352.18 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:44:24.720, 1 %, 544 MiB, 199.75 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:24.970, 1 %, 1344 MiB, 199.75 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:25.220, 29 %, 3680 MiB, 85.57 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:25.470, 29 %, 6336 MiB, 85.57 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:25.720, 28 %, 10304 MiB, 87.82 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:25.971, 28 %, 10464 MiB, 87.82 W, 2865 MHz, 13801 MHz, 45
2026/09/13 14:44:26.221, 80 %, 10464 MiB, 144.34 W, 2707 MHz, 13801 MHz, 51
2026/09/13 14:44:26.471, 80 %, 10464 MiB, 144.34 W, 2707 MHz, 13801 MHz, 51
2026/09/13 14:44:26.721, 99 %, 10464 MiB, 288.57 W, 2857 MHz, 13801 MHz, 52
2026/09/13 14:44:26.971, 99 %, 10720 MiB, 288.57 W, 2857 MHz, 13801 MHz, 52
2026/09/13 14:44:27.221, 93 %, 10720 MiB, 377.63 W, 2782 MHz, 13801 MHz, 54
2026/09/13 14:44:27.471, 93 %, 10720 MiB, 377.63 W, 2782 MHz, 13801 MHz, 54
2026/09/13 14:44:27.722, 92 %, 10720 MiB, 357.20 W, 2835 MHz, 13801 MHz, 49
2026/09/13 14:44:27.972, 92 %, 21 MiB, 357.20 W, 2835 MHz, 13801 MHz, 49
2026/09/13 14:44:28.224, 0 %, 544 MiB, 224.59 W, 2865 MHz, 13801 MHz, 47
2026/09/13 14:44:28.474, 0 %, 544 MiB, 224.59 W, 2865 MHz, 13801 MHz, 47
2026/09/13 14:44:28.725, 0 %, 3040 MiB, 85.04 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:28.975, 0 %, 5696 MiB, 85.04 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:29.225, 28 %, 10304 MiB, 83.71 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:29.475, 28 %, 10464 MiB, 83.71 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:29.725, 22 %, 10464 MiB, 133.51 W, 2827 MHz, 13801 MHz, 54
2026/09/13 14:44:29.975, 22 %, 10464 MiB, 133.51 W, 2827 MHz, 13801 MHz, 54
2026/09/13 14:44:30.226, 99 %, 10464 MiB, 259.45 W, 2857 MHz, 13801 MHz, 52
2026/09/13 14:44:30.476, 99 %, 10464 MiB, 259.45 W, 2857 MHz, 13801 MHz, 52
2026/09/13 14:44:30.726, 99 %, 10464 MiB, 389.62 W, 2790 MHz, 13801 MHz, 54
2026/09/13 14:44:30.976, 99 %, 10464 MiB, 389.62 W, 2790 MHz, 13801 MHz, 54
2026/09/13 14:44:31.226, 99 %, 10464 MiB, 372.17 W, 2827 MHz, 13801 MHz, 50
2026/09/13 14:44:31.476, 99 %, 22 MiB, 372.17 W, 2827 MHz, 13801 MHz, 50
2026/09/13 14:44:31.727, 0 %, 544 MiB, 218.95 W, 2865 MHz, 13801 MHz, 47
2026/09/13 14:44:31.977, 0 %, 1184 MiB, 218.95 W, 2865 MHz, 13801 MHz, 47
2026/09/13 14:44:32.227, 5 %, 3424 MiB, 91.73 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:32.477, 5 %, 6080 MiB, 91.73 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:32.728, 28 %, 10304 MiB, 84.93 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:32.978, 28 %, 10400 MiB, 84.93 W, 2865 MHz, 13801 MHz, 46
2026/09/13 14:44:33.228, 98 %, 10400 MiB, 143.09 W, 2790 MHz, 13801 MHz, 52
2026/09/13 14:44:33.478, 98 %, 10400 MiB, 143.09 W, 2790 MHz, 13801 MHz, 52
2026/09/13 14:44:33.728, 99 %, 10400 MiB, 267.25 W, 2857 MHz, 13801 MHz, 52
