procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 36519180 1529756 379676128    0    0    68  1327 1719    0  1  0 99  0  0  0
 1  0      0 35540400 1529768 379684232    0    0     0     4 7367 4257  0  2 97  0  0  0
 2  0      0 35241356 1530376 379709504    0    0     0     0 6148 6119  1  2 97  0  0  0
 1  0      0 35145424 1532200 379753336    0    0     0     0 5655 6766  1  1 97  0  0  0
 2  0      0 35071256 1532788 379790008    0    0     0  2800 6357 7127  1  1 97  0  0  0
 1  0      0 34974620 1536380 379836584    0    0     0     0 6887 7471  1  1 97  0  0  0
 1  0      0 34908764 1537800 379876268    0    0     0     0 6179 7052  1  1 97  0  0  0
 1  0      0 34865992 1538048 379909164    0    0     0     0 11181 12812  1  1 98  0  0  0
 1  0      0 34823188 1538476 379945556    0    0     0     0 10872 11557  1  1 98  0  0  0
 1  0      0 34760960 1538496 379979828    0    0     0  6168 4959 5589  2  1 97  0  0  0
 1  0      0 34690132 1539520 380021208    0    0     0     0 6848 7270  2  1 97  0  0  0
 1  0      0 34635212 1540824 380060388    0    0     0     0 12211 13002  2  1 97  0  0  0
 1  0      0 34590260 1540824 380090612    0    0     0     0 12795 13664  2  1 97  0  0  0
 1  0      0 35716612 1540828 380114012    0    0     0     0 15807 14630  1  1 98  0  0  0
 1  0      0 35534244 1540960 380145556    0    0     0  2428 10302 11777  0  1 99  0  0  0
 2  0      0 34841468 1540972 380188712    0    0     0     0 8652 7062  1  2 97  0  0  0
 1  0      0 34711508 1543052 380234504    0    0     0     0 10198 8321  2  1 97  0  0  0
 2  0      0 34610500 1543304 380270616    0    0     0     0 7345 6553  1  1 97  0  0  0
 2  0      0 34501216 1543340 380305204    0    0     0     0 7413 6390  1  1 97  0  0  0
 2  0      0 34391516 1543408 380339856    0    0     0  2688 7346 6472  1  1 97  0  0  0
 1  0      0 34314916 1543428 380374528    0    0     0   108 7469 5970  1  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 34139596 1543472 380409224    0    0     0     0 7234 5765  1  1 97  0  0  0
 2  0      0 34068576 1544844 380451456    0    0     0     0 7545 7904  0  1 99  0  0  0
 1  0      0 33992704 1545076 380489336    0    0     0     0 6944 7004  2  1 97  0  0  0
 2  0      0 34414208 1545796 380527632    0    0     0 17744 9070 6473  2  1 97  0  0  0
 1  0      0 34803964 1545948 380552528    0    0     0     0 26979 7301  0  4 96  0  0  0
 1  0      0 34775800 1546732 380589840    0    0     0 11200 13826 7616  0  2 97  0  0  0
 1  0      0 33873304 1547544 380635368    0    0     0     8 9447 7951  0  2 97  0  0  0
 2  0      0 33583372 1548888 380677580    0    0     0     0 6829 7532  1  1 97  0  0  0
 1  0      0 33470176 1549824 380716604    0    0     0  4068 6568 7442  1  1 97  0  0  0
 1  0      0 33445356 1549944 380727752    0    0     0     0 5994 5174  1  2 97  0  0  0
 1  0      0 33464024 1549944 380727752    0    0     0     0 3113 2728  1  1 98  0  0  0
 1  0      0 33477264 1549944 380727752    0    0     0     0 3082 2848  1  1 98  0  0  0
 1  0      0 33447404 1549944 380727752    0    0     0     0 2809 2664  1  1 98  0  0  0
 1  0      0 33447772 1549948 380727776    0    0     0   820 3896 2768  1  1 98  0  0  0
 2  0      0 33426960 1549948 380727812    0    0     0 103456 5347 3550  2  1 97  0  0  0
 1  0      0 33373168 1549948 380727824    0    0     0     4 5306 3355  2  1 97  0  0  0
 1  0      0 33337836 1549948 380727836    0    0     0     0 4680 3072  1  1 97  0  0  0
 2  0      0 33349208 1549948 380727836    0    0     0     0 3132 2424  2  1 98  0  0  0
 1  0      0 33362368 1549952 380727972    0    0     0  1648 3867 2827  2  1 97  0  0  0
 1  0      0 33381388 1549952 380728000    0    0     0 180364 4869 3239  1  1 97  0  0  0
 1  0      0 33398692 1549952 380728004    0    0     0     0 4544 3118  2  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 33406496 1549952 380728008    0    0     0     0 3671 2710  2  1 98  0  0  0
 1  0      0 33428624 1549952 380728016    0    0     0     0 3051 2399  1  1 98  0  0  0
 2  0      0 33431360 1549956 380728012    0    0     0  1904 3213 2597  1  1 97  0  0  0
 1  0      0 33647796 1549956 380728020    0    0     0 186696 5092 3311  2  1 97  0  0  0
 1  0      0 33655684 1549956 380728020    0    0     0     0 2955 2349  1  1 98  0  0  0
 1  0      0 33676468 1549956 380728020    0    0     0     8 2954 2396  1  1 98  0  0  0
 1  0      0 33689152 1549956 380728020    0    0     0     0 2980 2486  2  1 98  0  0  0
 2  0      0 33692160 1549960 380728028    0    0     0  1212 3012 2410  2  1 97  0  0  0
 1  0      0 33690860 1549960 380728068    0    0     0 165000 4774 3153  1  1 97  0  0  0
 1  0      0 33708488 1549960 380728032    0    0     0     8 2897 2398  1  1 98  0  0  0
 1  0      0 33701588 1549960 380728032    0    0     0     0 2804 2427  2  1 98  0  0  0
 1  0      0 33725104 1549960 380728032    0    0     0   144 5194 3444  1  1 97  0  0  0
 2  0      0 33718196 1549968 380728040    0    0     0  1172 3111 2473  1  1 98  0  0  0
 1  0      0 33910832 1549968 380728072    0    0     0 183136 4977 3434  2  1 97  0  0  0
 1  0      0 33909456 1549968 380728076    0    0     0     0 3008 2443  1  1 98  0  0  0
 1  0      0 33940448 1549968 380728080    0    0     0     0 3032 2449  1  1 98  0  0  0
 1  0      0 33984152 1549968 380728080    0    0     0 13572 3178 2601  2  1 98  0  0  0
 2  0      0 33963028 1549980 380728084    0    0     0  1316 3081 2480  2  1 98  0  0  0
 1  0      0 33988944 1549980 380728092    0    0     0 159500 5087 3744  1  1 97  0  0  0
 1  0      0 33991980 1549980 380728092    0    0     0     0 4495 3161  1  1 97  0  0  0
 1  0      0 34009152 1549980 380728224    0    0     0     0 3364 2756  2  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 34047072 1549980 380728224    0    0     0     8 2991 2354  1  1 98  0  0  0
 1  0      0 34044444 1549988 380728232    0    0     0  1852 2975 2516  1  1 98  0  0  0
 2  0      0 34039388 1549988 380728232    0    0     0    60 3210 2508  2  1 97  0  0  0
 1  0      0 34029524 1549988 380728236    0    0     0     0 3040 2403  2  1 98  0  0  0
 1  0      0 34049196 1549988 380728240    0    0     0     0 3202 2411  1  1 97  0  0  0
 1  0      0 34063088 1549988 380728240    0    0     0     0 2973 2494  2  1 98  0  0  0
 1  0      0 34065672 1549992 380728236    0    0     0    32 2989 2325  2  1 98  0  0  0
 2  0      0 34057544 1549992 380727788    0    0     0     0 3168 2477  1  1 98  0  0  0
 1  0      0 34102296 1549992 380727796    0    0     0     0 3085 2458  1  1 97  0  0  0
 1  0      0 34076224 1549992 380727796    0    0     0     0 3053 2478  2  1 98  0  0  0
 1  0      0 34087484 1549992 380727800    0    0     0     0 2814 2299  1  1 98  0  0  0
 1  0      0 34074604 1549996 380727800    0    0     0    24 2824 2404  1  1 98  0  0  0
 2  0      0 34052596 1549996 380727800    0    0     0     0 3112 2470  2  1 98  0  0  0
 2  0      0 34069228 1549996 380727800    0    0     0     0 3150 2503  2  1 97  0  0  0
 1  0      0 34078908 1549996 380727800    0    0     0     0 3013 2411  1  1 98  0  0  0
 1  0      0 34099444 1549996 380727812    0    0     0     0 2973 2397  1  1 98  0  0  0
 1  0      0 34072788 1549996 380727812    0    0     0    24 2899 2332  2  1 98  0  0  0
 1  0      0 34106144 1549996 380727812    0    0     0    20 3056 2549  1  1 98  0  0  0
 2  0      0 34088416 1549996 380729992    0    0   424     0 5129 3400  1  1 97  0  0  0
 1  0      0 34065448 1549996 380730048    0    0     0     0 3640 2838  2  1 97  0  0  0
 1  0      0 34067128 1549996 380730048    0    0     0     4 2823 2351  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 34035376 1550000 380730048    0    0     0   192 2932 2516  1  1 98  0  0  0
 1  0      0 34086260 1550000 380730060    0    0     0     0 3198 2437  2  1 98  0  0  0
 2  0      0 34084836 1550000 380730064    0    0     0     0 2963 2354  1  1 98  0  0  0
 1  0      0 34098024 1550000 380730100    0    0     0     0 5360 3644  1  1 97  0  0  0
 1  0      0 34087532 1550000 380730096    0    0     0     0 3240 2644  1  1 98  0  0  0
 1  0      0 34089276 1550000 380730100    0    0     0     0 2961 2417  2  1 98  0  0  0
 1  0      0 34076656 1550004 380730108    0    0     0    40 4809 3168  1  1 97  0  0  0
 2  0      0 34113232 1550004 380730104    0    0     0     0 3163 2689  1  1 98  0  0  0
 1  0      0 34102544 1550004 380730104    0    0     0 13744 3309 2774  2  1 97  0  0  0
 1  0      0 34113200 1550004 380730112    0    0     0     0 3083 2354  1  1 98  0  0  0
