index, name, memory.used [MiB], temperature.gpu
0, NVIDIA H100 80GB HBM3, 0 MiB, 36
1, NVIDIA H100 80GB HBM3, 0 MiB, 38
2, NVIDIA H100 80GB HBM3, 0 MiB, 36
3, NVIDIA H100 80GB HBM3, 0 MiB, 39
4, NVIDIA H100 80GB HBM3, 0 MiB, 39
5, NVIDIA H100 80GB HBM3, 0 MiB, 37
6, NVIDIA H100 80GB HBM3, 0 MiB, 38
7, NVIDIA H100 80GB HBM3, 0 MiB, 36
