
NOTICE: Existing SQLite export found: prefill-census.sqlite
        It is assumed file was previously exported from: prefill-census.nsys-rep
        Consider using --force-export=true if needed.

Processing [prefill-census.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
70.9,7545407,2,3772703.5,3772703.5,2720,7542687,5331561.8,[CUDA memcpy Peer-to-Peer]
17.4,1855584,502,3696.4,5392.0,288,8544,2755.3,[CUDA memcpy Host-to-Device]
4.5,481120,217,2217.1,1408.0,352,176384,11889.3,[CUDA memset]
3.7,397215,4,99303.8,1440.0,1184,393151,195898.3,[CUDA memcpy Device-to-Device]
3.4,359776,170,2116.3,2784.0,384,18944,2331.7,[CUDA memcpy Device-to-Host]

