
NOTICE: Existing SQLite export found: prefill-census.sqlite
        It is assumed file was previously exported from: prefill-census.nsys-rep
        Consider using --force-export=true if needed.

Processing [prefill-census.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
86.5,5724013767,87,65793261.7,905903.0,6311,484008679,150565213.7,cuStreamSynchronize
7.9,521484473,2,260742236.5,260742236.5,5422832,516061641,361076164.6,cuMemFreeHost
3.5,228424857,502,455029.6,14193.0,2592,6255038,1538374.9,cuMemcpyHtoDAsync_v2
1.5,96980111,5318,18236.2,701.0,111,10680105,236577.0,cuMemAllocAsync
0.3,19649492,170,115585.2,3210.5,2349,17834184,1369732.0,cuMemcpyDtoHAsync_v2
0.2,10242909,2427,4220.4,3674.0,2817,35193,1984.5,cudaLaunchKernel
0.1,8128629,2004,4056.2,3561.0,2627,66029,2099.0,cuLaunchKernel
0.1,3550657,5318,667.7,525.0,98,21438,747.0,cuMemFreeAsync
0.0,1913452,542,3530.4,3269.0,2653,12450,979.8,cuLaunchKernelEx
0.0,736348,440,1673.5,283.5,190,161725,10482.9,cuKernelGetFunction
0.0,625913,127,4928.4,3707.0,3109,73372,7576.5,cuMemsetD8Async
0.0,568822,305,1865.0,140.0,96,16638,3356.7,cudaMemsetAsync
0.0,163173,2,81586.5,81586.5,80793,82380,1122.2,cuMemHostAlloc
0.0,160782,5,32156.4,16890.0,6965,64898,26928.3,cuMemGetInfo_v2
0.0,92295,10,9229.5,6091.0,579,37871,11101.4,cuStreamWaitEvent
0.0,63801,4,15950.3,16243.5,8238,23076,6270.3,cuMemcpyDtoDAsync_v2
0.0,42125,7,6017.9,3115.0,643,14857,5511.3,cuEventRecord
0.0,41192,3,13730.7,16912.0,2897,21383,9644.9,cuCtxSynchronize
0.0,23261,2,11630.5,11630.5,10660,12601,1372.5,cuMemcpyPeerAsync
0.0,10526,18,584.8,111.0,88,7763,1794.0,cuCtxSetCurrent
0.0,8425,2,4212.5,4212.5,2541,5884,2363.9,cuLibraryGetKernel
0.0,7321,3,2440.3,1633.0,629,5059,2322.7,cuEventCreate
0.0,5196,16,324.8,104.5,90,2532,615.9,cuMemPoolGetAttribute
0.0,2580,8,322.5,89.0,80,1766,587.5,cuDeviceGetDefaultMemPool
0.0,2384,3,794.7,658.0,405,1321,473.0,cuEventDestroy_v2

