0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 35, 180 MHz, 49.06 W
1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 36, 180 MHz, 48.48 W
