timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 23:23:16.681, 0, 1 %, 5075 MiB, 92.59 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:16.681, 1, 0 %, 3315 MiB, 91.43 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:16.932, 0, 1 %, 5075 MiB, 92.54 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:16.932, 1, 0 %, 3315 MiB, 91.43 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:17.182, 0, 1 %, 5075 MiB, 92.49 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:17.182, 1, 0 %, 3315 MiB, 91.43 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:17.432, 0, 1 %, 5075 MiB, 92.42 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:17.432, 1, 0 %, 3315 MiB, 91.98 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:17.682, 0, 0 %, 5075 MiB, 92.41 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:17.682, 1, 0 %, 3315 MiB, 91.98 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:17.932, 0, 0 %, 5075 MiB, 92.24 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:17.932, 1, 0 %, 3315 MiB, 91.98 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:18.182, 0, 0 %, 5075 MiB, 92.17 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:18.182, 1, 0 %, 3315 MiB, 91.98 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:18.432, 0, 1 %, 5075 MiB, 92.11 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:18.433, 1, 0 %, 3315 MiB, 91.71 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:18.683, 0, 0 %, 5075 MiB, 92.06 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:18.683, 1, 0 %, 3315 MiB, 91.71 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:18.933, 0, 1 %, 5107 MiB, 92.04 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:18.933, 1, 0 %, 3315 MiB, 90.93 W, 2317 MHz, 12481 MHz, 39
2026/09/25 23:23:19.183, 0, 0 %, 5107 MiB, 91.96 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:19.183, 1, 0 %, 3315 MiB, 90.92 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:19.433, 0, 0 %, 5107 MiB, 91.92 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:19.433, 1, 0 %, 3315 MiB, 90.39 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:19.683, 0, 0 %, 5139 MiB, 91.97 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:19.683, 1, 0 %, 3315 MiB, 90.46 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:19.933, 0, 0 %, 5171 MiB, 91.89 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:19.934, 1, 0 %, 5043 MiB, 90.79 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:20.184, 0, 0 %, 5171 MiB, 91.92 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:20.184, 1, 1 %, 5043 MiB, 90.99 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:20.434, 0, 0 %, 5171 MiB, 91.88 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:20.434, 1, 1 %, 5043 MiB, 91.10 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:20.684, 0, 0 %, 5171 MiB, 91.82 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:20.684, 1, 1 %, 5043 MiB, 91.13 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:20.934, 0, 0 %, 5171 MiB, 91.86 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:20.934, 1, 1 %, 5043 MiB, 91.25 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:21.184, 0, 0 %, 5171 MiB, 91.83 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:21.184, 1, 1 %, 5043 MiB, 91.15 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:21.434, 0, 0 %, 5171 MiB, 91.83 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:21.435, 1, 1 %, 5043 MiB, 91.20 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:21.685, 0, 0 %, 5171 MiB, 91.83 W, 2355 MHz, 12481 MHz, 38
2026/09/25 23:23:21.685, 1, 1 %, 5043 MiB, 91.31 W, 2317 MHz, 12481 MHz, 38
2026/09/25 23:23:21.935, 0, 0 %, 5171 MiB, 91.83 W, 2355 MHz, 12481 MHz, 38
