[server] starting; models config = [("qwen", "/home/ubuntu/models/Qwen3.5-9B-Q8_0.gguf", None)]
[worker] Engine ready (MEMRA_FAST=true)
[worker] loading model "qwen" <- /home/ubuntu/models/Qwen3.5-9B-Q8_0.gguf
[q8rp] split-plane decode mirrors built: 249 tensors
[worker]   loaded "qwen": 32 layers, eos=248046
[server] worker ready; serving models: ["qwen"]
[server] listening on http://127.0.0.1:8086
[prime-batch] B=2 tokens=452 in 52.7ms
[prime-batch] B=2 tokens=452 in 51.3ms
[prime-batch] B=2 tokens=452 in 51.6ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=3 tokens=678 in 83.2ms
[prime-batch] B=2 tokens=452 in 52.1ms
[prime-batch] B=3 tokens=678 in 82.3ms
[prime-batch] B=2 tokens=452 in 51.5ms
[prime-batch] B=3 tokens=678 in 82.3ms
[prime-batch] B=2 tokens=452 in 51.8ms
[prime-batch] B=3 tokens=678 in 82.3ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=6 tokens=1356 in 141.8ms
[prime-batch] B=2 tokens=452 in 51.8ms
[prime-batch] B=2 tokens=452 in 51.5ms
[prime-batch] B=6 tokens=1356 in 140.5ms
[prime-batch] B=2 tokens=452 in 51.5ms
[prime-batch] B=2 tokens=452 in 51.5ms
[prime-batch] B=6 tokens=1356 in 140.0ms
[prime-batch] B=2 tokens=452 in 51.6ms
[prime-batch] B=2 tokens=452 in 51.5ms
[prime-batch] B=6 tokens=1356 in 140.4ms
[prime-batch] B=2 tokens=452 in 51.5ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=6 tokens=1356 in 144.4ms
[prime-batch] B=6 tokens=1356 in 140.7ms
[prime-batch] B=5 tokens=1130 in 124.8ms
[prime-batch] B=2 tokens=452 in 51.8ms
[prime-batch] B=2 tokens=452 in 52.0ms
[prime-batch] B=6 tokens=1356 in 139.9ms
[prime-batch] B=6 tokens=1356 in 139.9ms
[prime-batch] B=5 tokens=1130 in 124.5ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=2 tokens=452 in 51.5ms
[prime-batch] B=6 tokens=1356 in 140.3ms
[prime-batch] B=5 tokens=1130 in 124.5ms
[prime-batch] B=5 tokens=1130 in 124.3ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=6 tokens=1356 in 140.3ms
[prime-batch] B=5 tokens=1130 in 124.7ms
[prime-batch] B=5 tokens=1130 in 124.2ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=6 tokens=1356 in 140.2ms
[prime-batch] B=6 tokens=1356 in 140.2ms
[prime-batch] B=6 tokens=1356 in 140.3ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=3 tokens=678 in 82.3ms
[prime-batch] B=6 tokens=1356 in 140.5ms
[prime-batch] B=6 tokens=1356 in 140.6ms
[prime-batch] B=4 tokens=904 in 97.5ms
[prime-batch] B=2 tokens=452 in 51.5ms
[prime-batch] B=3 tokens=678 in 82.4ms
[prime-batch] B=6 tokens=1356 in 140.4ms
[prime-batch] B=6 tokens=1356 in 140.2ms
[prime-batch] B=4 tokens=904 in 97.4ms
[prime-batch] B=2 tokens=452 in 51.4ms
[prime-batch] B=3 tokens=678 in 82.3ms
[prime-batch] B=6 tokens=1356 in 140.3ms
[prime-batch] B=6 tokens=1356 in 140.8ms
[prime-batch] B=4 tokens=904 in 97.5ms
[prime-batch] B=3 tokens=678 in 82.4ms
[prime-batch] B=5 tokens=1130 in 124.4ms
[prime-batch] B=3 tokens=678 in 82.4ms
[prime-batch] B=5 tokens=1130 in 124.8ms
[prime-batch] B=3 tokens=678 in 82.5ms
[prime-batch] B=5 tokens=1130 in 124.3ms
[prime-batch] B=3 tokens=678 in 82.3ms
[prime-batch] B=5 tokens=1130 in 124.6ms
[prime-batch] B=3 tokens=678 in 82.6ms
[prime-batch] B=5 tokens=1130 in 124.6ms
[prime-batch] B=3 tokens=678 in 82.5ms
[prime-batch] B=5 tokens=1130 in 124.6ms
[prime-batch] B=3 tokens=678 in 82.6ms
[prime-batch] B=5 tokens=1130 in 125.0ms
[prime-batch] B=3 tokens=678 in 82.6ms
[prime-batch] B=5 tokens=1130 in 124.8ms
[prime-batch] B=2 tokens=452 in 51.6ms
[prime-batch] B=6 tokens=1356 in 140.6ms
[prime-batch] B=2 tokens=452 in 51.6ms
[prime-batch] B=6 tokens=1356 in 141.1ms
[prime-batch] B=2 tokens=452 in 51.5ms
[prime-batch] B=6 tokens=1356 in 140.6ms
[prime-batch] B=2 tokens=452 in 51.6ms
[prime-batch] B=6 tokens=1356 in 140.9ms
