timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/19 14:07:38.369, 0, P0, 2947 MHz, 14001 MHz, 86.20 W, 26, 2 MiB, 0 %, 5, 16
2026/09/19 14:07:38.626, 0, P0, 2947 MHz, 14001 MHz, 86.20 W, 26, 544 MiB, 0 %, 5, 16
2026/09/19 14:07:38.876, 0, P1, 2947 MHz, 14001 MHz, 80.67 W, 26, 544 MiB, 0 %, 5, 16
2026/09/19 14:07:39.127, 0, P1, 2947 MHz, 14001 MHz, 80.67 W, 26, 1408 MiB, 0 %, 5, 16
2026/09/19 14:07:39.377, 0, P1, 2542 MHz, 13801 MHz, 68.33 W, 26, 1856 MiB, 10 %, 5, 16
2026/09/19 14:07:39.628, 0, P1, 2542 MHz, 13801 MHz, 68.33 W, 26, 2464 MiB, 10 %, 5, 16
2026/09/19 14:07:39.878, 0, P1, 2550 MHz, 13801 MHz, 65.32 W, 25, 2976 MiB, 4 %, 5, 16
2026/09/19 14:07:40.128, 0, P1, 2550 MHz, 13801 MHz, 65.32 W, 25, 3552 MiB, 4 %, 5, 16
2026/09/19 14:07:40.379, 0, P1, 2550 MHz, 13801 MHz, 65.57 W, 25, 4128 MiB, 4 %, 5, 16
2026/09/19 14:07:40.629, 0, P1, 2550 MHz, 13801 MHz, 65.57 W, 25, 4608 MiB, 4 %, 5, 16
2026/09/19 14:07:40.880, 0, P1, 2550 MHz, 13801 MHz, 65.53 W, 26, 5216 MiB, 4 %, 5, 16
2026/09/19 14:07:41.130, 0, P1, 2550 MHz, 13801 MHz, 65.53 W, 26, 5792 MiB, 4 %, 5, 16
2026/09/19 14:07:41.381, 0, P1, 2550 MHz, 13801 MHz, 65.45 W, 25, 6368 MiB, 5 %, 5, 16
2026/09/19 14:07:41.631, 0, P1, 2550 MHz, 13801 MHz, 65.45 W, 25, 6912 MiB, 5 %, 5, 16
2026/09/19 14:07:41.881, 0, P1, 2550 MHz, 13801 MHz, 65.22 W, 26, 7488 MiB, 4 %, 5, 16
2026/09/19 14:07:42.132, 0, P1, 2550 MHz, 13801 MHz, 65.22 W, 26, 8032 MiB, 4 %, 5, 16
2026/09/19 14:07:42.382, 0, P1, 2550 MHz, 13801 MHz, 65.45 W, 26, 8576 MiB, 5 %, 5, 16
2026/09/19 14:07:42.633, 0, P1, 2550 MHz, 13801 MHz, 65.45 W, 26, 9120 MiB, 5 %, 5, 16
2026/09/19 14:07:42.883, 0, P1, 2550 MHz, 13801 MHz, 65.78 W, 26, 9728 MiB, 4 %, 5, 16
2026/09/19 14:07:43.134, 0, P1, 2550 MHz, 13801 MHz, 65.78 W, 26, 10272 MiB, 4 %, 5, 16
2026/09/19 14:07:43.384, 0, P1, 2550 MHz, 13801 MHz, 65.87 W, 26, 10848 MiB, 5 %, 5, 16
2026/09/19 14:07:43.634, 0, P1, 2550 MHz, 13801 MHz, 65.87 W, 26, 11392 MiB, 5 %, 5, 16
2026/09/19 14:07:43.885, 0, P1, 2550 MHz, 13801 MHz, 66.02 W, 26, 11968 MiB, 4 %, 5, 16
2026/09/19 14:07:44.135, 0, P1, 2550 MHz, 13801 MHz, 66.02 W, 26, 12480 MiB, 4 %, 5, 16
2026/09/19 14:07:44.386, 0, P1, 2550 MHz, 13801 MHz, 65.83 W, 26, 13056 MiB, 5 %, 5, 16
2026/09/19 14:07:44.636, 0, P1, 2550 MHz, 13801 MHz, 65.83 W, 26, 13600 MiB, 5 %, 5, 16
2026/09/19 14:07:44.886, 0, P1, 2550 MHz, 13801 MHz, 65.74 W, 26, 14176 MiB, 5 %, 5, 16
2026/09/19 14:07:45.137, 0, P1, 2550 MHz, 13801 MHz, 65.74 W, 26, 14976 MiB, 5 %, 5, 16
2026/09/19 14:07:45.387, 0, P1, 2557 MHz, 13801 MHz, 84.68 W, 32, 15008 MiB, 63 %, 5, 16
2026/09/19 14:07:45.638, 0, P1, 2557 MHz, 13801 MHz, 84.68 W, 32, 15840 MiB, 63 %, 5, 16
2026/09/19 14:07:45.888, 0, P1, 2947 MHz, 13801 MHz, 222.11 W, 28, 16160 MiB, 7 %, 5, 16
2026/09/19 14:07:46.139, 0, P1, 2947 MHz, 13801 MHz, 222.11 W, 28, 16320 MiB, 7 %, 5, 16
2026/09/19 14:07:46.389, 0, P1, 2932 MHz, 13801 MHz, 360.70 W, 37, 16480 MiB, 98 %, 5, 16
2026/09/19 14:07:46.639, 0, P1, 2932 MHz, 13801 MHz, 360.70 W, 37, 16480 MiB, 98 %, 5, 16
2026/09/19 14:07:46.890, 0, P1, 2917 MHz, 13801 MHz, 441.61 W, 39, 16608 MiB, 96 %, 5, 16
2026/09/19 14:07:47.140, 0, P1, 2917 MHz, 13801 MHz, 441.61 W, 39, 16768 MiB, 96 %, 5, 16
2026/09/19 14:07:47.391, 0, P1, 2910 MHz, 13801 MHz, 476.24 W, 39, 16928 MiB, 98 %, 5, 16
2026/09/19 14:07:47.641, 0, P1, 2910 MHz, 13801 MHz, 476.24 W, 39, 16928 MiB, 98 %, 5, 16
2026/09/19 14:07:47.891, 0, P1, 2902 MHz, 13801 MHz, 467.62 W, 39, 17088 MiB, 97 %, 5, 16
2026/09/19 14:07:48.142, 0, P1, 2902 MHz, 13801 MHz, 467.62 W, 39, 17088 MiB, 97 %, 5, 16
2026/09/19 14:07:48.392, 0, P1, 2902 MHz, 13801 MHz, 465.91 W, 39, 17248 MiB, 97 %, 5, 16
