index, name, memory.used [MiB], temperature.gpu
0, NVIDIA H100 80GB HBM3, 21045 MiB, 41
1, NVIDIA H100 80GB HBM3, 20981 MiB, 48
2, NVIDIA H100 80GB HBM3, 20981 MiB, 41
3, NVIDIA H100 80GB HBM3, 21013 MiB, 50
4, NVIDIA H100 80GB HBM3, 20981 MiB, 51
5, NVIDIA H100 80GB HBM3, 20981 MiB, 43
6, NVIDIA H100 80GB HBM3, 20949 MiB, 48
7, NVIDIA H100 80GB HBM3, 20981 MiB, 44
