index, name, memory.used [MiB], temperature.gpu
0, NVIDIA H100 80GB HBM3, 0 MiB, 32
1, NVIDIA H100 80GB HBM3, 0 MiB, 35
2, NVIDIA H100 80GB HBM3, 0 MiB, 33
3, NVIDIA H100 80GB HBM3, 0 MiB, 35
4, NVIDIA H100 80GB HBM3, 0 MiB, 36
5, NVIDIA H100 80GB HBM3, 0 MiB, 33
6, NVIDIA H100 80GB HBM3, 0 MiB, 35
7, NVIDIA H100 80GB HBM3, 0 MiB, 33
