timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/13 14:42:36.065, 0 %, 2 MiB, 17.37 W, 195 MHz, 405 MHz, 37
2026/09/13 14:42:36.319, 0 %, 542 MiB, 17.37 W, 195 MHz, 405 MHz, 37
2026/09/13 14:42:36.569, 0 %, 544 MiB, 25.19 W, 2565 MHz, 13801 MHz, 38
2026/09/13 14:42:36.819, 0 %, 1856 MiB, 25.19 W, 2565 MHz, 13801 MHz, 38
2026/09/13 14:42:37.069, 23 %, 3744 MiB, 47.72 W, 2587 MHz, 13801 MHz, 38
2026/09/13 14:42:37.319, 23 %, 6816 MiB, 47.72 W, 2587 MHz, 13801 MHz, 38
2026/09/13 14:42:37.570, 20 %, 7488 MiB, 73.26 W, 2587 MHz, 13801 MHz, 41
2026/09/13 14:42:37.820, 20 %, 7488 MiB, 73.26 W, 2587 MHz, 13801 MHz, 41
2026/09/13 14:42:38.070, 94 %, 7488 MiB, 182.84 W, 2857 MHz, 13801 MHz, 43
2026/09/13 14:42:38.320, 94 %, 7616 MiB, 182.84 W, 2857 MHz, 13801 MHz, 43
2026/09/13 14:42:38.570, 98 %, 7648 MiB, 280.18 W, 2850 MHz, 13801 MHz, 46
2026/09/13 14:42:38.820, 98 %, 7648 MiB, 280.18 W, 2850 MHz, 13801 MHz, 46
2026/09/13 14:42:39.070, 98 %, 7712 MiB, 327.04 W, 2842 MHz, 13801 MHz, 47
2026/09/13 14:42:39.320, 98 %, 7778 MiB, 327.04 W, 2842 MHz, 13801 MHz, 47
2026/09/13 14:42:39.571, 98 %, 7778 MiB, 365.51 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:42:39.821, 98 %, 7810 MiB, 365.51 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:42:40.071, 98 %, 7874 MiB, 367.58 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:42:40.321, 98 %, 7874 MiB, 367.58 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:42:40.571, 98 %, 7938 MiB, 368.42 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:42:40.821, 98 %, 7938 MiB, 368.42 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:42:41.071, 98 %, 7970 MiB, 362.78 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:42:41.321, 98 %, 7970 MiB, 362.78 W, 2842 MHz, 13801 MHz, 48
2026/09/13 14:42:41.571, 98 %, 7970 MiB, 358.34 W, 2842 MHz, 13801 MHz, 49
2026/09/13 14:42:41.822, 98 %, 7968 MiB, 358.34 W, 2842 MHz, 13801 MHz, 49
2026/09/13 14:42:42.072, 9 %, 2 MiB, 281.85 W, 2872 MHz, 14001 MHz, 42
