2026/08/11 06:23:53.003, 0, 35, 2355, 121.38, 46001, 44
2026/08/11 06:23:53.012, 1, 36, 2310, 126.85, 55507, 51
2026/08/11 06:23:53.269, 0, 33, 2400, 121.79, 46289, 0
2026/08/11 06:23:53.269, 1, 33, 2302, 127.27, 55539, 0
2026/08/11 06:23:53.519, 0, 37, 2400, 139.76, 46449, 15
2026/08/11 06:23:53.519, 1, 35, 2325, 148.14, 55731, 5
2026/08/11 06:23:53.769, 0, 38, 2392, 169.65, 46449, 42
2026/08/11 06:23:53.769, 1, 35, 2325, 180.98, 55731, 38
2026/08/11 06:23:54.019, 0, 36, 2392, 169.83, 46449, 71
2026/08/11 06:23:54.019, 1, 38, 2317, 172.65, 55731, 79
2026/08/11 06:23:54.270, 0, 36, 2392, 197.10, 46449, 39
2026/08/11 06:23:54.270, 1, 37, 2325, 207.72, 55731, 34
2026/08/11 06:23:54.520, 0, 35, 2392, 205.79, 46449, 71
2026/08/11 06:23:54.520, 1, 38, 2325, 212.05, 55731, 79
2026/08/11 06:23:54.770, 0, 36, 2362, 199.27, 46449, 46
2026/08/11 06:23:54.770, 1, 37, 2310, 222.60, 55731, 74
2026/08/11 06:23:55.020, 0, 36, 2362, 200.39, 46449, 47
2026/08/11 06:23:55.020, 1, 37, 2295, 220.95, 55731, 52
2026/08/11 06:23:55.270, 0, 38, 2362, 201.45, 46449, 37
2026/08/11 06:23:55.270, 1, 38, 2302, 215.13, 55731, 39
2026/08/11 06:23:55.520, 0, 36, 2362, 197.88, 46449, 51
2026/08/11 06:23:55.520, 1, 39, 2302, 216.14, 55731, 59
2026/08/11 06:23:55.770, 0, 37, 2362, 206.41, 46449, 55
2026/08/11 06:23:55.770, 1, 39, 2302, 204.84, 55731, 50
2026/08/11 06:23:56.020, 0, 36, 2362, 211.02, 46449, 41
2026/08/11 06:23:56.020, 1, 37, 2302, 206.24, 55731, 38
2026/08/11 06:23:56.270, 0, 37, 2362, 206.40, 46449, 37
2026/08/11 06:23:56.270, 1, 39, 2302, 208.48, 55731, 55
2026/08/11 06:23:56.520, 0, 37, 2362, 205.61, 46449, 41
2026/08/11 06:23:56.520, 1, 39, 2302, 208.49, 55731, 59
2026/08/11 06:23:56.770, 0, 38, 2370, 203.74, 46449, 40
2026/08/11 06:23:56.770, 1, 36, 2302, 207.10, 55731, 61
2026/08/11 06:23:57.020, 0, 37, 2370, 201.50, 46449, 36
2026/08/11 06:23:57.020, 1, 37, 2302, 205.16, 55731, 59
2026/08/11 06:23:57.270, 0, 39, 2362, 196.54, 46449, 39
2026/08/11 06:23:57.271, 1, 38, 2310, 202.58, 55731, 44
2026/08/11 06:23:57.521, 0, 38, 2362, 197.84, 46449, 53
2026/08/11 06:23:57.521, 1, 36, 2302, 199.37, 55731, 36
2026/08/11 06:23:57.771, 0, 38, 2362, 194.16, 46449, 59
2026/08/11 06:23:57.771, 1, 38, 2310, 199.69, 55731, 48
2026/08/11 06:23:58.021, 0, 37, 2362, 193.74, 46449, 39
2026/08/11 06:23:58.021, 1, 37, 2302, 197.72, 55731, 63
2026/08/11 06:23:58.271, 0, 37, 2370, 192.69, 46449, 59
2026/08/11 06:23:58.271, 1, 37, 2310, 193.17, 55731, 40
2026/08/11 06:23:58.521, 0, 37, 2370, 190.68, 46449, 36
2026/08/11 06:23:58.521, 1, 39, 2302, 195.94, 55731, 62
2026/08/11 06:23:58.771, 0, 37, 2362, 201.38, 46449, 40
2026/08/11 06:23:58.771, 1, 38, 2302, 207.94, 55731, 58
2026/08/11 06:23:59.021, 0, 40, 2362, 213.96, 46449, 51
2026/08/11 06:23:59.021, 1, 40, 2302, 222.66, 55731, 44
2026/08/11 06:23:59.271, 0, 38, 2362, 229.05, 46449, 50
2026/08/11 06:23:59.271, 1, 38, 2302, 238.24, 55731, 45
2026/08/11 06:23:59.521, 0, 41, 2362, 242.49, 46449, 41
2026/08/11 06:23:59.521, 1, 41, 2302, 251.70, 55731, 55
2026/08/11 06:23:59.771, 0, 40, 2362, 247.76, 46449, 48
2026/08/11 06:23:59.771, 1, 40, 2302, 255.04, 55731, 44
2026/08/11 06:24:00.021, 0, 39, 2362, 248.32, 46449, 42
2026/08/11 06:24:00.021, 1, 40, 2302, 256.41, 55731, 55
2026/08/11 06:24:00.271, 0, 41, 2362, 250.72, 46449, 45
2026/08/11 06:24:00.272, 1, 41, 2302, 257.78, 55731, 55
2026/08/11 06:24:00.522, 0, 38, 2362, 249.61, 46449, 42
2026/08/11 06:24:00.522, 1, 39, 2302, 256.38, 55731, 46
2026/08/11 06:24:00.772, 0, 40, 2362, 250.56, 46449, 50
2026/08/11 06:24:00.772, 1, 41, 2302, 257.11, 55731, 51
2026/08/11 06:24:01.022, 0, 38, 2362, 247.95, 46449, 41
2026/08/11 06:24:01.022, 1, 39, 2302, 255.13, 55731, 51
2026/08/11 06:24:01.272, 0, 40, 2362, 252.38, 46449, 41
2026/08/11 06:24:01.272, 1, 42, 2302, 256.75, 55731, 54
2026/08/11 06:24:01.522, 0, 38, 2362, 250.06, 46449, 49
2026/08/11 06:24:01.522, 1, 39, 2302, 253.61, 55731, 48
2026/08/11 06:24:01.772, 0, 39, 2355, 250.43, 46449, 41
2026/08/11 06:24:01.772, 1, 40, 2302, 254.63, 55731, 51
2026/08/11 06:24:02.022, 0, 41, 2355, 250.95, 46449, 49
