timestamp, uuid, name, index, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/21 14:02:27.486, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 1 MiB, 0 %, 35.57 W, 180 MHz, 31
2026/09/21 14:02:27.496, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 36.14 W, 180 MHz, 32
2026/09/21 14:02:27.502, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 22 MiB, 0 %, 39.12 W, 180 MHz, 32
2026/09/21 14:02:27.509, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 35.46 W, 180 MHz, 32
2026/09/21 14:02:27.766, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 627 MiB, 0 %, 42.22 W, 352 MHz, 32
2026/09/21 14:02:27.766, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 37.88 W, 180 MHz, 32
2026/09/21 14:02:27.766, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 0 MiB, 0 %, 58.39 W, 1425 MHz, 33
2026/09/21 14:02:27.766, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 36.57 W, 180 MHz, 32
2026/09/21 14:02:28.016, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 629 MiB, 0 %, 52.04 W, 2362 MHz, 33
2026/09/21 14:02:28.016, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 37.58 W, 180 MHz, 32
2026/09/21 14:02:28.016, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 0 MiB, 1 %, 63.64 W, 2355 MHz, 33
2026/09/21 14:02:28.016, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 36.51 W, 180 MHz, 32
2026/09/21 14:02:28.266, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 629 MiB, 1 %, 70.54 W, 2362 MHz, 33
2026/09/21 14:02:28.266, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 36.84 W, 180 MHz, 32
2026/09/21 14:02:28.266, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 0 MiB, 0 %, 68.73 W, 2355 MHz, 33
2026/09/21 14:02:28.266, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 36.40 W, 180 MHz, 32
2026/09/21 14:02:28.517, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 725 MiB, 0 %, 86.73 W, 2362 MHz, 33
