timestamp, index, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/08/25 00:21:56.474, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 0 MiB, 44 %, 94.49 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:21:56.729, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 595 MiB, 1 %, 96.63 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:21:56.979, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 947 MiB, 0 %, 96.52 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:21:57.229, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 1427 MiB, 5 %, 96.74 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:21:57.479, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2325 MiB, 1 %, 95.11 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:21:57.737, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2775 MiB, 9 %, 91.67 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:21:57.987, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 3671 MiB, 1 %, 91.64 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:21:58.237, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 4601 MiB, 7 %, 91.56 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:21:58.495, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5051 MiB, 9 %, 91.69 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:21:58.745, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5947 MiB, 3 %, 91.59 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:21:58.995, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 6877 MiB, 9 %, 91.60 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:21:59.250, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7327 MiB, 9 %, 91.59 W, 2317 MHz, 12481 MHz, 39
