timestamp, index, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/08/25 00:21:11.053, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 0 MiB, 24 %, 93.63 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:21:11.308, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 595 MiB, 2 %, 95.86 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:21:11.558, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 947 MiB, 0 %, 95.70 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:11.808, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 1427 MiB, 2 %, 95.86 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:12.058, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2325 MiB, 1 %, 94.03 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:12.318, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2775 MiB, 9 %, 90.81 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:12.568, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 3671 MiB, 1 %, 90.90 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:12.822, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 4601 MiB, 9 %, 90.95 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:13.082, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5051 MiB, 1 %, 90.85 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:13.332, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5947 MiB, 9 %, 90.91 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:13.585, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 6877 MiB, 9 %, 90.77 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:13.844, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7327 MiB, 3 %, 90.84 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:14.094, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 8225 MiB, 9 %, 90.83 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:14.348, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 9121 MiB, 9 %, 90.84 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:14.611, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 9571 MiB, 1 %, 90.72 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:14.861, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 10501 MiB, 9 %, 90.63 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:15.115, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 11397 MiB, 1 %, 90.59 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:15.370, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 11847 MiB, 9 %, 90.65 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:21:15.620, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 12777 MiB, 9 %, 90.73 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:15.875, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 13675 MiB, 9 %, 90.69 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:16.134, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 14123 MiB, 9 %, 90.75 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:16.384, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 15021 MiB, 1 %, 90.78 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:16.641, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 15951 MiB, 2 %, 90.62 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:16.904, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 16399 MiB, 9 %, 90.73 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:17.154, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 17297 MiB, 1 %, 90.56 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:17.405, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 18227 MiB, 9 %, 90.52 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:17.663, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 18677 MiB, 9 %, 90.59 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:17.913, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 19093 MiB, 0 %, 90.28 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:18.163, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20053 MiB, 86 %, 112.89 W, 2317 MHz, 12481 MHz, 37
2026/08/25 00:21:18.413, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20597 MiB, 94 %, 197.18 W, 2265 MHz, 12481 MHz, 43
