timestamp, index, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/08/25 00:20:23.672, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 0 MiB, 0 %, 32.19 W, 180 MHz, 405 MHz, 30
2026/08/25 00:20:23.934, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 22 MiB, 0 %, 35.05 W, 180 MHz, 405 MHz, 30
2026/08/25 00:20:24.185, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 595 MiB, 1 %, 45.93 W, 180 MHz, 12481 MHz, 30
2026/08/25 00:20:24.435, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 947 MiB, 3 %, 54.27 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:24.685, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 1877 MiB, 9 %, 58.20 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:24.935, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2773 MiB, 1 %, 86.61 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:25.185, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 3223 MiB, 9 %, 87.47 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:25.435, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 4153 MiB, 9 %, 87.69 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:25.685, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5049 MiB, 1 %, 87.76 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:25.941, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5499 MiB, 9 %, 87.78 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:26.191, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 6397 MiB, 3 %, 87.62 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:26.441, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7327 MiB, 4 %, 87.70 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:26.700, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7775 MiB, 9 %, 87.81 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:26.950, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 8673 MiB, 1 %, 87.75 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:27.202, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 9571 MiB, 9 %, 87.65 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:27.459, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 10053 MiB, 9 %, 87.71 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:27.709, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 10949 MiB, 9 %, 87.78 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:27.960, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 11847 MiB, 9 %, 87.67 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:28.215, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 12297 MiB, 1 %, 87.81 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:28.466, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 13225 MiB, 9 %, 87.75 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:28.717, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 14123 MiB, 1 %, 87.71 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:28.979, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 14573 MiB, 9 %, 87.92 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:29.229, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 15501 MiB, 9 %, 87.86 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:29.483, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 16399 MiB, 1 %, 87.88 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:29.740, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 16849 MiB, 9 %, 87.94 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:29.990, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 17747 MiB, 1 %, 87.79 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:30.240, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 18675 MiB, 8 %, 87.85 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:20:30.493, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 19093 MiB, 9 %, 87.97 W, 2325 MHz, 12481 MHz, 32
2026/08/25 00:20:30.743, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 19925 MiB, 17 %, 93.55 W, 2325 MHz, 12481 MHz, 34
2026/08/25 00:20:30.993, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20341 MiB, 94 %, 148.35 W, 2280 MHz, 12481 MHz, 37
2026/08/25 00:20:31.243, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 94 %, 229.65 W, 2265 MHz, 12481 MHz, 39
2026/08/25 00:20:31.493, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 82 %, 270.71 W, 2265 MHz, 12481 MHz, 36
2026/08/25 00:20:31.743, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 72 %, 318.97 W, 2265 MHz, 12481 MHz, 36
2026/08/25 00:20:31.993, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 300.14 W, 2265 MHz, 12481 MHz, 36
2026/08/25 00:20:32.243, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 72 %, 268.74 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:32.493, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 262.96 W, 2265 MHz, 12481 MHz, 36
2026/08/25 00:20:32.743, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 71 %, 261.92 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:32.993, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 262.69 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:33.243, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 262.29 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:33.494, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 71 %, 262.32 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:33.744, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 261.94 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:33.994, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 71 %, 261.90 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:34.244, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 263.16 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:34.494, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 263.11 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:34.744, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 263.27 W, 2265 MHz, 12481 MHz, 38
2026/08/25 00:20:34.994, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 263.66 W, 2265 MHz, 12481 MHz, 37
2026/08/25 00:20:35.244, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 263.05 W, 2265 MHz, 12481 MHz, 38
2026/08/25 00:20:35.494, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 72 %, 264.02 W, 2265 MHz, 12481 MHz, 38
2026/08/25 00:20:35.744, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20757 MiB, 73 %, 263.98 W, 2265 MHz, 12481 MHz, 38
