timestamp, index, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/08/25 00:22:41.095, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 0 MiB, 0 %, 95.28 W, 2325 MHz, 12481 MHz, 41
2026/08/25 00:22:41.350, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 595 MiB, 0 %, 96.69 W, 2317 MHz, 12481 MHz, 41
2026/08/25 00:22:41.600, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 947 MiB, 0 %, 96.70 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:41.850, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 1427 MiB, 8 %, 96.96 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:42.107, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2325 MiB, 9 %, 93.39 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:42.367, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2775 MiB, 9 %, 92.02 W, 2325 MHz, 12481 MHz, 40
2026/08/25 00:22:42.617, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 3671 MiB, 9 %, 92.22 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:42.873, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 4601 MiB, 1 %, 91.99 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:43.132, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5051 MiB, 9 %, 91.98 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:43.382, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5947 MiB, 1 %, 91.80 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:43.635, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 6877 MiB, 9 %, 91.72 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:43.894, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7327 MiB, 9 %, 91.92 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:44.144, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 8225 MiB, 1 %, 91.90 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:44.398, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 9121 MiB, 9 %, 91.77 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:22:44.659, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 9571 MiB, 9 %, 91.81 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:44.909, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 10501 MiB, 1 %, 91.61 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:45.164, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 11397 MiB, 9 %, 91.57 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:45.419, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 11847 MiB, 1 %, 91.74 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:45.669, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 12777 MiB, 9 %, 91.72 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:45.924, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 13675 MiB, 1 %, 91.58 W, 2325 MHz, 12481 MHz, 39
2026/08/25 00:22:46.184, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 14123 MiB, 9 %, 91.69 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:46.434, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 15021 MiB, 9 %, 91.65 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:46.691, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 15951 MiB, 4 %, 91.50 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:46.954, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 16399 MiB, 9 %, 91.61 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:47.204, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 17297 MiB, 9 %, 91.52 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:47.455, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 18227 MiB, 1 %, 91.41 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:47.713, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 18677 MiB, 9 %, 91.53 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:47.963, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 19093 MiB, 0 %, 91.39 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:22:48.213, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20053 MiB, 43 %, 109.46 W, 2302 MHz, 12481 MHz, 43
2026/08/25 00:22:48.463, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 20597 MiB, 94 %, 190.33 W, 2340 MHz, 12481 MHz, 44
2026/08/25 00:22:48.713, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21013 MiB, 94 %, 242.28 W, 2392 MHz, 12481 MHz, 45
2026/08/25 00:22:48.963, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21589 MiB, 94 %, 316.19 W, 2392 MHz, 12481 MHz, 45
2026/08/25 00:22:49.213, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 94 %, 354.42 W, 2392 MHz, 12481 MHz, 45
2026/08/25 00:22:49.463, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 43 %, 320.27 W, 2332 MHz, 12481 MHz, 42
2026/08/25 00:22:49.713, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 41 %, 292.39 W, 2287 MHz, 12481 MHz, 43
2026/08/25 00:22:49.964, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 45 %, 249.36 W, 2287 MHz, 12481 MHz, 43
2026/08/25 00:22:50.214, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 43 %, 224.63 W, 2287 MHz, 12481 MHz, 42
2026/08/25 00:22:50.464, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 42 %, 211.67 W, 2287 MHz, 12481 MHz, 41
2026/08/25 00:22:50.714, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 41 %, 211.88 W, 2287 MHz, 12481 MHz, 42
2026/08/25 00:22:50.964, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 42 %, 211.91 W, 2287 MHz, 12481 MHz, 43
2026/08/25 00:22:51.214, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 41 %, 211.33 W, 2287 MHz, 12481 MHz, 43
2026/08/25 00:22:51.464, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 44 %, 212.30 W, 2287 MHz, 12481 MHz, 43
2026/08/25 00:22:51.714, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 43 %, 213.22 W, 2287 MHz, 12481 MHz, 43
2026/08/25 00:22:51.964, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 21877 MiB, 42 %, 209.88 W, 2287 MHz, 12481 MHz, 43
