file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
t0.prime.f32	7.228241e-01	2.938e-02	True	6.757269	0
t0.step1.f32	5.362749e-01	1.936e-02	True	7.471748	0
t0.step2.f32	2.203569e-01	7.996e-03	True	0.761204	0
t0.step3.f32	3.529482e-01	1.111e-02	True	12.760136	0
t0.step4.f32	3.121710e-01	1.188e-02	True	0.671438	0
t0.step5.f32	5.158510e-01	1.835e-02	True	3.533764	0
t0.step6.f32	1.281102e+00	5.249e-02	True	1.097836	0
t0.step7.f32	3.755316e-01	1.591e-02	True	1.111731	0
t0.step8.f32	2.997546e-01	1.121e-02	True	1.014368	0
WORST norm_rel=5.249e-02
