run	n_rows	med_decode_tok_s	med_ttft_s	med_prime_s	tags
diet-timed-t1	10	24.647	6.037	5.995	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=24.637 ttft=5.358 out=256 seed=20260831
diet-timed-t2	10	24.642	6.037	5.995	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=24.612 ttft=5.360 out=256 seed=20260831
diet-timed-t3	10	24.559	6.042	5.999	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=24.563 ttft=5.359 out=256 seed=20260831
dietmap-timed-t1	10	22.103	6.070	6.022	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=22.021 ttft=5.410 out=256 seed=20260831
dietmap-timed-t2	10	22.138	6.067	6.018	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=22.055 ttft=5.401 out=256 seed=20260831
dietmap-timed-t3	10	22.114	6.068	6.020	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=22.043 ttft=5.402 out=256 seed=20260831
v1-timed-t1	10	22.654	4.660	4.614	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=22.574 ttft=4.158 out=256 seed=20260831
v1-timed-t2	10	22.658	4.664	4.617	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=22.612 ttft=4.154 out=256 seed=20260831
v1-timed-t3	10	22.654	4.670	4.624	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=22.630 ttft=4.159 out=256 seed=20260831
