file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
t0.prime.f32	2.292767e+01	9.320e-01	False	6.757269	15934
t0.step1.f32	2.775384e+01	1.002e+00	False	7.471748	87250
t0.step2.f32	2.897258e+01	1.051e+00	False	0.761204	135688
t0.step3.f32	3.182902e+01	1.002e+00	False	12.760136	120174
t0.step4.f32	2.388298e+01	9.092e-01	False	0.671438	63386
t0.step5.f32	2.837500e+01	1.010e+00	False	3.533764	26849
t0.step6.f32	2.397048e+01	9.821e-01	False	1.097836	113995
t0.step7.f32	2.515343e+01	1.065e+00	False	1.111731	11092
t0.step8.f32	2.649973e+01	9.911e-01	False	1.014368	138284
WORST norm_rel=1.065e+00
