file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
d00-code.prime.f32	0.000000e+00	0.000e+00	True	2.479948	0
d00-code.step1.f32	0.000000e+00	0.000e+00	True	11.828066	0
d00-code.step2.f32	0.000000e+00	0.000e+00	True	3.279953	0
d00-code.step3.f32	0.000000e+00	0.000e+00	True	3.609175	0
d00-code.step4.f32	0.000000e+00	0.000e+00	True	5.471951	0
d00-code.step5.f32	0.000000e+00	0.000e+00	True	9.475018	0
d00-code.step6.f32	0.000000e+00	0.000e+00	True	3.508877	0
d00-code.step7.f32	0.000000e+00	0.000e+00	True	0.161104	0
d00-code.step8.f32	0.000000e+00	0.000e+00	True	1.255930	0
d01-code.prime.f32	0.000000e+00	0.000e+00	True	3.098238	0
d01-code.step1.f32	0.000000e+00	0.000e+00	True	14.986616	0
d01-code.step2.f32	0.000000e+00	0.000e+00	True	2.327908	0
d01-code.step3.f32	0.000000e+00	0.000e+00	True	2.585794	0
d01-code.step4.f32	0.000000e+00	0.000e+00	True	7.142715	0
d01-code.step5.f32	0.000000e+00	0.000e+00	True	16.258186	0
d01-code.step6.f32	0.000000e+00	0.000e+00	True	1.124662	0
d01-code.step7.f32	0.000000e+00	0.000e+00	True	9.329483	0
d01-code.step8.f32	0.000000e+00	0.000e+00	True	1.041708	0
d02-code.prime.f32	0.000000e+00	0.000e+00	True	3.228914	0
d02-code.step1.f32	0.000000e+00	0.000e+00	True	16.230307	0
d02-code.step2.f32	0.000000e+00	0.000e+00	True	4.030689	0
d02-code.step3.f32	0.000000e+00	0.000e+00	True	5.480572	0
d02-code.step4.f32	0.000000e+00	0.000e+00	True	1.621784	0
d02-code.step5.f32	0.000000e+00	0.000e+00	True	10.129358	0
d02-code.step6.f32	0.000000e+00	0.000e+00	True	3.817326	0
d02-code.step7.f32	0.000000e+00	0.000e+00	True	4.746889	0
d02-code.step8.f32	0.000000e+00	0.000e+00	True	0.615505	0
d03-code.prime.f32	0.000000e+00	0.000e+00	True	1.551155	0
d03-code.step1.f32	0.000000e+00	0.000e+00	True	10.392958	0
d03-code.step2.f32	0.000000e+00	0.000e+00	True	2.073877	0
d03-code.step3.f32	0.000000e+00	0.000e+00	True	0.713051	0
d03-code.step4.f32	0.000000e+00	0.000e+00	True	2.174656	0
d03-code.step5.f32	0.000000e+00	0.000e+00	True	2.826874	0
d03-code.step6.f32	0.000000e+00	0.000e+00	True	6.967808	0
d03-code.step7.f32	0.000000e+00	0.000e+00	True	11.397697	0
d03-code.step8.f32	0.000000e+00	0.000e+00	True	3.121778	0
l3-WARM.prime.f32	0.000000e+00	0.000e+00	True	0.661449	0
l3-WARM.step1.f32	0.000000e+00	0.000e+00	True	10.699327	0
l3-WARM.step2.f32	0.000000e+00	0.000e+00	True	1.819885	0
l3-WARM.step3.f32	0.000000e+00	0.000e+00	True	1.186565	0
l3-WARM.step4.f32	0.000000e+00	0.000e+00	True	1.642805	0
l3-WARM.step5.f32	0.000000e+00	0.000e+00	True	1.599291	0
l3-WARM.step6.f32	0.000000e+00	0.000e+00	True	6.452698	0
l3-WARM.step7.f32	0.000000e+00	0.000e+00	True	3.751930	0
l3-WARM.step8.f32	0.000000e+00	0.000e+00	True	0.194927	0
WORST norm_rel=0.000e+00
