file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
t0.prime.f32	0.000000e+00	0.000e+00	True	6.757269	0
t0.step1.f32	0.000000e+00	0.000e+00	True	7.471748	0
t0.step2.f32	0.000000e+00	0.000e+00	True	0.761204	0
t0.step3.f32	0.000000e+00	0.000e+00	True	12.760136	0
t0.step4.f32	0.000000e+00	0.000e+00	True	0.671438	0
t0.step5.f32	0.000000e+00	0.000e+00	True	3.533764	0
t0.step6.f32	0.000000e+00	0.000e+00	True	1.097836	0
t0.step7.f32	0.000000e+00	0.000e+00	True	1.111731	0
t0.step8.f32	0.000000e+00	0.000e+00	True	1.014368	0
WORST norm_rel=0.000e+00
