file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
t0.prime.f32	7.138674e-01	2.902e-02	True	6.757269	0
t0.step1.f32	7.352073e-01	2.654e-02	True	7.471748	0
t0.step2.f32	2.228165e-01	8.086e-03	True	0.761204	0
t0.step3.f32	3.797362e-01	1.196e-02	True	12.760136	0
t0.step4.f32	3.184326e-01	1.212e-02	True	0.671438	0
t0.step5.f32	4.493238e-01	1.599e-02	True	3.533764	0
t0.step6.f32	4.895642e-01	2.006e-02	True	1.097836	0
t0.step7.f32	3.530598e-01	1.495e-02	True	1.111731	0
t0.step8.f32	4.096721e-01	1.532e-02	True	1.014368	0
WORST norm_rel=2.902e-02
