run	n_rows	med_decode_tok_s	med_ttft_s	med_prime_s	tags
diet-timed-t1l	2	23.117	72.909	72.864	l3-A4630,l3-WARM
diet-timed-t2l	2	23.133	72.787	72.742	l3-A4630,l3-WARM
diet-timed-t3l	2	23.097	72.807	72.762	l3-A4630,l3-WARM
dietgp-timed-t1l	2	23.079	12.438	12.391	l3-A4630,l3-WARM
dietgp-timed-t2l	2	23.029	12.393	12.346	l3-A4630,l3-WARM
dietgp-timed-t3l	2	23.105	12.341	12.294	l3-A4630,l3-WARM
v1-timed-t1l	2	21.337	51.130	51.081	l3-A4630,l3-WARM
v1-timed-t2l	2	21.430	51.194	51.145	l3-A4630,l3-WARM
v1-timed-t3l	2	21.414	51.085	51.036	l3-A4630,l3-WARM
