file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
t0.prime.f32	0.000000e+00	0.000e+00	True	6.695198	0
t0.step1.f32	0.000000e+00	0.000e+00	True	7.511694	0
t0.step2.f32	0.000000e+00	0.000e+00	True	0.799192	0
t0.step3.f32	0.000000e+00	0.000e+00	True	13.016060	0
t0.step4.f32	0.000000e+00	0.000e+00	True	0.620192	0
t0.step5.f32	0.000000e+00	0.000e+00	True	3.407427	0
t0.step6.f32	0.000000e+00	0.000e+00	True	0.994238	0
t0.step7.f32	0.000000e+00	0.000e+00	True	1.117777	0
t0.step8.f32	0.000000e+00	0.000e+00	True	1.052706	0
WORST norm_rel=0.000e+00
