file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
d00-code.prime.f32	1.296106e+00	5.487e-02	True	2.502094	0
d00-code.step1.f32	8.914785e-01	2.867e-02	True	11.226730	0
d00-code.step2.f32	8.254299e-01	2.996e-02	True	3.285093	0
d00-code.step3.f32	5.999804e-01	2.141e-02	True	3.311756	0
d00-code.step4.f32	1.405969e+00	5.200e-02	True	5.951164	0
d00-code.step5.f32	8.423107e-01	2.729e-02	True	9.772213	0
d00-code.step6.f32	1.006099e+00	3.472e-02	True	3.363823	0
d00-code.step7.f32	1.198085e+00	4.769e-02	False	0.228294	1
d00-code.step8.f32	1.232205e+00	4.736e-02	True	1.852303	0
d01-code.prime.f32	1.394687e+00	5.722e-02	True	2.629248	0
d01-code.step1.f32	1.291275e+00	3.860e-02	True	15.111744	0
d01-code.step2.f32	9.155073e-01	3.318e-02	True	2.358768	0
d01-code.step3.f32	7.041726e-01	2.482e-02	True	2.690512	0
d01-code.step4.f32	8.109585e-01	2.716e-02	True	6.703125	0
d01-code.step5.f32	7.921778e-01	2.361e-02	True	16.177227	0
d01-code.step6.f32	1.385550e+00	4.603e-02	True	0.976040	0
d01-code.step7.f32	1.239208e+00	4.202e-02	True	8.829521	0
d01-code.step8.f32	6.271219e-01	2.244e-02	True	0.986757	0
d02-code.prime.f32	2.077203e+00	8.936e-02	True	4.228310	0
d02-code.step1.f32	7.503500e-01	2.241e-02	True	16.175255	0
d02-code.step2.f32	7.445858e-01	2.719e-02	True	3.976280	0
d02-code.step3.f32	9.720829e-01	3.650e-02	True	6.072254	0
d02-code.step4.f32	1.183640e+00	4.723e-02	True	1.629297	0
d02-code.step5.f32	1.343769e+00	4.472e-02	True	10.322371	0
d02-code.step6.f32	1.671967e+00	5.900e-02	True	4.118225	0
d02-code.step7.f32	7.085762e-01	2.535e-02	True	4.517229	0
d02-code.step8.f32	7.222085e-01	2.736e-02	True	0.650768	0
d03-code.prime.f32	1.743298e+00	7.816e-02	True	1.554024	0
d03-code.step1.f32	7.610494e-01	2.454e-02	True	10.483803	0
d03-code.step2.f32	7.442865e-01	2.864e-02	True	2.001223	0
d03-code.step3.f32	7.734535e-01	2.902e-02	True	0.847134	0
d03-code.step4.f32	6.831385e-01	2.527e-02	True	2.294382	0
d03-code.step5.f32	7.017477e-01	2.469e-02	True	3.120642	0
d03-code.step6.f32	6.509082e-01	2.166e-02	True	6.950125	0
d03-code.step7.f32	1.056432e+00	3.549e-02	True	11.959955	0
d03-code.step8.f32	1.311648e+00	5.442e-02	True	3.516422	0
l3-WARM.prime.f32	2.219544e+00	1.022e-01	True	1.171175	0
l3-WARM.step1.f32	3.194510e+00	1.216e-01	True	12.091505	0
l3-WARM.step2.f32	1.970291e+00	7.575e-02	True	1.930740	0
l3-WARM.step3.f32	1.146385e+00	4.647e-02	True	1.012182	0
l3-WARM.step4.f32	1.333735e+00	5.384e-02	True	2.260254	0
l3-WARM.step5.f32	1.184013e+00	4.980e-02	True	0.972101	0
l3-WARM.step6.f32	1.617613e+00	6.122e-02	True	6.181356	0
l3-WARM.step7.f32	1.659892e+00	7.315e-02	True	4.534346	0
l3-WARM.step8.f32	1.361554e+00	5.617e-02	True	0.524021	0
WORST norm_rel=1.216e-01
