timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/22 22:16:01.855, 0, P0, 2422 MHz, 12481 MHz, 324.02 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:02.856, 0, P0, 2422 MHz, 12481 MHz, 316.28 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:03.856, 0, P0, 2422 MHz, 12481 MHz, 319.33 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:04.857, 0, P0, 2422 MHz, 12481 MHz, 319.30 W, 600.00 W, 50, 19573 MiB, 97 %
2026/09/22 22:16:05.858, 0, P0, 2415 MHz, 12481 MHz, 468.72 W, 600.00 W, 57, 19573 MiB, 99 %
2026/09/22 22:16:06.858, 0, P0, 2422 MHz, 12481 MHz, 398.75 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:07.859, 0, P0, 2422 MHz, 12481 MHz, 326.80 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:08.861, 0, P0, 2422 MHz, 12481 MHz, 319.76 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:09.861, 0, P0, 2422 MHz, 12481 MHz, 319.77 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:10.862, 0, P0, 2422 MHz, 12481 MHz, 324.98 W, 600.00 W, 52, 19573 MiB, 90 %
2026/09/22 22:16:11.863, 0, P0, 2415 MHz, 12481 MHz, 472.59 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:16:12.863, 0, P0, 2422 MHz, 12481 MHz, 393.17 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:13.865, 0, P0, 2422 MHz, 12481 MHz, 327.71 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:14.865, 0, P0, 2415 MHz, 12481 MHz, 367.04 W, 600.00 W, 57, 19573 MiB, 99 %
2026/09/22 22:16:15.866, 0, P0, 2415 MHz, 12481 MHz, 477.35 W, 600.00 W, 59, 19573 MiB, 99 %
2026/09/22 22:16:16.867, 0, P0, 2422 MHz, 12481 MHz, 341.69 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:17.867, 0, P0, 2422 MHz, 12481 MHz, 324.16 W, 600.00 W, 52, 19573 MiB, 93 %
2026/09/22 22:16:18.868, 0, P0, 2422 MHz, 12481 MHz, 318.62 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:19.869, 0, P0, 2422 MHz, 12481 MHz, 327.60 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:20.870, 0, P0, 2415 MHz, 12481 MHz, 376.66 W, 600.00 W, 57, 19573 MiB, 99 %
2026/09/22 22:16:21.871, 0, P0, 2415 MHz, 12481 MHz, 481.13 W, 600.00 W, 59, 19573 MiB, 99 %
2026/09/22 22:16:22.871, 0, P0, 2422 MHz, 12481 MHz, 330.49 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:23.872, 0, P0, 2422 MHz, 12481 MHz, 324.48 W, 600.00 W, 51, 19573 MiB, 93 %
2026/09/22 22:16:24.873, 0, P0, 2422 MHz, 12481 MHz, 317.98 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:25.874, 0, P0, 2422 MHz, 12481 MHz, 328.48 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:26.875, 0, P0, 2415 MHz, 12481 MHz, 387.06 W, 600.00 W, 57, 19573 MiB, 99 %
2026/09/22 22:16:27.875, 0, P0, 2415 MHz, 12481 MHz, 474.68 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:16:28.876, 0, P0, 2422 MHz, 12481 MHz, 320.86 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:29.877, 0, P0, 2422 MHz, 12481 MHz, 325.25 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:30.878, 0, P0, 2422 MHz, 12481 MHz, 314.20 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:31.878, 0, P0, 2422 MHz, 12481 MHz, 329.95 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:32.879, 0, P0, 2415 MHz, 12481 MHz, 389.36 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:16:33.880, 0, P0, 2415 MHz, 12481 MHz, 478.18 W, 600.00 W, 59, 19573 MiB, 99 %
2026/09/22 22:16:34.881, 0, P0, 2422 MHz, 12481 MHz, 319.14 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:35.881, 0, P0, 2422 MHz, 12481 MHz, 324.97 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:36.882, 0, P0, 2422 MHz, 12481 MHz, 316.55 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:37.883, 0, P0, 2422 MHz, 12481 MHz, 330.44 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:38.884, 0, P0, 2415 MHz, 12481 MHz, 400.70 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:16:39.885, 0, P0, 2415 MHz, 12481 MHz, 470.67 W, 600.00 W, 58, 19573 MiB, 99 %
2026/09/22 22:16:40.886, 0, P0, 2422 MHz, 12481 MHz, 319.71 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:41.887, 0, P0, 2422 MHz, 12481 MHz, 324.39 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:42.888, 0, P0, 2422 MHz, 12481 MHz, 316.89 W, 600.00 W, 51, 19573 MiB, 97 %
2026/09/22 22:16:43.889, 0, P0, 2422 MHz, 12481 MHz, 330.39 W, 600.00 W, 52, 19573 MiB, 97 %
2026/09/22 22:16:44.889, 0, P0, 2422 MHz, 12481 MHz, 97.43 W, 600.00 W, 47, 0 MiB, 0 %
2026/09/22 22:16:45.889, 0, P0, 2422 MHz, 12481 MHz, 89.30 W, 600.00 W, 46, 2739 MiB, 7 %
2026/09/22 22:16:46.890, 0, P0, 2422 MHz, 12481 MHz, 88.17 W, 600.00 W, 45, 6259 MiB, 7 %
2026/09/22 22:16:47.890, 0, P0, 2422 MHz, 12481 MHz, 87.96 W, 600.00 W, 45, 9715 MiB, 7 %
2026/09/22 22:16:48.891, 0, P0, 2422 MHz, 12481 MHz, 87.60 W, 600.00 W, 44, 13235 MiB, 6 %
2026/09/22 22:16:49.891, 0, P0, 2422 MHz, 12481 MHz, 88.63 W, 600.00 W, 44, 14739 MiB, 0 %
