procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 350074524 215400 152281320    0    0    55  9781 1984    0  0  0 100  0  0  0
 2  0      0 348500948 215400 152297464    0    0     0     0 5389 4577  1  3 96  0  0  0
 2  0      0 348100812 215400 152297760    0    0     0     0 5326 2597  2  2 96  0  0  0
 2  0      0 348018548 215400 152297760    0    0     0     0 5363 2640  2  2 96  0  0  0
 2  0      0 347972136 215400 152297760    0    0     0     0 5372 2687  3  2 96  0  0  0
 2  0      0 347926308 215408 152297760    0    0     0    32 5489 2674  3  2 96  0  0  0
 2  0      0 347884420 215408 152297760    0    0     0     0 5386 2679  3  2 96  0  0  0
 1  0      0 347763276 215408 152297764    0    0     0     0 5128 2599  2  2 96  0  0  0
 0  0      0 347715856 215408 152297764    0    0     0     0 1886 2265  0  0 100  0  0  0
 2  0      0 347695416 215412 152299872    0    0     0     4 4243 3020  3  1 96  0  0  0
 2  0      0 347695416 215420 152299872    0    0     0    44 3534 2850  4  0 96  0  0  0
 2  0      0 347695192 215420 152299876    0    0     0     0 4120 5063  4  0 96  0  0  0
 2  0      0 347693432 215420 152299876    0    0     0     0 3748 2693  4  1 96  0  0  0
 1  1      0 347675576 216260 152303712    0    0  4092     4 6534 6923  3  0 95  2  0  0
 1  0      0 347669712 216260 152310640    0    0  6000     0 3790 4790  2  0 96  2  0  0
 1  0      0 347678448 216268 152310632    0    0     0    16 2261 3052  2  0 98  0  0  0
 0  0      0 348476916 216272 152302488    0    0     0     0 5859 5392  1  0 98  0  0  0
 2  0      0 348922212 216272 152302500    0    0     0     0 10049 2460  0  2 98  0  0  0
 1  0      0 349375112 216272 152292260    0    0     0     0 21909 3446  0  3 97  0  0  0
