Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
37.2,249566079,73712,3385.7,3341.0,2398,18333,781.2,cuLaunchKernel
25.3,169600610,45072,3762.9,3660.0,2755,26827,898.1,cudaLaunchKernel
8.4,56641132,90928,622.9,582.0,358,876762,2922.9,cuMemAllocAsync
8.1,54534172,90928,599.8,587.0,401,11399,265.1,cuMemFreeAsync
7.4,49774453,13480,3692.5,3646.0,1705,16842,922.4,cuMemsetD8Async
3.8,25753608,12544,2053.1,1910.0,1643,20363,609.2,cuMemcpyHtoDAsync_v2
3.7,24622544,520,47351.0,13309.0,7918,1760259,213571.1,cuMemcpyDtoHAsync_v2
2.1,14279658,33552,425.6,410.0,361,18931,226.2,cuEventRecord
1.8,12012651,3680,3264.3,3170.0,2478,17550,801.3,cuLaunchKernelEx
0.9,6204887,45072,137.7,136.0,103,10711,129.6,cuKernelGetName
0.8,5400606,1184,4561.3,4184.5,3536,21461,1313.2,cuMemcpyDtoDAsync_v2
0.4,2662460,520,5120.1,5150.0,1786,14439,1119.5,cuStreamSynchronize
0.0,8540,1,8540.0,8540.0,8540,8540,0.0,cuCtxSynchronize
0.0,4030,1,4030.0,4030.0,4030,4030,0.0,cuProfilerStart
0.0,736,1,736.0,736.0,736,736,0.0,cuProfilerStop
