Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.6,69398883,700,99141.3,112660.5,10025,506668,80085.8,cuMemcpyDtoHAsync_v2
18.2,23991208,3600,6664.2,6323.0,4104,25465,1906.9,cuGraphLaunch
12.5,16495137,4980,3312.3,3255.0,2435,15893,870.5,cuLaunchKernel
3.1,4084974,860,4750.0,4481.5,3766,24551,1388.8,cuMemcpyDtoDAsync_v2
2.8,3726057,1600,2328.8,2138.0,1795,15694,923.0,cuMemcpyHtoDAsync_v2
2.6,3375475,780,4327.5,4100.0,3268,17734,1179.5,cudaLaunchKernel
2.5,3242765,1920,1688.9,1620.0,1341,5511,298.7,cuStreamWaitEvent
1.8,2339143,720,3248.8,3228.0,2549,15015,658.7,cuLaunchKernelEx
1.3,1782080,700,2545.8,2519.5,1567,13617,819.4,cuStreamSynchronize
1.0,1311498,2700,485.7,456.0,360,12045,251.3,cuEventRecord
0.5,647541,780,830.2,653.0,391,14611,866.4,cuMemAllocAsync
0.5,646349,5580,115.8,111.0,100,11260,150.0,cuCtxSetCurrent
0.4,470422,780,603.1,544.5,437,16623,599.5,cuMemFreeAsync
0.3,368033,80,4600.4,3933.0,3485,9506,1415.4,cuMemsetD8Async
0.1,124949,780,160.2,151.0,129,501,29.3,cuKernelGetName
0.0,20016,1,20016.0,20016.0,20016,20016,0.0,cuCtxSynchronize
0.0,2878,1,2878.0,2878.0,2878,2878,0.0,cuProfilerStart
0.0,590,1,590.0,590.0,590,590,0.0,cuProfilerStop
