# qwen4exp_real_gate	label=nvfp4	binary_sha256=10a9c6b9d00d58900fb655d9a63207eaa93b1d94fd7080db14f5b7aeceeb419b	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# profile	steps=64	t_kv_start=94	profiled_wall_ms_per_token=27.52	attributed_ms_per_token=25.61	unprofiled_mean_ms_per_token=20.48
section	calls_per_token	total_ms	ms_per_token	pct_of_attributed
hyper.read	96.0	412.0	6.438	25.1
moe.sel_grouped	48.0	224.8	3.512	13.7
gdn.proj	36.0	183.5	2.867	11.2
moe.shared	48.0	117.2	1.831	7.2
gdn.conv_scan	36.0	116.4	1.818	7.1
hyper.write	96.0	109.2	1.706	6.7
gdn.norm_gate_out	36.0	103.5	1.617	6.3
moe.router	48.0	90.6	1.415	5.5
qsa.sdpa	12.0	70.2	1.096	4.3
qsa.proj	12.0	60.6	0.947	3.7
lm_head	1.0	54.3	0.849	3.3
qsa.gate_wo	12.0	30.1	0.470	1.8
qsa.idx_proj	12.0	22.6	0.353	1.4
ple.key_gate	1.0	14.8	0.231	0.9
ple.conv_write	1.0	8.1	0.127	0.5
logits.dtoh	1.0	6.8	0.106	0.4
qsa.mask_h2d	12.0	6.0	0.093	0.4
exit.mixer	1.0	2.8	0.044	0.2
entry.embed	1.0	1.9	0.030	0.1
ple.host_ngram_gather	1.0	1.3	0.021	0.1
qsa.idx_host	12.0	1.3	0.020	0.1
ple.h2d	1.0	0.8	0.013	0.1
