Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
39.3,450208,1024,439.7,352.0,288,1920,266.9,[CUDA memcpy Host-to-Device]
34.1,391168,520,752.2,480.0,384,18528,2200.0,[CUDA memcpy Device-to-Host]
24.6,281503,344,818.3,736.0,672,1408,139.6,[CUDA memcpy Device-to-Device]
2.1,23616,32,738.0,704.0,704,832,46.6,[CUDA memset]
