# qwen4exp_real_gate	label=nvfp4	binary_sha256=abcd0971f810bd80d1928646007f7b165a256c2a04c2824d6e292d4dd438229e	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# seam-gate (routerb16): OFF arm vs ON arm, same fed tokens (OFF argmax chain)
step	fed	max_abs	max_rel	ref_absmax	kl_off_on	top1_off	top1_on	match
0	271	7.698e-2	7.049e-2	1.364e1	0.00006	248045	248045	true
1	248045	4.536e-2	4.219e-2	1.252e1	0.00005	271	271	true
2	271	4.058e-1	4.058e-1	1.545e1	0.00116	248045	248045	true
3	248045	1.207e-1	1.207e-1	1.458e1	0.00023	271	271	true
4	271	5.478e-1	4.829e-1	1.824e1	0.00054	248045	248045	true
5	248045	9.629e-2	9.379e-2	1.765e1	0.00005	248046	248046	true
6	248046	1.986e-1	1.986e-1	2.547e1	0.00000	198	198	true
7	198	2.140e-2	2.125e-2	3.001e1	0.00000	248045	248045	true
8	248045	3.950e-2	3.581e-2	2.374e1	0.00002	846	846	true
9	846	5.001e-2	4.402e-2	2.007e1	0.00010	198	198	true
10	198	4.105e-2	3.786e-2	1.546e1	0.00004	248045	248045	true
11	248045	6.738e-2	6.154e-2	1.632e1	0.00001	248046	248046	true
12	248046	1.803e-2	1.561e-2	3.618e1	0.00000	198	198	true
13	198	1.882e-2	1.882e-2	2.935e1	0.00000	248045	248045	true
14	248045	1.791e-2	1.791e-2	1.836e1	0.00000	74455	74455	true
15	74455	1.829e-2	1.543e-2	2.059e1	0.00000	198	198	true
16	198	2.795e-2	2.576e-2	3.218e1	0.00000	248068	248068	true
17	248068	2.267e-2	2.220e-2	2.495e1	0.00001	198	198	true
18	198	1.566e-2	1.327e-2	2.164e1	0.00000	760	760	true
19	760	3.608e-2	3.478e-2	2.171e1	0.00000	1156	1156	true
20	1156	3.200e-2	2.929e-2	2.160e1	0.00000	682	682	true
21	682	2.139e-2	1.725e-2	2.279e1	0.00000	3106	3106	true
22	3106	4.089e-1	3.568e-1	2.183e1	0.00011	328	328	true
23	328	7.035e-2	6.838e-2	1.969e1	0.00000	248045	248045	true
# verdict	steps=24	argmax_matches=24	worst_abs=5.478e-1	worst_rel=4.829e-1	worst_kl=0.00116
