Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.8,48238964,520,92767.2,84242.0,10148,1744874,208582.4,cuMemcpyDtoHAsync_v2
23.6,42485792,13712,3098.4,2987.0,2407,15563,736.4,cuLaunchKernel
20.4,36753565,9744,3771.9,3725.0,2960,19326,998.9,cudaLaunchKernel
9.8,17709019,4256,4161.0,4057.0,3365,23302,956.1,cuMemcpyDtoDAsync_v2
6.7,12111261,17872,677.7,640.0,397,13903,295.2,cuMemAllocAsync
5.9,10622739,17872,594.4,579.0,412,11865,273.2,cuMemFreeAsync
2.3,4122632,9744,423.1,403.0,364,10285,287.5,cuEventRecord
1.4,2567898,1016,2527.5,2418.0,1846,21841,901.3,cuMemcpyHtoDAsync_v2
1.1,2027503,520,3899.0,3913.0,1707,13509,890.4,cuStreamSynchronize
1.1,1923192,576,3338.9,3184.5,2698,14787,1010.1,cuLaunchKernelEx
0.8,1476529,9744,151.5,147.0,129,9281,166.6,cuKernelGetName
0.1,170666,32,5333.3,4122.5,3531,12560,2317.4,cuMemsetD8Async
0.0,10859,1,10859.0,10859.0,10859,10859,0.0,cuCtxSynchronize
0.0,6082,1,6082.0,6082.0,6082,6082,0.0,cuProfilerStart
0.0,524,1,524.0,524.0,524,524,0.0,cuProfilerStop
