# qwen4exp_real_gate	label=nvfp4	binary_sha256=d22cbc64b79a20b7085c8c1056854e11869ccaf7f4621c89980611beb236ff93	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# seam-gate (w4a4): OFF arm vs ON arm, same fed tokens (OFF argmax chain)
step	fed	max_abs	max_rel	ref_absmax	kl_off_on	top1_off	top1_on	match
0	271	2.631e0	2.110e0	1.364e1	0.14573	248045	248045	true
1	248045	4.957e0	4.296e0	1.252e1	0.49227	271	271	true
2	271	2.449e0	2.449e0	1.545e1	0.04747	248045	248045	true
3	248045	4.699e0	4.699e0	1.458e1	0.44578	271	271	true
4	271	3.017e0	2.721e0	1.824e1	0.01691	248045	248045	true
5	248045	3.425e0	3.425e0	1.765e1	0.20602	248046	248046	true
6	248046	4.325e0	3.360e0	2.547e1	0.00043	198	198	true
7	198	2.211e0	2.142e0	3.001e1	0.00003	248045	248045	true
8	248045	2.355e0	2.227e0	2.374e1	0.08407	846	846	true
9	846	5.211e0	5.211e0	2.007e1	1.65273	198	198	true
10	198	6.315e0	4.187e0	1.546e1	0.59877	248045	248045	true
11	248045	6.644e0	5.940e0	1.632e1	0.10061	248046	248046	true
12	248046	3.247e0	2.732e0	3.618e1	0.00000	198	198	true
13	198	9.179e0	8.649e0	2.935e1	0.00006	248045	248045	true
14	248045	3.484e0	2.290e0	1.836e1	0.06443	74455	74455	true
15	74455	3.830e0	2.748e0	2.059e1	0.25015	198	198	true
16	198	3.117e0	3.117e0	3.218e1	0.00000	248068	248068	true
17	248068	6.716e0	6.553e0	2.495e1	1.11784	198	271	false
18	198	3.942e0	3.680e0	2.164e1	0.01994	760	760	true
19	760	2.607e0	2.523e0	2.171e1	0.00246	1156	1156	true
20	1156	1.877e0	1.627e0	2.160e1	0.02986	682	682	true
21	682	1.681e0	1.565e0	2.279e1	0.02275	3106	3106	true
22	3106	2.182e0	1.867e0	2.183e1	0.11215	328	264	false
23	328	3.424e0	2.766e0	1.969e1	0.00570	248045	248045	true
# verdict	steps=24	argmax_matches=22	worst_abs=9.179e0	worst_rel=8.649e0	worst_kl=1.65273
