# qwen4exp_real_gate	label=nvfp4-single-final	binary_sha256=3d90627d3af3bb57f7a0119c28a2fb5c3434e7ed0c7c47f59f4dba91763f961c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# profile	steps=16	t_kv_start=54	profiled_wall_ms_per_token=20.15	attributed_ms_per_token=18.25	unprofiled_mean_ms_per_token=14.46
section	calls_per_token	total_ms	ms_per_token	pct_of_attributed
hyper.read	96.0	53.8	3.362	18.4
moe.sel_grouped	48.0	46.5	2.905	15.9
gdn.proj	36.0	41.6	2.598	14.2
gdn.norm_gate_out	36.0	22.3	1.391	7.6
moe.shared	48.0	19.7	1.228	6.7
moe.router	48.0	15.5	0.968	5.3
hyper.write	96.0	15.4	0.965	5.3
qsa.proj	12.0	14.1	0.884	4.8
gdn.conv_scan	36.0	13.8	0.865	4.7
lm_head	1.0	13.6	0.849	4.7
qsa.sdpa	12.0	10.9	0.679	3.7
qsa.gate_wo	12.0	7.9	0.497	2.7
qsa.idx_proj	12.0	6.0	0.373	2.0
ple.key_gate	1.0	3.8	0.239	1.3
ple.conv_write	1.0	2.0	0.126	0.7
logits.dtoh	1.0	1.6	0.098	0.5
qsa.mask_h2d	12.0	1.5	0.095	0.5
entry.embed	1.0	0.6	0.039	0.2
exit.mixer	1.0	0.6	0.035	0.2
qsa.idx_host	12.0	0.3	0.019	0.1
ple.host_ngram_gather	1.0	0.3	0.017	0.1
ple.h2d	1.0	0.2	0.013	0.1
